LGA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
LGA30250,28,0,260,100,678,1.4,992,4.2
LGA30300,40,1161,662,150,1485,0.8,1230,2.5
LGA30370,37,1517,714,190,1895,0.8,1575,2.6
LGA30410,42,1040,684,100,1514,0.8,1149,2.3
LGA30450,46,338,774,82,1687,0.7,1187,1.9
LGA30760,47,850,548,120,1266,0.7,978,2.3
LGA30900,34,867,753,85,1553,0.8,1271,2.3
LGA31000,35,2000,770,390,2091,0.8,1746,2.6
LGA31750,40,715,883,88,1430,0.8,1359,2.1
LGA31820,45,1322,490,260,1185,0.8,973,2.4
LGA31900,44,1300,617,210,1489,0.8,1177,2.4
LGA31950,38,0,742,135,1458,1.1,1047,2.3
LGA32080,37,1665,693,300,1605,0.8,1336,2.5
LGA32250,38,999,677,150,1544,1,1347,2.6
LGA32260,44,1300,567,230,1305,0.8,1068,2.4
LGA32270,33,1842,843,180,2106,0.8,1823,2.7
LGA32310,40,1300,522,200,1323,0.8,1047,2.4
LGA32330,21,0,315,100,766,1.2,775,3.9
LGA32450,34,1510,1022,150,2140,0.8,1646,2.5
LGA32500,41,1255,579,163,1341,1,1038,2.3
LGA32600,40,0,579,133,1274,0.9,1100,2.4
LGA32750,30,1500,754,133,2041,0.8,1767,2.5
LGA32770,21,0,298,120,745,1.7,1082,4.5
LGA32810,43,1560,676,280,1460,0.9,1169,2.3
LGA33100,45,664,521,95,1192,0.9,865,2.2
LGA33200,44,780,600,120,1331,0.7,1109,2.3
LGA33220,48,1300,468,265,1090,0.8,906,2.3
LGA33360,35,1950,678,250,1918,0.8,1586,2.6
LGA33430,38,1950,666,390,1657,0.8,1404,2.6
LGA33610,40,1300,653,200,1461,0.8,1212,2.4
LGA33620,46,1300,479,250,1132,0.8,939,2.4
LGA33800,50,1300,538,180,1349,0.8,1041,2.3
LGA33830,26,1215,321,110,759,1.1,777,3.4
LGA33960,32,1600,667,310,1581,0.8,1410,2.8
LGA33980,32,1521,1030,90,2365,0.8,2138,2.7
LGA34420,29,0,342,65,841,1.2,944,3.4
LGA34530,42,1875,618,300,1597,0.8,1300,2.5
LGA34570,26,0,332,109,810,1.3,900,3.7
LGA34580,39,1517,535,280,1376,0.8,1198,2.7
LGA34590,34,1733,635,335,1546,0.8,1416,2.9
LGA34710,40,1300,726,180,1609,0.8,1276,2.3
LGA34770,37,1950,698,277,1774,0.8,1456,2.5
LGA34800,39,669,834,68,1537,0.8,1135,2.4
LGA34830,27,0,365,122,1015,1,962,3.3
LGA34860,36,1400,741,200,1688,0.8,1369,2.5
LGA34880,43,1517,541,220,1274,0.9,1045,2.5
LGA35010,38,1781,652,340,1638,0.8,1413,2.7
LGA35250,27,0,352,120,762,1.3,979,3.7
LGA35300,31,1885,997,260,2382,0.9,2132,2.6
LGA35600,39,997,672,158,1490,0.8,1115,2.4
LGA35670,25,0,280,120,776,1.2,826,3.7
LGA35740,48,1733,595,380,1403,0.8,1184,2.4
LGA35760,46,1083,501,157,1159,0.8,917,2.3
LGA35780,22,0,468,120,1064,1.3,1158,3.8
LGA35790,24,0,303,120,927,1.5,1119,4.3
LGA35800,46,498,529,100,1235,0.8,874,2.2
LGA36070,31,867,337,90,747,1.1,771,3.1
LGA36150,41,723,692,120,1449,0.7,1065,2.3
LGA36250,41,1950,686,386,1815,0.8,1521,2.6
LGA36300,35,710,655,80,1402,0.8,1183,2.3
LGA36370,36,1517,626,270,1539,0.8,1255,2.5
LGA36510,44,1670,569,290,1417,0.8,1222,2.6
LGA36580,43,1500,512,275,1256,0.8,1089,2.6
LGA36630,45,1159,478,220,1143,0.8,925,2.4
LGA36660,45,1300,506,230,1207,0.8,973,2.4
LGA36720,43,1800,615,370,1491,0.8,1275,2.5
LGA36820,47,1352,517,240,1218,0.8,977,2.4
LGA36910,38,1517,642,280,1547,0.8,1269,2.5
LGA36950,28,1705,740,151,1919,1.2,1837,3.2
LGA36960,24,0,373,115,856,1.1,929,3.8
LGA37010,34,1733,703,300,1705,0.8,1424,2.6
LGA37300,31,2200,1320,450,2777,1,2484,2.9
LGA37310,37,1400,621,200,1467,0.8,1209,2.5
LGA37340,38,1733,685,270,1481,0.8,1228,2.4
LGA37400,46,1000,655,100,1413,0.8,1067,2.1
LGA37550,23,0,319,120,716,1.2,740,3.5
LGA37570,30,0,294,100,682,1.1,811,3.3
LGA37600,23,0,288,130,869,1.6,1129,4.8
LGA39499,45,0,407,0,0,0,0,0
LGA39799,56,0,606,0,0,0,0,0
