LGA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
LGA30250,333,184,187,161,155,95,37,10,3,1166,4,4,6,4,10,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,20,22,12,4,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,16,18,21,12,4,0,0,78,5,16,18,23,31,12,3,3,0,117,345,196,201,184,189,105,45,9,0,1282
LGA30300,875,388,481,500,592,532,372,180,57,3970,7,3,3,0,0,0,0,0,0,14,3,4,4,5,3,21,40,14,0,95,0,0,5,0,6,14,26,11,0,65,25,39,39,29,57,57,51,18,3,318,0,0,3,0,3,3,7,0,0,19,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,47,46,35,62,94,133,44,3,507,40,46,51,38,67,101,133,44,3,521,913,436,529,541,655,633,507,223,59,4488
LGA30370,3093,1404,1795,1837,1838,1625,1028,630,202,13450,3,3,3,7,3,0,3,0,0,29,0,3,19,8,13,32,80,41,0,202,0,0,5,10,8,28,60,29,0,141,55,149,280,272,346,280,153,37,3,1585,0,3,0,10,3,3,14,3,0,38,0,3,3,3,4,7,3,0,0,23,0,0,0,0,0,3,8,9,0,18,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,61,160,314,301,372,354,324,119,6,2012,66,168,320,304,376,357,331,120,5,2045,3153,1574,2110,2148,2218,1981,1353,751,209,15496
LGA30410,550,229,308,291,378,327,266,159,47,2557,0,0,0,0,7,0,0,0,0,11,5,0,4,0,6,20,65,12,3,121,0,0,0,0,4,39,77,19,3,142,20,41,29,27,71,76,63,17,3,343,0,0,0,0,0,9,18,7,0,30,0,0,0,0,0,3,4,0,0,9,0,0,0,0,0,3,15,0,0,20,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,26,47,36,29,83,137,237,61,4,667,30,46,36,30,87,142,237,57,4,676,579,274,343,323,464,471,507,221,53,3238
LGA30450,34,23,28,27,54,29,33,4,0,239,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,11,0,0,22,0,0,0,0,0,6,20,3,0,35,7,8,3,3,8,19,9,0,0,63,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,3,10,11,33,44,5,0,127,7,10,3,10,11,33,44,5,0,127,39,37,31,35,65,68,80,8,0,363
LGA30760,299,124,182,202,222,302,225,111,37,1702,0,0,0,0,0,0,3,0,0,10,0,3,0,4,3,15,30,9,0,59,0,0,0,3,0,5,37,12,0,55,6,22,21,16,9,24,27,6,3,136,0,0,0,0,0,6,6,3,0,18,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,6,22,25,19,17,57,107,28,3,279,5,20,25,16,19,60,112,28,3,294,308,146,207,220,244,358,337,140,44,1996
LGA30900,55,60,72,49,48,60,19,9,0,374,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,10,22,0,0,37,0,0,0,0,0,10,7,0,0,20,6,7,7,3,20,23,19,3,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,7,9,24,38,52,3,0,151,6,11,9,9,24,38,52,3,0,153,60,70,78,55,72,99,70,14,0,527
LGA31000,194210,160021,184946,158713,139976,107873,74149,40088,19932,1079918,129,219,170,97,84,68,62,57,41,931,206,510,807,653,743,791,649,263,78,4697,107,224,504,472,470,411,491,185,45,2910,3973,6623,6409,3887,3640,3687,3154,1754,983,34103,29,54,103,101,122,168,180,67,15,838,34,74,198,172,175,185,109,32,4,992,24,30,41,35,71,102,114,48,11,481,17,45,62,38,57,40,14,4,0,278,36,27,83,69,72,72,62,18,8,454,0,0,0,3,0,0,3,3,0,9,4434,7586,8210,5439,5336,5454,4783,2385,1137,44760,4562,7809,8382,5535,5421,5520,4846,2444,1176,45698,198779,167830,193327,164256,145401,113394,78997,42532,21107,1125616
LGA31750,51,30,42,43,42,63,23,6,7,317,0,0,0,0,0,0,0,0,0,3,0,0,5,6,6,3,8,8,0,37,4,0,0,3,0,3,0,0,0,12,0,5,10,13,19,21,16,8,0,81,0,3,11,13,21,19,8,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,28,27,53,46,35,9,0,207,4,11,28,27,52,46,35,9,0,210,53,39,69,75,96,109,55,22,4,526
LGA31820,15989,9555,8620,9268,11523,12338,11547,6292,2237,87372,21,15,17,14,6,10,19,24,6,131,26,24,48,27,52,216,383,147,16,930,20,21,28,30,40,184,563,261,19,1167,342,605,477,397,510,637,655,257,95,3977,3,6,5,5,12,36,111,48,4,232,10,3,11,3,12,16,22,6,0,82,0,0,3,4,7,40,94,27,0,181,3,3,3,0,8,0,0,0,0,17,0,0,0,0,0,11,15,6,0,46,0,0,0,0,0,0,0,0,0,0,400,657,581,473,636,1157,1839,749,141,6639,415,671,595,486,644,1171,1858,774,153,6771,16407,10225,9217,9749,12170,13505,13407,7061,2388,94143
