LGA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
LGA30250,0,0,30,33,0,10,33,48,6,28,47,82,10,32,46,84,7,26,39,80,3,18,23,41,3,3,18,23,0,0,4,3,0,0,0,3,30,115,249,397,0,0,42,41,7,15,33,55,7,29,60,99,11,25,38,70,10,30,36,73,6,8,36,48,3,0,12,17,0,0,3,7,0,0,0,0,30,119,261,415,0,0,70,71,3,28,66,100,11,57,112,180,14,57,87,155,18,57,80,155,11,25,54,88,6,5,29,37,0,0,4,10,0,0,0,3,66,234,507,811
LGA30300,0,5,91,97,9,19,56,81,72,52,86,209,142,26,60,231,176,35,78,286,150,30,77,255,118,8,58,189,56,0,32,89,7,0,6,14,728,175,543,1449,0,3,92,94,6,21,55,82,103,59,80,241,165,34,37,232,165,33,60,257,167,20,61,248,91,5,45,139,39,0,36,71,0,0,17,20,732,177,476,1388,0,7,185,189,11,41,103,164,176,105,167,449,303,63,101,471,345,65,134,542,316,51,137,506,207,17,104,328,88,0,65,158,12,0,26,33,1461,355,1018,2838
LGA30370,0,8,330,338,14,88,256,355,354,178,276,805,552,90,195,831,562,82,215,861,542,54,207,802,325,20,144,492,182,8,85,272,31,3,21,54,2556,528,1731,4812,0,18,301,316,31,116,147,299,462,172,185,821,594,119,135,846,609,72,166,844,483,42,172,702,296,20,137,452,115,5,152,274,10,0,75,86,2604,564,1476,4644,0,23,633,652,48,205,402,655,817,347,463,1628,1146,207,326,1679,1172,151,382,1702,1024,101,380,1504,622,37,280,942,297,18,236,551,41,3,94,142,5162,1086,3210,9456
LGA30410,0,0,42,48,3,13,46,66,59,39,26,126,76,17,32,121,116,20,53,183,100,8,46,164,76,5,41,120,51,3,23,75,7,0,12,18,493,110,327,929,0,3,45,52,4,16,33,56,77,46,42,161,98,18,34,155,107,25,43,175,109,10,42,153,81,8,45,126,27,3,46,68,4,0,11,17,502,121,338,958,0,4,90,93,4,34,87,124,137,82,68,285,175,33,68,275,229,37,96,360,206,22,91,319,157,15,78,249,72,4,69,148,11,0,21,33,988,234,663,1886
LGA30450,0,0,5,5,0,0,0,0,0,3,7,14,3,3,4,13,13,3,9,26,7,0,4,19,9,0,7,15,0,0,4,4,0,0,0,0,42,13,48,101,0,0,4,4,0,0,0,3,0,6,4,12,10,3,5,14,14,3,4,20,9,0,4,11,7,0,8,13,0,0,0,0,0,0,0,0,44,15,27,79,0,0,6,6,0,0,0,8,5,4,14,21,9,10,8,26,32,6,13,54,18,0,7,29,15,3,16,33,0,0,4,4,0,0,0,0,81,23,76,177
LGA30760,0,0,37,37,3,4,16,23,26,25,33,86,56,18,14,83,61,10,32,96,108,6,32,152,87,3,37,125,30,3,23,55,3,0,4,4,364,68,222,658,0,3,29,26,0,10,17,28,33,23,30,85,72,18,16,113,86,13,18,115,106,8,26,140,62,3,35,96,9,0,38,47,3,0,12,14,373,75,229,675,0,3,59,62,3,18,33,55,61,44,63,171,128,33,37,193,139,26,51,220,219,17,61,292,145,6,70,221,39,3,61,102,7,0,16,19,738,147,457,1338
LGA30900,0,0,3,3,0,3,12,16,4,3,16,20,5,5,17,22,12,3,16,28,10,3,4,24,3,3,9,11,0,0,0,4,0,0,0,0,38,18,74,128,0,0,6,6,0,4,8,8,12,4,13,32,4,5,8,18,11,0,3,17,11,5,14,21,3,4,0,5,3,0,0,3,0,0,0,0,42,21,53,113,0,0,6,6,0,8,18,22,16,8,33,56,6,7,24,38,21,3,19,39,17,10,17,45,6,7,5,20,3,0,0,9,0,0,0,0,79,37,127,245
LGA31000,19,309,30961,31287,833,4565,36835,42238,26673,18106,40403,85178,45360,9768,18107,73235,41491,6770,16142,64402,32583,3788,13018,49392,23458,1645,8252,33353,11443,369,4370,16182,3047,72,2287,5403,184907,45393,170382,400682,50,538,30028,30616,1989,6569,34481,43040,35041,18474,34224,87739,48282,9296,19981,77560,41909,6268,20903,69076,31082,3215,19132,53426,20388,1123,15411,36922,8239,199,11856,20297,1425,33,7571,9027,188413,45705,193583,427697,72,845,60989,61902,2826,11134,71311,85272,61712,36574,74631,172921,93642,19062,38092,150795,83399,13036,37046,133474,63670,7004,32151,102822,43845,2770,23662,70275,19684,572,16230,36481,4474,103,9857,14430,373319,91092,363969,828382
LGA31750,0,0,0,4,0,3,0,3,3,3,8,19,10,4,4,19,10,4,9,16,19,4,7,26,10,0,3,9,0,0,4,3,0,0,0,3,48,20,40,106,0,0,5,6,0,3,4,12,7,4,9,20,6,6,8,17,9,8,0,18,18,0,5,22,4,0,0,7,0,0,3,3,0,0,0,0,47,19,37,101,0,3,5,5,0,4,9,17,11,9,18,36,21,10,9,35,17,7,10,33,35,4,10,47,10,0,10,16,3,0,9,6,3,0,0,7,98,37,76,208
LGA31820,0,45,2555,2603,93,373,1484,1951,1295,843,1586,3723,2270,585,1227,4080,2939,618,1579,5140,3480,505,1562,5546,3783,340,1336,5456,1920,92,784,2804,423,14,281,724,16200,3416,12404,32022,12,114,2306,2430,185,501,1233,1919,1740,861,1682,4286,2694,623,1416,4733,3315,654,1783,5746,3782,498,1791,6076,3344,262,1809,5412,1385,60,1531,2984,179,4,784,970,16636,3581,14337,34548,13,156,4863,5033,277,871,2719,3869,3036,1709,3266,8009,4965,1209,2642,8818,6247,1269,3363,10889,7267,1006,3356,11625,7125,599,3138,10865,3307,154,2315,5781,597,24,1072,1687,32830,6995,26743,66571
