LGA_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
LGA30250,60,40,105,0,3,4,3,0,3,61,49,113,69,74,142,0,0,0,0,0,0,69,71,141,54,60,111,0,0,0,0,0,0,57,60,112,34,47,80,0,0,3,3,0,3,36,47,84,44,51,100,5,5,11,0,7,8,55,64,114,40,47,91,7,3,13,0,0,0,47,49,101,40,49,88,8,0,8,0,0,3,48,50,100,39,33,72,3,0,4,4,0,6,42,33,79,42,41,84,5,7,11,0,0,0,48,42,94,42,42,84,7,4,5,0,0,0,51,40,93,28,40,66,11,3,12,0,0,0,39,43,83,27,22,51,0,3,9,0,0,0,29,34,60,15,15,33,7,3,11,0,0,0,20,23,41,28,25,52,3,3,4,0,0,0,30,25,56,564,586,1147,56,38,98,15,13,27,632,635,1269
LGA30300,27,36,63,106,110,212,13,11,19,149,151,301,53,40,92,131,108,236,14,17,33,198,160,363,41,35,74,90,89,178,17,9,27,153,128,280,31,31,63,93,81,174,10,23,31,136,130,266,23,26,52,74,67,142,4,12,19,98,105,205,24,24,47,104,100,204,14,3,16,133,132,263,16,16,35,88,118,205,6,11,19,103,147,254,14,22,33,102,98,206,7,8,17,121,130,254,15,21,35,122,105,228,11,18,28,149,141,291,12,28,34,134,114,241,19,13,40,164,153,322,24,25,50,131,108,242,12,16,28,170,151,320,22,21,42,128,112,234,16,9,25,163,142,306,14,12,24,115,122,238,11,10,17,140,141,279,30,21,50,304,265,564,34,32,61,363,318,683,339,351,697,1708,1603,3308,196,176,377,2251,2129,4377
LGA30370,39,43,80,443,449,896,43,33,73,519,526,1048,33,31,69,503,488,994,46,45,86,581,562,1144,36,30,62,445,398,841,42,31,68,520,453,976,16,35,48,357,317,669,23,33,61,397,378,776,15,18,37,377,307,682,30,25,57,423,349,779,17,15,32,387,392,781,54,29,85,457,442,899,32,25,54,461,417,881,54,39,87,545,488,1029,16,17,34,439,428,873,46,33,85,509,483,992,16,22,35,434,397,828,48,36,80,492,450,949,12,18,29,446,388,835,28,37,70,488,446,934,16,12,29,450,465,919,50,49,100,518,533,1045,14,19,32,454,398,856,46,39,86,520,453,976,15,11,25,380,320,700,27,22,47,423,354,775,15,7,23,904,908,1818,82,87,166,999,1005,2008,279,301,579,6489,6087,12576,620,540,1162,7388,6928,14319
LGA30410,13,12,31,82,71,154,12,4,17,110,86,196,14,13,29,85,94,180,9,5,14,111,112,221,10,7,13,76,62,131,5,15,19,89,82,170,6,9,8,47,56,105,9,3,13,59,62,122,7,4,13,67,56,126,6,4,12,89,69,158,5,8,15,68,71,140,9,6,20,83,88,170,3,3,9,67,87,154,3,8,11,68,98,170,7,3,7,72,68,139,7,4,11,77,82,162,3,3,6,63,85,144,10,9,18,69,98,164,5,3,8,99,91,192,8,10,20,110,109,221,0,9,9,95,97,191,13,3,13,111,104,211,7,0,7,85,97,185,6,3,12,106,98,202,4,6,7,87,74,165,8,4,7,97,83,180,6,3,10,245,234,478,24,16,43,273,257,533,86,83,169,1242,1236,2478,122,96,216,1449,1419,2865
LGA30450,0,0,4,8,3,7,0,0,0,6,3,14,7,0,7,3,7,10,0,0,0,9,7,17,0,7,6,6,4,9,0,0,0,9,9,16,0,0,0,6,3,8,0,0,0,11,3,16,0,0,0,7,9,17,0,0,3,5,12,19,0,0,0,7,3,7,0,0,0,7,3,7,0,0,0,8,12,14,0,0,0,6,7,17,0,0,0,5,7,13,0,0,0,5,9,10,0,0,0,7,3,11,0,0,0,7,4,11,0,0,0,7,8,15,0,0,0,10,8,15,0,0,4,18,17,33,0,0,0,24,17,41,0,0,0,12,6,17,0,0,0,11,11,19,0,0,0,12,8,18,0,0,0,15,6,21,0,0,7,20,18,39,0,0,3,22,19,42,12,14,33,129,99,227,9,4,17,149,123,267
LGA30760,4,3,5,44,61,98,4,7,13,49,67,118,10,7,13,55,48,108,3,10,16,73,60,129,6,11,11,37,32,70,3,0,3,47,40,84,5,3,12,36,29,70,3,0,3,43,36,83,4,3,9,29,32,62,3,0,3,37,33,67,3,3,4,49,38,81,5,0,5,55,38,88,4,0,3,43,52,102,3,3,6,54,61,113,3,6,4,46,54,93,3,0,0,44,54,101,3,3,6,47,61,110,0,6,9,55,66,120,7,5,8,54,51,102,0,4,3,61,55,119,0,3,3,53,73,128,4,5,9,62,83,141,6,4,10,80,79,163,5,6,6,94,87,179,4,0,4,72,64,136,3,3,8,78,71,145,7,0,5,198,195,392,7,11,19,207,209,417,58,50,106,848,856,1703,44,53,101,944,958,1903
LGA30900,0,4,3,5,8,11,0,3,3,6,16,16,13,10,20,3,3,9,0,4,3,16,16,30,4,6,19,3,3,6,3,3,4,12,12,25,4,7,5,10,3,16,0,0,0,11,6,22,5,3,7,10,14,25,0,3,8,16,22,37,3,3,7,19,15,26,0,4,6,23,18,43,4,5,9,11,13,26,3,4,10,12,22,39,5,4,13,7,6,13,0,0,6,17,11,27,5,3,9,8,9,10,7,0,9,19,11,28,3,5,8,8,12,19,3,3,3,11,13,27,7,0,4,12,3,15,0,3,4,22,7,29,0,0,0,14,12,18,6,3,7,19,18,33,4,0,3,14,16,24,4,3,10,16,17,33,3,0,6,15,10,26,3,3,4,21,10,30,55,57,115,131,108,242,33,38,71,228,201,426
LGA31000,755,750,1507,32448,30894,63339,1566,1518,3078,34759,33161,67922,788,802,1588,32799,31024,63825,1437,1327,2763,35030,33149,68178,810,778,1587,30440,28667,59103,1250,1231,2485,32498,30671,63170,903,888,1791,32705,32467,65172,1499,1489,2987,35109,34840,69948,1015,937,1951,45062,45559,90618,2852,2862,5715,48925,49360,98289,775,701,1474,45551,45971,91517,3163,3104,6267,49488,49774,99259,679,537,1215,44443,45038,89485,3000,2743,5741,48121,48320,96438,531,479,1011,38703,39729,78434,2384,2063,4442,41616,42270,83881,540,551,1085,37706,39133,76845,2210,1935,4148,40456,41619,82078,476,543,1017,35356,37193,72548,2194,1805,4001,38031,39539,77571,433,436,873,31725,32981,64710,1925,1704,3631,34085,35119,69207,318,368,683,27944,29717,57656,1658,1495,3151,29918,31580,61496,245,284,529,23694,25484,49184,1438,1350,2784,25378,27117,52501,309,449,764,59222,73453,132675,3482,4301,7779,63013,78204,141217,8570,8495,17070,517803,537300,1055107,30060,28921,58980,556440,574720,1131155
LGA31750,0,0,4,6,11,21,0,0,0,4,11,19,0,3,3,14,8,21,0,0,0,14,12,20,0,3,3,6,7,12,0,0,0,6,4,17,3,3,3,3,5,9,0,0,3,4,8,18,4,3,3,3,11,17,0,0,3,9,10,19,3,3,3,10,7,16,3,0,3,11,10,20,0,3,5,6,14,17,0,0,0,13,13,25,0,0,0,14,13,26,4,0,3,17,8,29,5,3,9,4,7,15,0,0,0,7,9,17,0,0,3,10,5,15,3,0,3,8,7,17,0,0,0,15,10,27,0,0,0,15,15,31,4,0,4,22,15,34,7,0,7,25,21,45,0,0,0,14,8,22,0,3,3,18,11,26,0,0,0,21,8,36,3,0,3,27,17,38,17,21,41,154,132,285,20,11,28,187,164,353
LGA31820,223,204,427,2102,1941,4043,155,172,322,2479,2313,4793,232,240,469,2552,2374,4924,175,182,356,2959,2798,5758,228,227,460,2639,2414,5058,173,168,338,3042,2815,5859,233,222,448,2489,2308,4795,196,180,375,2918,2705,5624,155,131,284,2043,1996,4040,177,161,335,2375,2285,4663,98,107,208,1960,2134,4090,162,164,325,2220,2409,4627,84,102,189,1954,2168,4127,169,146,310,2207,2412,4623,82,80,166,1897,2209,4103,158,117,274,2138,2404,4543,79,125,197,2329,2439,4767,178,174,352,2584,2735,5318,73,93,171,2463,2736,5207,195,193,390,2742,3027,5763,100,87,186,2817,3016,5837,240,203,450,3157,3313,6467,81,80,156,2890,3159,6045,249,225,471,3218,3461,6676,51,69,118,2920,3144,6070,230,237,471,3206,3457,6660,102,124,225,9606,10153,19756,766,775,1544,10473,11050,21517,1814,1891,3708,40674,42199,82873,3223,3095,6315,45716,47180,92897
