LGA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
LGA30250,0,4,6,70,0,74,0,0,0,1071,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,30,12,58,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,13,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,52,4,74,0,0,0,0,26,26,35,5,6,1188,40,1269
LGA30300,5,77,67,2035,24,2215,0,0,0,49,0,49,10,0,0,21,0,35,0,0,0,0,0,0,10,4,3,4,0,28,94,63,61,1323,12,1561,21,0,0,0,0,26,5,0,0,5,0,9,27,3,5,211,7,256,5,3,0,3,0,13,0,4,0,0,0,4,6,0,0,0,0,7,23,13,13,474,3,529,3,3,0,35,0,44,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,8,0,0,0,0,14,13,6,4,0,0,20,7,0,3,10,0,17,0,0,0,6,0,6,23,14,14,373,3,426,0,0,0,0,0,0,19,0,3,0,0,25,3,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,3,0,14,59,7,8,48,3,118,13,0,0,71,321,409,311,121,111,3463,367,4377
LGA30370,41,319,235,6210,112,6916,0,3,0,41,4,54,66,0,0,36,0,108,5,0,0,0,0,5,73,31,22,78,0,205,417,277,181,4093,114,5083,121,4,21,0,7,151,11,3,3,22,0,32,50,45,40,1035,24,1191,11,6,5,34,0,57,3,0,0,7,0,13,46,3,0,4,0,55,92,46,43,1192,25,1389,26,26,5,154,0,213,4,0,0,0,0,4,3,0,0,13,0,9,0,0,0,0,0,0,5,3,4,12,0,29,36,13,4,7,0,61,43,11,17,7,0,76,6,0,0,10,0,17,13,0,8,8,0,27,106,49,45,1066,26,1296,0,0,0,0,0,0,39,6,3,4,0,49,12,0,0,3,0,16,19,0,0,0,0,26,0,0,0,0,0,0,103,0,0,3,4,110,12,11,3,30,4,57,319,58,36,143,14,562,28,9,7,177,1054,1276,1427,557,407,10622,1313,14319
LGA30410,5,43,42,1317,14,1420,0,0,0,9,0,9,0,0,0,13,0,14,0,0,0,0,0,0,13,3,0,10,0,18,79,43,29,965,17,1128,11,0,0,0,0,11,3,0,0,3,0,10,12,3,9,145,4,172,0,0,0,0,0,3,0,4,0,3,0,3,11,0,0,0,0,11,22,0,4,259,3,297,8,0,0,19,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,9,0,3,0,0,15,4,0,0,3,0,4,3,0,0,4,0,8,0,0,0,0,0,3,28,13,10,238,0,282,0,0,0,0,0,3,12,3,0,0,0,10,4,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,32,6,3,31,0,70,13,0,5,26,191,229,193,72,71,2302,224,2865
LGA30450,0,0,6,99,3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,7,102,3,120,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,24,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,42,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,14,17,14,4,12,220,25,267
LGA30760,3,31,30,909,20,989,0,0,0,5,0,9,0,0,0,5,0,5,0,0,0,0,0,0,7,0,0,0,0,11,48,25,19,632,10,733,14,0,0,0,0,14,3,0,0,5,0,13,7,5,3,118,4,137,0,0,0,0,0,0,0,0,0,7,0,7,12,0,0,0,0,12,8,10,4,227,4,256,0,0,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,15,154,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,9,8,7,0,12,0,29,0,0,0,47,86,137,99,56,42,1588,116,1903
LGA30900,4,17,4,178,6,208,0,0,0,66,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,4,6,88,3,122,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,25,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,33,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,3,0,12,0,0,0,4,64,72,30,16,12,297,73,426
LGA31000,9036,40940,32109,231455,3770,317306,60,217,114,2219,37,2644,73900,1456,2432,2889,524,81200,2176,460,224,635,26,3521,7662,2659,1578,4192,117,16212,87438,37518,27315,223841,4295,380409,12913,292,1978,199,109,15499,4669,729,565,2358,54,8371,12074,4399,3211,39913,570,60169,5454,1856,828,4651,165,12953,1996,366,218,567,17,3161,37604,823,637,497,233,39796,23063,11468,7956,107535,1418,151447,13689,4641,2031,15765,363,36490,11650,43,298,95,40,12131,1344,431,237,1099,25,3142,778,104,67,93,6,1053,891,456,209,1228,14,2801,7658,858,606,297,119,9540,8993,2557,2149,746,108,14559,4662,895,662,2139,81,8440,3247,373,329,972,41,4967,23791,10128,7556,73887,1092,116454,2313,202,118,215,25,2877,6398,649,503,187,35,7774,5383,410,373,929,55,7150,5078,231,189,164,32,5691,895,132,30,33,8,1101,18765,312,550,260,162,20048,3005,807,549,3539,50,7950,102213,9137,8936,13543,1171,135001,3830,456,374,4175,62745,71584,417879,78539,60167,500576,73995,1131155
LGA31750,0,0,8,149,6,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,8,12,3,7,115,5,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,44,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,30,37,24,4,7,268,38,353
LGA31820,331,2783,1922,32639,727,38406,3,15,3,383,9,423,559,14,34,227,12,845,84,16,7,30,3,134,682,199,120,314,11,1326,5418,2580,1851,28287,759,38895,554,10,135,20,17,733,187,21,15,181,5,414,829,407,214,6769,106,8316,50,37,8,120,8,224,130,23,4,41,0,199,373,24,16,35,3,449,877,541,376,7901,144,9837,642,301,69,1202,46,2261,163,3,3,4,0,180,12,11,7,18,0,42,6,0,0,9,0,17,170,53,18,180,3,431,186,61,45,33,3,332,355,179,152,95,8,786,133,30,15,151,3,334,85,13,12,77,0,187,1295,616,443,7348,134,9834,22,7,0,14,0,43,198,17,18,10,3,253,144,25,15,85,3,273,54,3,10,39,0,99,86,13,8,11,0,119,136,3,4,0,0,142,189,42,23,231,4,488,1897,397,299,1350,65,4000,150,47,49,980,5933,7153,13087,5065,3522,63680,7541,92897
