LGA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA30250,0,0,3,11,10,23,0,0,0,0,0,0,0,0,0,13,19,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,78,62,141,0,0,0,0,0,3,268,297,566,32,18,44,0,0,0,400,406,808,0,0,0,0,0,0,0,0,0,13,11,24,0,0,0,0,0,0,13,7,20,185,194,375,3,0,3,0,0,0,189,194,380,34,23,60,632,635,1269
LGA30300,10,8,18,635,614,1247,0,0,0,16,18,26,0,0,0,633,636,1271,0,0,0,5,0,6,3,8,8,0,0,0,22,21,39,0,0,0,25,21,46,25,32,50,113,114,226,11,10,19,9,5,18,113,113,222,65,83,150,0,0,0,1665,1663,3329,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,7,8,0,7,8,347,262,609,0,4,4,0,0,3,352,264,613,219,189,410,2251,2129,4377
LGA30370,56,66,121,1722,1757,3478,0,0,0,186,177,367,0,0,0,1709,1657,3367,6,7,10,23,16,39,47,45,88,9,7,19,214,223,432,0,0,0,32,45,77,62,82,148,379,373,752,12,27,38,24,33,57,506,526,1035,185,176,364,5,8,10,5127,5153,10283,36,19,53,59,16,75,0,4,5,0,3,3,7,13,19,9,13,25,19,27,50,1266,978,2241,16,4,18,14,8,20,1289,993,2284,791,658,1447,7388,6928,14319
LGA30410,0,8,6,350,355,707,0,0,0,16,17,28,0,0,0,406,412,818,0,0,0,3,0,7,9,10,14,0,0,0,6,11,19,0,0,0,0,0,0,6,3,5,38,37,76,7,4,10,0,0,0,136,182,317,26,23,51,0,0,0,1006,1047,2056,8,7,14,8,10,11,0,0,0,7,3,10,0,0,0,3,4,3,10,5,16,277,223,502,0,3,7,0,0,4,278,230,507,138,116,252,1449,1419,2865
LGA30450,0,0,0,38,35,78,0,0,0,0,0,0,0,0,0,52,37,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,13,0,0,0,0,0,0,9,15,24,0,0,0,0,0,0,122,94,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,35,0,0,0,0,0,0,16,13,35,8,7,24,149,123,267
LGA30760,4,0,4,294,293,590,0,0,0,0,8,10,0,0,0,295,301,598,0,3,3,0,0,0,17,21,33,0,0,0,0,6,7,0,0,0,3,0,6,12,7,14,34,28,67,3,4,7,0,0,0,64,79,143,19,24,44,0,0,0,747,767,1518,3,4,11,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,124,112,236,3,0,3,0,0,0,130,114,238,59,67,135,944,958,1903
LGA30900,0,0,0,43,35,80,0,0,0,0,0,3,0,0,0,58,62,122,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,3,0,6,5,6,16,0,0,0,0,0,0,21,15,29,0,0,6,0,0,0,141,131,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,27,75,0,0,0,0,0,0,46,27,75,41,36,75,228,201,426
LGA31000,13545,17795,31345,57513,67466,124975,16,6,17,9826,11261,21089,279,343,619,122663,138813,261474,459,550,1008,7670,8032,15707,1412,1877,3290,1757,1898,3656,3709,4563,8278,718,727,1446,2707,3039,5746,6621,7930,14554,12651,13975,26626,837,1087,1927,1300,1481,2779,19426,25730,45159,12822,15043,27865,871,934,1804,263251,304770,568021,13247,11901,25139,11707,10793,22503,777,757,1534,55,54,102,5355,4229,9590,1906,2263,4177,7314,6546,13864,188560,168992,357554,2495,1882,4375,874,1287,2161,191924,172161,364089,54668,49992,104660,556440,574720,1131155
LGA31750,0,0,0,59,46,101,0,0,0,0,0,0,0,0,0,56,55,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0,0,0,0,8,10,18,0,0,3,0,0,0,124,111,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,37,74,0,0,0,0,0,0,46,37,78,23,17,37,187,164,353
LGA31820,314,453,769,8425,9190,17612,0,0,0,973,1059,2039,126,122,250,8150,8976,17126,124,155,283,64,77,143,299,404,705,148,155,309,982,1145,2127,17,17,27,329,363,694,495,553,1040,1680,1771,3453,177,239,421,194,243,433,3397,4188,7588,1402,1598,2998,159,192,349,27152,30455,57602,125,119,238,176,133,303,18,31,44,18,10,31,30,29,59,94,142,241,138,190,326,12837,11242,24083,129,93,217,65,89,152,13032,11420,24455,4760,4392,9152,45716,47180,92897
LGA31900,32,40,71,1402,1391,2791,0,0,0,60,52,110,0,0,0,3203,3146,6351,3,4,7,72,75,148,35,49,81,10,16,27,30,43,79,6,0,5,19,25,42,137,174,314,485,465,952,22,27,48,63,56,119,657,780,1436,158,194,355,3,12,15,6366,6504,12868,12,14,25,11,6,18,0,3,4,0,0,3,6,9,8,15,17,34,20,22,43,1436,1113,2545,4,3,13,0,3,9,1439,1118,2559,790,689,1481,8673,8402,17074
LGA31950,0,0,0,20,28,49,0,0,0,4,4,9,3,3,7,36,21,65,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,4,12,8,4,11,0,0,0,81,74,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,58,40,96,0,0,0,0,0,0,58,42,94,37,28,70,183,144,328
LGA32080,1120,1644,2763,10002,11051,21058,0,0,0,812,907,1717,8,10,17,16918,18929,35845,80,116,194,328,351,679,424,571,996,148,207,359,538,624,1165,35,19,56,319,370,685,1117,1443,2561,2185,2411,4600,107,133,239,347,429,778,2496,3206,5697,1936,2272,4212,62,60,124,37872,43098,80967,647,623,1270,293,269,563,87,69,156,20,15,41,446,398,847,315,420,733,785,836,1616,26470,23333,49807,250,200,453,143,162,304,26869,23693,50564,9722,9278,19002,77390,79508,156901
LGA32250,0,3,5,165,186,359,0,0,0,12,13,28,0,0,0,186,173,361,17,18,27,3,0,3,9,9,13,0,0,0,3,3,12,0,0,0,5,9,9,25,32,61,39,32,68,4,6,8,0,0,0,49,47,95,11,17,27,0,0,0,531,540,1072,3,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,338,305,639,3,0,3,0,0,0,341,307,647,129,102,227,1003,947,1958
LGA32260,97,151,241,2009,2051,4061,0,0,0,117,137,256,8,5,15,4267,4072,8334,0,3,7,118,134,250,119,172,290,35,43,75,69,78,140,0,0,3,36,37,71,321,320,644,340,398,741,11,24,40,64,89,153,667,726,1394,313,340,652,8,12,17,8512,8636,17146,41,39,88,16,14,24,3,0,6,4,7,15,378,318,691,71,74,145,451,400,852,3758,3071,6828,31,18,49,16,25,44,3809,3114,6922,1837,1604,3443,14769,13961,28726
LGA32270,87,97,178,2547,2460,5005,0,0,0,145,146,291,10,4,15,3612,3493,7102,5,8,13,26,31,58,46,58,105,31,40,72,151,154,307,0,0,0,58,45,105,224,220,446,465,374,840,38,59,98,49,37,89,954,994,1952,503,513,1017,15,15,29,8880,8655,17541,63,49,116,34,38,71,0,0,4,5,4,11,24,26,53,26,37,64,60,65,126,3291,2557,5848,49,47,94,16,14,29,3348,2616,5967,2278,1715,3995,14756,13240,27999
LGA32310,15,30,40,1091,1163,2253,0,0,0,41,81,126,0,0,3,1373,1503,2870,5,13,13,11,7,13,54,68,126,15,8,25,33,31,63,0,0,0,18,15,35,40,46,89,185,188,370,27,30,60,8,19,22,593,724,1318,103,109,215,3,0,3,3600,3998,7602,8,14,20,6,7,14,3,3,9,10,0,5,0,0,0,12,20,32,22,21,41,1501,1228,2725,7,12,19,4,3,5,1512,1240,2749,720,682,1400,5885,5992,11876
LGA32330,0,0,0,88,80,161,0,0,0,110,129,239,0,0,0,89,95,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,87,178,0,0,0,0,0,0,4,0,12,0,0,0,6,6,16,0,3,4,0,0,0,388,399,789,0,0,0,0,0,0,0,0,0,18,10,29,0,0,0,0,0,0,18,10,29,180,184,362,0,0,0,0,0,0,180,184,362,48,41,88,628,635,1269
LGA32450,13,13,27,282,227,514,0,0,0,11,19,30,0,0,0,489,381,872,0,0,0,3,0,5,9,10,15,0,0,0,4,9,12,0,0,0,3,0,4,19,14,31,37,28,59,0,5,4,3,10,15,95,94,192,29,22,50,0,0,0,987,816,1806,4,7,11,11,3,16,0,0,4,0,0,0,5,3,5,5,4,8,9,7,13,376,249,629,4,5,5,3,0,3,384,253,639,292,234,527,1706,1327,3032
LGA32500,25,30,55,290,273,561,0,0,0,15,25,40,0,0,0,360,306,669,0,0,0,3,4,9,15,24,42,0,0,3,90,117,208,0,0,0,11,9,19,30,40,69,61,44,105,0,7,3,4,12,14,68,67,129,58,53,115,3,3,6,1013,983,1995,15,7,20,5,0,5,0,0,0,24,23,45,0,0,0,11,7,14,35,32,62,714,544,1262,3,0,3,6,7,12,725,550,1273,462,349,813,2273,1950,4226
LGA32600,0,0,0,39,38,74,0,0,0,0,3,5,0,0,0,21,17,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,15,0,0,0,0,0,0,5,6,16,0,0,0,0,0,0,72,81,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,28,60,0,0,0,0,0,0,35,28,60,44,37,80,148,145,294
LGA32750,0,4,5,16,18,30,0,0,0,0,0,0,0,0,0,35,28,66,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,4,4,12,0,0,0,0,0,0,9,19,30,0,6,7,0,0,0,68,77,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,31,88,0,0,0,0,0,0,56,31,92,20,29,50,150,142,291
LGA32770,0,0,0,5,6,17,0,0,0,340,300,637,180,196,379,16,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,20,0,10,10,0,0,0,0,0,0,0,0,0,4,7,5,6,9,13,0,0,0,568,537,1100,3,0,3,0,0,0,0,0,0,0,8,8,0,3,6,0,0,0,3,6,9,97,98,197,0,0,0,0,0,0,97,98,197,47,44,89,707,692,1405
LGA32810,75,101,175,798,843,1641,0,0,0,44,33,80,0,0,0,1081,1135,2218,4,4,6,21,24,41,53,54,107,3,6,9,40,37,84,0,0,0,20,18,33,48,66,119,129,112,246,6,3,11,12,13,30,202,220,426,98,95,186,3,3,7,2573,2672,5250,21,10,29,15,7,15,3,9,14,11,10,15,10,8,16,18,17,40,38,32,70,2199,1941,4140,18,20,36,11,16,30,2230,1976,4208,1001,951,1957,5960,5758,11714
LGA33100,3,4,8,103,90,192,0,0,0,0,0,0,0,0,0,106,108,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,8,21,13,40,0,0,3,0,0,0,20,13,32,3,0,3,0,0,0,259,246,505,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,72,188,0,0,0,0,0,0,121,72,194,51,41,97,435,369,799
LGA33200,0,0,3,198,208,406,0,0,0,12,16,25,0,0,0,193,204,401,0,0,0,0,0,0,4,3,12,0,0,0,7,8,16,0,0,0,3,0,3,0,0,3,37,36,79,6,3,10,0,0,0,64,69,136,17,12,27,0,0,0,541,569,1112,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,111,265,0,0,0,0,0,0,148,118,264,81,72,151,777,756,1536
LGA33220,299,492,794,9527,10825,20345,0,0,0,1001,1122,2119,120,120,241,8246,9673,17922,101,108,205,118,101,224,337,401,738,74,91,162,757,885,1636,5,4,16,387,414,800,560,656,1216,1916,1937,3852,172,254,425,101,143,243,3045,3877,6925,1339,1553,2893,79,76,157,27875,32237,60114,144,156,304,86,81,161,13,21,34,15,15,33,20,17,37,140,228,367,172,264,430,15034,13210,28238,136,114,254,64,123,194,15241,13444,28685,5942,5042,10983,49773,51730,101504
LGA33360,287,336,623,5375,5441,10812,0,0,0,604,633,1237,9,3,7,6478,6566,13040,73,72,147,116,101,219,95,130,230,86,87,170,334,386,723,6,0,9,121,125,247,386,439,821,1257,1133,2383,85,142,229,59,73,128,1553,1741,3289,785,795,1586,44,46,97,17462,17914,35375,226,236,464,162,151,312,10,16,27,7,7,13,55,39,91,65,110,167,119,155,275,9963,8198,18156,115,95,208,42,56,92,10116,8347,18464,3264,2843,6105,31647,29989,61640
LGA33430,3478,5316,8793,41156,48561,89719,16,14,34,3226,3593,6822,19,22,42,53772,61671,115439,366,485,850,2534,2798,5335,1256,1540,2798,1438,1499,2935,1891,2315,4206,272,240,511,892,1022,1916,3907,4665,8569,7340,8180,15520,375,496,863,577,703,1281,9598,12180,21776,7897,9282,17174,420,495,922,136963,159757,296717,2111,1904,4012,2367,2034,4400,585,617,1206,24,24,41,848,622,1470,781,1113,1898,1650,1758,3415,92558,84041,176600,846,696,1537,501,841,1348,93904,85578,179482,29087,28616,57704,270141,285586,555721
