LGA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA30250,9,0,14,83,95,182,0,0,0,4,0,4,85,95,183,24,32,57,5,3,10,4,8,13,30,46,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,4,0,8,31,32,58,165,179,344
LGA30300,20,33,46,146,107,254,88,80,172,8,0,12,244,189,432,80,104,187,3,8,11,24,12,41,109,129,235,3,3,3,0,4,3,8,3,13,4,12,15,0,0,0,19,19,36,3,13,16,3,5,12,0,7,7,8,24,32,0,0,0,16,52,68,3,6,6,3,3,11,0,0,0,5,11,15,215,196,409,624,629,1254
LGA30370,83,88,170,526,452,977,115,136,251,88,83,173,726,669,1401,366,352,720,4,10,18,39,38,81,413,402,809,3,5,11,10,7,11,28,27,57,34,73,107,4,0,4,81,107,190,5,29,42,3,9,17,10,30,40,41,82,122,0,0,0,58,159,220,3,5,4,15,27,48,0,3,7,24,35,55,723,626,1355,2111,2095,4198
LGA30410,16,11,29,131,121,253,12,10,16,8,0,9,151,134,283,42,59,102,4,3,3,3,3,11,49,67,116,0,0,0,0,0,0,5,4,8,0,3,6,0,0,0,10,10,17,4,3,3,3,3,6,6,5,6,7,19,26,0,0,0,16,29,52,0,0,0,4,9,18,0,0,3,5,12,21,120,116,236,370,377,749
LGA30450,0,0,0,9,15,21,0,0,0,0,0,0,9,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,20,27,28,53
LGA30760,8,12,17,67,60,125,21,13,31,0,0,0,92,70,164,30,24,58,3,4,6,8,4,11,38,30,68,3,0,3,0,0,0,0,3,7,0,3,6,0,0,0,4,8,13,0,5,5,0,3,3,0,0,0,5,11,16,0,0,0,5,18,24,0,0,0,3,7,7,0,0,0,3,7,10,57,72,124,208,213,419
LGA30900,0,4,5,17,24,43,0,0,0,0,0,0,17,24,43,4,7,10,0,0,0,0,0,0,4,7,10,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,5,6,34,38,73,69,76,147
LGA31000,7252,6660,13908,29578,28133,57717,10398,10016,20412,4268,4208,8479,44246,42358,86609,16659,15458,32120,9777,9320,19091,7640,7575,15213,34072,32350,66419,2217,2247,4462,2091,3231,5314,1725,1339,3063,2866,4388,7255,63,68,128,8956,11273,20228,25150,29436,54593,9718,10276,19999,2308,2911,5222,7332,10363,17697,113,159,273,44622,53150,97776,2137,2587,4724,2381,3891,6274,59,64,125,4577,6550,11128,36683,34561,71240,180408,186896,367304
LGA31750,0,3,3,9,11,23,0,0,0,4,3,6,13,16,27,0,6,4,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,28,10,42,45,44,88
LGA31820,459,414,874,2937,2709,5647,529,536,1068,432,385,816,3900,3635,7530,1991,1825,3818,592,607,1196,413,356,769,3003,2789,5789,68,109,179,60,168,226,120,157,278,141,374,521,7,12,22,397,824,1218,251,362,613,140,309,448,64,129,196,199,534,736,0,3,4,655,1339,1997,72,94,167,149,255,403,6,6,16,232,353,588,3715,3663,7380,12363,13006,25369
