LGA_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
LGA30250,3,10,19,15,19,5,0,0,0,73,5,6,0,3,8,0,0,0,0,18,13,17,28,33,41,16,0,0,0,141,4,7,13,9,6,3,3,0,0,52,10,10,28,26,14,18,16,0,0,121,0,0,3,0,0,0,0,3,0,10,4,4,7,3,3,3,0,0,0,23,34,55,95,94,89,46,23,3,3,442,3,17,16,10,19,8,0,0,0,74,3,10,5,6,11,7,0,0,0,42,9,24,51,29,29,20,3,0,0,163,7,7,8,8,8,8,0,0,0,49,6,5,15,16,12,13,9,7,0,93,0,0,0,0,0,0,0,0,0,3,0,3,3,3,4,3,3,0,0,14,29,63,107,81,82,50,23,7,0,442,10,26,32,22,36,14,0,0,0,144,8,10,8,11,12,7,0,0,0,59,20,41,77,60,64,30,8,0,0,301,7,16,23,19,15,14,5,0,0,105
LGA30300,43,56,126,125,96,75,35,13,0,578,4,9,25,21,34,18,11,3,0,117,14,25,49,73,134,117,60,29,4,510,3,6,10,13,23,25,17,6,0,101,0,0,5,3,13,31,66,38,8,175,0,0,0,0,0,0,10,4,0,16,10,6,19,32,38,30,38,12,4,194,79,98,238,271,337,301,236,110,16,1699,39,77,193,180,129,91,45,6,10,760,6,5,24,19,29,19,6,4,4,124,8,13,35,38,85,115,55,25,13,380,0,0,4,7,16,20,13,0,4,55,0,0,3,3,8,26,41,36,12,130,0,0,0,0,0,0,0,4,0,12,20,12,17,23,38,21,21,15,7,174,76,105,278,274,304,288,182,95,46,1634,82,128,322,311,226,168,76,22,7,1341,8,17,47,35,55,36,15,6,3,241,24,36,80,113,220,232,115,51,13,893,7,6,20,20,37,42,32,11,4,164
LGA30370,116,224,523,485,268,169,74,33,10,1903,20,43,80,83,108,71,21,4,0,422,46,93,206,243,423,437,176,53,15,1699,6,17,34,40,63,90,46,27,3,330,3,8,34,36,43,64,194,159,39,584,3,3,6,3,3,3,10,11,3,37,29,34,115,109,100,105,68,45,10,614,219,423,999,998,1002,944,597,324,87,5587,124,256,664,599,359,196,67,35,10,2315,19,32,42,66,97,64,22,11,5,354,29,36,112,149,360,357,207,76,17,1337,10,3,17,23,37,65,56,21,4,243,0,0,19,10,17,50,123,136,69,419,0,0,0,3,3,0,0,3,0,18,30,26,75,76,88,76,68,52,24,517,206,349,925,931,971,810,541,338,131,5202,235,477,1192,1085,635,369,142,66,20,4222,38,77,118,152,208,133,45,11,8,781,71,130,315,397,780,795,384,126,30,3039,15,21,50,66,99,158,103,47,7,572
LGA30410,21,59,81,76,64,45,28,11,0,381,0,5,4,8,14,12,3,3,0,51,9,20,41,45,101,86,41,19,0,355,0,3,7,7,16,20,9,3,0,68,0,0,4,3,8,19,59,32,10,146,0,0,0,0,0,0,0,3,0,5,5,6,16,13,11,16,22,21,5,116,38,89,152,152,222,201,158,96,18,1124,25,50,131,117,94,56,31,13,3,506,3,3,11,11,26,17,0,0,0,74,3,13,28,26,71,77,48,24,3,293,0,3,3,3,6,7,4,9,0,39,0,0,0,0,3,11,37,21,12,100,0,0,0,0,0,0,0,0,0,0,3,3,14,20,10,5,23,15,4,97,30,69,185,174,210,183,151,82,28,1107,44,101,215,189,159,104,53,26,3,895,3,9,16,23,34,29,8,5,0,124,14,31,65,78,173,164,87,39,7,645,0,4,10,8,26,27,20,14,3,110
LGA30450,3,0,5,3,11,3,0,0,0,34,0,0,0,0,3,0,3,0,0,8,3,0,7,5,10,8,8,0,0,42,0,0,0,3,6,0,0,0,0,7,0,0,3,0,7,10,10,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,10,5,20,13,32,27,16,4,0,126,3,8,9,9,13,7,4,0,0,50,0,0,3,5,3,3,0,0,0,13,0,0,0,3,5,3,5,0,0,21,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,3,12,11,15,22,21,16,5,3,104,7,10,18,7,19,14,7,0,0,77,0,3,3,5,9,3,0,0,0,23,4,3,9,11,15,15,13,0,0,63,0,0,0,3,3,0,3,0,0,10
LGA30760,11,22,63,47,31,39,17,7,0,229,3,0,3,9,8,6,6,0,0,38,3,11,18,27,42,72,36,14,0,234,0,0,3,13,17,11,14,9,0,73,0,0,4,4,11,21,45,25,3,112,0,0,0,0,0,3,4,0,0,9,3,3,6,6,6,11,12,8,3,62,24,37,104,101,121,171,137,58,14,760,7,20,73,80,48,45,16,10,0,308,0,0,4,8,12,7,7,4,0,50,3,3,7,23,56,72,40,11,6,230,0,4,5,0,6,4,4,6,0,33,0,0,0,5,5,12,32,24,19,93,0,0,0,0,0,3,0,0,0,3,3,3,4,11,10,9,16,14,0,62,24,33,96,123,136,156,115,61,25,772,17,46,137,126,80,82,31,17,0,537,4,0,13,17,19,16,18,3,0,94,12,16,26,45,105,149,75,23,8,460,3,4,12,13,23,14,26,13,6,104
LGA30900,6,9,16,5,3,5,0,3,0,40,0,0,3,0,3,0,0,0,0,12,8,8,12,5,8,15,6,0,0,62,0,0,3,3,4,3,0,0,0,14,0,0,0,4,8,5,9,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,5,5,3,10,0,0,0,32,11,16,36,32,31,37,18,8,0,188,3,12,27,6,4,10,0,0,0,61,0,0,0,0,0,0,0,0,0,5,0,0,5,3,9,9,3,0,0,34,0,0,3,6,4,0,0,0,0,15,0,0,0,3,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,11,0,3,8,0,0,0,34,8,22,44,19,18,29,5,3,0,157,7,21,43,12,12,13,3,5,0,108,0,4,3,3,3,3,0,0,0,16,8,8,14,9,20,25,7,3,0,88,0,0,3,11,4,4,3,0,0,30
LGA31000,14613,40571,78620,63698,46284,31689,18384,6754,1941,302554,888,1795,3845,3805,4705,3241,1692,618,197,20781,995,2161,5383,6611,12677,12715,8861,4214,1303,54923,249,402,935,1050,1669,1773,1555,1024,419,9086,98,185,514,715,1116,1477,3493,3404,1685,12689,30,141,451,346,484,460,319,227,121,2576,1633,3547,7756,5808,5136,3911,3054,2301,1404,34558,18499,48813,97507,82027,72076,55264,37357,18545,7068,437162,15813,42621,83118,69314,50226,31223,15518,5796,2393,316020,704,1287,2894,2989,4413,3195,1887,938,367,18681,738,1563,3718,4912,12833,16452,13234,6609,2974,63032,185,324,650,823,1285,1828,1963,1513,839,9406,80,176,525,774,1107,1752,4641,4945,3524,17523,18,122,383,442,574,651,389,476,256,3311,1524,3168,6711,4585,4164,3539,3245,3132,3460,33530,19073,49256,98003,83835,74606,58633,40879,23406,13818,461505,30431,83195,161733,133012,96508,62914,33902,12549,4330,618572,1588,3083,6743,6793,9124,6436,3576,1558,571,39468,1740,3724,9095,11521,25507,29164,22096,10820,4279,117949,438,728,1592,1874,2953,3601,3518,2538,1256,18490
LGA31750,3,3,5,14,9,10,0,0,0,37,0,3,0,4,0,3,0,0,0,16,0,3,12,8,12,7,3,0,0,49,0,0,4,0,3,4,0,0,0,14,0,0,0,0,0,10,9,0,3,21,0,0,0,0,0,0,0,3,0,0,0,0,0,7,3,7,9,0,0,29,4,9,26,29,29,42,17,5,3,160,8,8,19,9,7,7,3,0,0,62,0,0,0,3,0,5,0,0,0,7,0,0,3,7,5,7,0,0,0,26,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,11,9,10,22,23,19,30,8,3,0,124,10,12,20,18,15,19,3,0,0,99,0,3,0,10,0,5,0,0,0,26,3,3,14,14,18,14,0,0,0,76,0,0,5,3,7,4,0,0,0,16
LGA31820,808,1449,2491,2205,1628,1472,1231,587,144,12003,158,227,366,434,548,423,311,134,18,2603,230,392,899,1273,2381,2861,2105,760,161,11057,61,70,196,300,480,583,654,305,74,2729,11,26,80,113,252,408,1253,935,327,3408,3,9,14,16,33,34,43,21,5,180,192,196,378,376,570,641,708,482,217,3758,1460,2371,4426,4718,5897,6420,6302,3220,944,35747,823,1511,3105,2881,2168,1634,1118,536,168,13948,127,205,369,454,648,465,282,143,29,2731,194,310,765,1118,2495,3249,2417,878,272,11699,52,49,156,225,351,600,607,324,125,2492,9,10,46,89,152,336,1060,935,499,3140,0,3,18,4,20,20,26,30,11,142,172,187,362,362,491,609,674,589,305,3745,1377,2276,4822,5140,6329,6909,6187,3441,1408,37888,1631,2960,5592,5092,3794,3104,2350,1116,306,25953,285,432,734,892,1196,888,594,270,45,5337,423,704,1658,2390,4880,6110,4525,1640,435,22760,115,114,354,521,829,1185,1263,631,197,5215
