LGA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA30250,15,16,47,44,28,31,23,8,3,218,0,0,4,0,0,0,0,3,0,15,4,5,5,9,7,3,5,0,0,36,62,118,201,173,167,101,44,9,0,879
LGA30300,0,0,7,11,23,59,111,75,26,303,0,0,0,3,0,3,10,12,0,23,33,17,44,52,75,57,64,23,10,369,154,205,517,545,639,582,415,202,64,3332
LGA30370,3,8,51,45,64,114,321,295,111,1003,3,3,6,7,5,9,10,13,3,56,57,59,189,193,187,178,135,97,31,1127,431,779,1925,1931,1976,1746,1132,661,211,10797
LGA30410,0,0,5,3,13,35,99,59,29,244,0,0,0,0,0,0,0,3,0,9,9,9,30,27,28,25,46,29,7,209,74,158,337,327,431,382,304,172,51,2227
LGA30450,0,0,6,0,7,11,10,8,0,35,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,3,0,0,0,15,12,19,26,23,56,40,33,5,3,227
LGA30760,0,0,4,3,20,34,80,47,19,203,0,0,0,0,0,6,7,0,0,12,10,4,11,14,20,22,24,19,4,130,46,67,200,224,257,321,258,126,42,1535
LGA30900,0,0,0,10,13,8,11,0,0,36,0,0,0,0,0,0,0,0,0,0,3,8,16,8,5,15,0,0,0,66,20,37,81,50,55,70,25,9,0,348
LGA31000,174,362,1045,1488,2223,3228,8137,8351,5207,30209,47,266,837,781,1059,1109,705,703,378,5888,3157,6717,14464,10389,9306,7448,6301,5434,4867,68080,37569,98068,195502,165858,146681,113898,78240,41955,20889,898664
LGA31750,0,0,0,0,3,10,8,4,3,29,0,0,0,0,0,0,0,3,0,4,0,3,5,5,3,13,7,0,0,39,10,19,48,46,49,69,29,12,7,289
LGA31820,23,40,131,198,406,742,2319,1871,823,6552,9,8,31,28,53,57,63,52,18,320,361,386,737,735,1064,1247,1384,1077,519,7506,2841,4645,9242,9860,12224,13331,12497,6659,2347,73643
LGA31900,0,3,20,35,61,133,447,420,216,1334,0,0,3,7,11,7,14,17,8,76,53,73,135,151,199,215,270,188,113,1396,496,915,1674,1946,2345,2490,2023,1147,463,13499
LGA31950,0,0,3,6,8,0,4,3,0,29,0,0,0,0,0,0,0,0,0,3,4,6,13,16,5,23,4,0,0,66,14,29,52,46,47,60,22,3,0,274
LGA32080,52,61,202,270,406,662,1411,1114,578,4759,8,40,151,168,186,137,106,79,38,920,828,1008,2350,2244,2397,2031,1514,907,421,13694,4807,9130,21303,22673,22861,19009,12619,5304,1980,119690
LGA32250,0,0,4,5,21,41,50,22,4,145,0,0,0,0,0,0,11,6,3,22,8,24,38,35,36,40,20,10,0,211,82,135,259,240,295,260,193,64,10,1531
LGA32260,11,12,55,70,107,263,581,531,277,1908,0,9,13,12,25,33,32,26,22,165,134,160,410,353,466,521,441,260,85,2831,773,1428,3159,3143,4053,4477,3261,1706,647,22654
LGA32270,6,8,27,29,93,179,298,177,46,867,0,5,6,5,7,6,16,8,5,68,196,234,650,602,610,428,218,106,28,3061,815,1712,4633,4133,3965,2939,1424,558,133,20318
