LGA_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
LGA30250,18,4,11,6,3,0,0,0,0,38,11,0,5,6,0,0,0,0,0,22,7,31,45,51,42,22,7,3,0,210,3,3,11,12,4,6,10,0,0,48,3,0,4,0,3,6,0,0,0,13,4,3,0,5,3,3,3,0,0,22,0,0,3,3,3,0,0,0,0,17,0,0,0,3,3,0,0,0,0,12,0,4,0,3,4,0,0,0,0,17,0,0,3,0,3,3,0,0,0,14,0,0,0,0,3,3,0,0,0,6,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,5,0,5,3,4,3,3,0,0,0,18,36,55,95,91,85,46,23,3,3,449,23,0,3,0,4,3,0,0,0,28,3,5,0,3,0,0,0,0,0,13,14,27,56,37,53,25,9,3,0,221,0,8,14,10,15,8,9,3,0,69
LGA30300,49,3,8,9,21,9,12,4,0,124,15,0,0,0,9,0,7,0,0,33,7,7,11,9,15,14,22,7,3,95,4,4,14,6,13,16,43,29,6,129,11,9,13,8,12,23,36,14,4,131,12,3,19,15,11,22,14,11,3,113,7,22,26,13,24,24,14,6,0,135,7,15,34,36,44,35,15,5,0,197,3,17,42,45,37,32,17,5,0,189,0,3,23,34,37,33,6,0,0,139,0,11,15,23,27,14,3,0,0,94,0,3,9,17,8,14,0,3,0,60,0,0,8,21,12,10,3,0,0,59,0,0,0,13,15,8,8,0,0,42,21,5,21,22,47,29,36,18,3,209,136,98,238,271,337,301,236,110,16,1748,32,7,21,12,19,30,12,3,3,137,27,3,17,10,9,10,7,0,0,75,16,6,19,18,19,21,15,9,3,131,5,13,21,22,21,36,32,22,4,177
LGA30370,126,14,23,14,36,49,28,8,0,309,65,15,10,11,10,18,18,3,0,150,25,28,21,30,19,39,55,31,3,252,16,20,20,15,24,50,84,69,21,324,26,16,27,27,44,50,62,48,27,315,49,33,31,29,41,41,58,32,9,331,18,55,78,57,54,78,32,22,4,396,13,48,93,74,83,74,46,11,3,446,8,46,125,103,84,84,36,16,3,509,5,37,76,75,63,66,22,8,0,355,0,20,74,71,79,57,20,13,0,337,0,17,81,75,77,55,14,4,0,325,0,21,158,217,197,119,29,3,0,743,0,0,49,85,90,68,16,10,0,320,46,42,124,120,101,101,78,36,12,663,397,423,999,1000,1002,942,593,324,87,5769,113,31,141,85,88,113,44,12,3,636,81,21,31,45,46,58,22,4,3,308,42,26,73,74,68,66,48,32,8,444,13,30,52,62,70,64,101,63,20,475
LGA30410,19,0,5,8,7,7,4,4,0,53,5,0,3,0,3,4,0,3,0,23,3,3,5,3,11,8,20,3,3,58,3,3,3,3,8,13,37,21,6,100,3,6,5,7,5,10,27,15,3,83,8,15,6,4,9,19,5,9,4,75,4,11,13,9,13,14,6,8,0,85,0,20,21,25,30,24,12,4,3,135,4,8,29,19,24,22,11,0,0,118,0,10,16,11,18,12,9,0,0,76,0,0,15,16,26,13,3,0,0,67,0,0,5,9,10,9,3,0,0,41,0,4,12,18,13,7,3,3,0,55,0,0,6,9,14,6,5,3,0,40,11,6,21,12,15,23,17,17,0,122,59,89,152,152,222,201,158,96,18,1141,13,0,9,15,20,15,4,8,0,89,13,0,10,5,11,5,4,0,3,60,3,7,18,16,9,17,22,9,4,99,4,6,12,12,10,20,31,17,3,112
LGA30450,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,6,0,0,3,0,0,7,3,3,0,14,0,3,0,0,3,0,0,0,0,11,6,3,0,0,5,4,0,0,0,13,0,0,3,0,0,3,0,0,0,12,0,0,6,3,3,3,3,0,0,19,0,0,4,0,3,4,3,0,0,16,0,0,0,0,5,0,0,0,0,6,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,11,5,20,13,32,27,16,4,0,129,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,0,8,0,0,0,0,3,0,8,0,0,11
LGA30760,13,0,0,3,3,6,4,3,0,40,8,0,0,0,3,5,7,0,0,26,5,0,8,4,8,11,16,9,5,57,5,3,3,3,11,15,31,14,0,85,0,0,4,3,4,14,26,13,5,74,0,3,5,5,10,12,9,4,3,56,0,3,14,8,16,17,3,0,0,62,0,6,15,15,20,16,8,3,0,83,0,3,18,20,11,19,8,0,0,83,0,0,14,9,8,14,3,0,0,38,0,4,4,8,3,3,4,0,3,39,0,0,5,3,8,8,3,0,0,24,0,0,9,0,4,4,0,0,0,15,0,0,0,0,5,3,0,0,0,17,10,3,16,7,11,13,7,11,0,82,43,37,104,101,121,171,137,58,14,778,12,0,8,3,10,23,9,3,0,68,4,0,8,0,14,7,0,0,0,29,5,3,7,17,10,16,11,5,0,65,0,0,7,14,13,17,35,9,5,101
LGA30900,3,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,4,0,4,0,6,0,0,0,0,0,12,0,3,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,4,3,0,0,3,0,3,0,0,0,7,4,6,6,0,3,7,0,0,0,30,0,0,8,3,5,0,3,0,0,21,0,0,4,3,6,3,0,0,0,23,0,0,0,0,4,0,0,0,0,10,0,0,3,0,0,7,0,0,0,12,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,9,0,0,0,0,4,0,0,0,0,6,3,3,5,6,4,15,0,0,0,38,11,16,36,32,31,37,18,8,0,189,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,9,0,0,3,3,4,0,0,0,0,11
LGA31000,16271,6981,4729,2246,2194,2781,1711,616,227,37755,7157,3109,1089,682,781,1099,958,332,107,15318,3839,5515,3599,2112,1995,2610,2588,1508,476,24240,1530,3828,3347,1987,2098,2759,5146,4031,1453,26186,1240,3767,4016,2134,2309,2819,4707,2913,1293,25208,1133,4639,5326,2629,2408,2794,3826,2175,620,25554,641,4823,7357,3982,3316,3248,2891,1452,465,28166,393,4830,10716,6279,5320,4530,2935,1002,312,36312,202,4022,12956,8384,6868,5380,2716,794,249,41568,69,1952,10072,7168,5818,4159,1670,421,119,31451,41,760,8728,8130,6434,4156,1313,295,92,29945,13,345,5727,6774,5343,3253,903,197,60,22606,17,324,8438,13215,10971,5886,1417,314,106,40699,23,120,3109,10050,10814,5833,1641,418,123,32129,2538,3921,8400,6313,5438,4003,2964,2090,1366,37020,35109,48925,97604,82075,72118,55295,37384,18558,7071,454147,13702,7471,9481,7675,5676,6050,2516,908,414,53899,8852,3112,2203,2671,2121,2414,1350,481,168,23366,4881,5844,4642,4015,3394,4269,3537,1839,675,33091,1855,4296,4446,3626,3500,4257,6926,4719,1723,35348
LGA31750,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,3,0,5,0,3,0,0,0,15,0,0,3,5,3,3,4,0,0,21,0,0,3,0,4,3,0,0,0,13,0,3,5,3,0,0,0,0,0,10,0,0,3,3,4,3,0,0,0,14,0,0,0,0,0,4,0,0,0,10,0,0,0,7,3,3,0,0,0,12,0,0,3,3,0,0,0,0,0,3,0,0,5,3,5,7,6,3,0,30,4,9,26,29,29,42,17,5,3,160,3,0,0,0,3,0,0,0,0,10,0,3,0,0,3,0,0,0,0,7,0,0,3,0,0,0,0,0,0,5,5,0,0,0,0,3,3,0,0,10
LGA31820,1158,145,131,144,192,341,166,67,13,2359,590,100,78,74,98,203,161,46,18,1374,327,333,350,328,456,667,617,279,74,3428,138,178,215,233,383,645,1704,1025,257,4767,150,201,258,247,412,585,1056,626,188,3724,120,268,290,262,326,448,616,320,89,2754,81,311,467,361,463,464,387,183,46,2763,41,309,618,529,625,590,340,91,27,3166,15,168,597,611,669,611,289,81,24,3067,0,64,347,411,432,354,114,32,6,1762,0,37,252,363,429,326,63,12,5,1496,0,22,136,237,260,211,38,18,5,925,0,13,194,317,360,238,54,6,3,1196,5,12,77,162,203,133,43,17,5,661,296,229,408,427,590,606,657,419,177,3805,2918,2375,4434,4718,5896,6419,6310,3226,941,37236,853,115,297,331,433,657,184,75,22,2963,673,102,137,149,182,307,157,43,16,1761,380,273,384,415,566,929,635,278,71,3923,187,227,402,408,557,947,1814,931,228,5714
