LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA30250,0,5,3,3,10,3,0,0,0,23,0,0,3,3,6,3,0,0,0,17,0,3,3,0,3,5,0,0,0,15,0,0,3,0,0,4,0,0,0,10,0,0,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,12,6,11,9,9,7,0,0,0,45,84,114,201,174,169,101,44,9,0,901
LGA30300,4,21,64,67,68,51,31,6,3,314,0,13,37,45,51,47,10,3,0,209,0,12,31,34,52,26,5,0,0,160,0,3,18,19,20,24,0,3,0,87,0,0,15,26,22,19,7,0,0,84,0,0,6,14,17,15,10,0,0,68,55,15,40,51,80,59,71,29,12,404,266,205,517,545,639,582,415,202,64,3437
LGA30370,11,85,203,190,165,136,61,28,8,887,3,52,135,126,107,96,32,15,0,563,0,26,116,105,120,91,29,19,4,509,0,23,90,103,100,72,19,5,0,412,0,31,199,241,227,144,33,8,0,874,0,0,60,89,105,80,20,8,0,377,92,68,209,212,219,189,162,92,32,1272,776,779,1926,1935,1976,1749,1133,661,211,11152
LGA30410,3,18,39,26,48,35,17,0,0,192,0,8,32,29,37,22,5,0,0,140,0,3,20,27,34,21,4,0,0,104,0,0,8,17,16,19,3,0,0,65,0,4,17,21,19,15,7,3,0,81,0,0,8,7,21,13,9,3,0,57,14,13,38,27,35,39,34,29,6,237,122,158,337,327,431,382,304,172,51,2279
LGA30450,0,3,9,8,8,3,5,0,0,33,0,0,7,0,11,4,3,0,0,26,0,0,0,0,6,0,0,0,0,10,0,0,0,3,0,3,3,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,3,3,0,0,0,0,5,0,16,16,19,26,23,56,40,33,5,3,232
LGA30760,0,6,31,34,28,30,16,3,0,150,0,0,16,19,9,14,4,0,0,59,0,3,14,11,6,9,5,0,3,58,0,0,7,3,4,7,3,0,0,31,0,0,8,3,3,5,0,3,0,30,0,0,0,4,10,5,0,0,0,18,10,6,19,10,23,25,21,28,3,155,83,67,200,220,257,321,258,126,42,1572
LGA30900,0,0,11,8,3,8,4,0,0,34,0,0,3,5,6,0,0,0,0,17,0,0,3,0,0,7,0,0,0,12,0,0,0,3,0,3,0,0,0,5,0,0,6,0,3,3,0,0,0,13,0,0,3,0,4,0,0,0,0,8,3,10,17,11,8,23,0,0,0,68,22,37,81,50,55,70,25,9,0,351
LGA31000,294,7676,25521,16805,14630,10889,4636,1423,597,82474,115,3449,19701,14152,11959,7842,2750,700,256,60917,71,1301,16094,15267,12620,7854,2086,527,206,56034,19,506,9653,11357,9481,5525,1402,359,130,38426,22,439,12950,20002,16723,8720,2068,564,224,61722,45,196,4129,13479,13947,7364,2193,699,266,42320,4792,7476,15608,11322,9959,7694,6211,5094,4994,73148,69948,98289,195695,165961,146777,113996,78318,41994,20904,931879
LGA31750,0,3,9,3,9,8,0,0,0,28,0,3,5,7,3,0,0,0,0,19,0,0,3,3,3,3,0,0,0,20,0,0,0,3,0,4,0,0,0,14,0,0,0,7,3,6,0,0,0,20,0,0,3,3,0,0,0,0,0,4,3,3,3,3,8,15,9,3,0,40,18,19,48,46,49,69,29,12,7,289
LGA31820,20,287,974,1057,1213,998,421,157,48,5172,3,105,565,677,725,581,164,56,10,2887,0,59,398,618,725,538,99,22,7,2462,0,24,204,363,404,306,60,26,9,1409,0,17,261,429,497,339,94,21,7,1660,14,9,97,217,270,177,80,35,13,904,557,447,810,785,1102,1225,1289,923,518,7661,5624,4663,9253,9864,12237,13336,12504,6662,2348,76488
