LGA_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
LGA30250,0,58,3,61,3,122,0,127,0,37,0,36,0,48,0,55,0,91,3,95,0,91,3,91,4,78,3,85,8,39,0,46,4,22,0,23,3,3,0,3,3,0,0,3,25,596,13,632,0,45,0,49,0,134,0,130,0,42,0,47,0,61,3,64,0,104,0,107,0,79,0,81,3,81,0,82,5,44,3,50,7,14,0,23,5,0,0,7,0,0,0,0,22,599,16,635,0,109,3,113,3,255,0,260,0,82,4,84,3,107,6,114,3,190,3,201,0,165,7,174,4,163,0,169,10,87,3,101,10,36,0,44,6,0,0,9,0,0,0,0,50,1191,29,1269
LGA30300,0,128,14,149,10,309,27,349,3,118,12,136,0,95,5,98,3,225,12,238,3,241,28,271,8,292,38,337,16,260,19,301,20,188,31,236,20,73,10,110,12,8,0,16,98,1946,204,2251,0,144,9,151,6,263,25,288,3,108,20,130,4,88,13,105,0,257,18,278,4,239,29,274,11,262,31,304,7,258,19,288,9,150,18,182,24,63,6,95,23,14,3,46,98,1852,178,2129,0,275,23,301,13,572,52,643,9,230,31,266,3,184,15,205,0,488,31,517,6,479,54,545,14,558,69,639,24,516,39,582,37,333,52,415,48,143,16,202,35,24,3,64,194,3802,385,4377
LGA30370,3,473,41,519,30,985,77,1099,8,360,25,397,12,376,40,423,15,868,114,999,12,876,120,1000,24,890,88,1002,34,815,90,942,46,496,51,593,57,243,27,324,40,40,3,87,283,6425,680,7388,0,485,46,526,17,925,74,1023,8,338,39,378,6,323,30,349,8,840,76,925,6,840,80,931,19,860,95,971,25,713,72,808,38,450,53,541,68,241,29,338,61,60,10,131,253,6079,599,6928,9,958,89,1048,48,1916,160,2119,11,698,65,776,19,699,65,779,20,1709,193,1926,16,1716,201,1935,51,1753,174,1976,63,1530,159,1749,78,946,111,1133,120,485,51,661,101,100,15,211,533,12505,1275,14319
LGA30410,0,98,14,110,3,173,20,192,0,55,3,59,0,77,9,89,3,135,15,152,0,142,8,152,5,203,13,222,11,179,10,201,13,132,15,158,10,74,11,96,8,13,0,18,57,1273,123,1449,0,79,8,86,0,168,17,192,0,57,3,62,0,66,4,69,3,164,13,185,3,158,14,174,5,192,13,210,8,164,12,183,9,122,14,151,13,63,3,82,10,10,3,28,50,1254,113,1419,0,174,18,196,3,347,35,388,5,114,11,122,3,141,12,158,7,304,33,337,3,299,27,327,10,394,30,431,20,340,19,382,23,258,32,304,26,140,14,172,15,29,3,51,110,2529,230,2865
LGA30450,0,6,0,6,0,11,0,11,0,10,0,11,0,7,0,5,0,14,0,20,0,13,0,13,0,30,0,32,0,22,3,27,0,16,0,16,0,4,0,4,0,0,0,0,7,134,5,149,0,3,0,3,0,14,0,14,0,3,0,3,0,9,0,12,0,8,3,11,0,9,3,15,0,23,0,22,0,19,0,21,6,14,0,16,0,0,0,5,0,0,0,3,5,103,5,123,0,14,0,14,0,27,0,28,0,10,0,16,0,17,3,19,0,27,3,26,0,20,4,23,0,57,0,56,0,37,0,40,6,31,0,33,0,7,0,5,0,0,0,3,9,240,14,267
LGA30760,0,50,3,49,3,110,10,119,0,40,6,43,0,32,0,37,3,93,14,104,3,90,4,101,0,112,9,121,10,148,11,171,16,113,3,137,14,48,4,58,4,5,0,14,60,827,58,944,0,67,3,67,3,86,10,101,0,31,5,36,0,29,0,33,0,92,5,96,0,109,13,123,3,126,12,136,3,140,6,156,10,100,4,115,12,47,7,61,17,8,0,25,55,842,68,958,0,110,9,118,5,200,11,215,0,69,11,83,0,65,3,67,3,185,17,200,7,201,16,220,3,232,15,257,19,289,18,321,30,218,13,258,21,90,9,126,19,14,0,42,113,1666,122,1903
LGA30900,0,5,0,6,0,22,4,30,0,14,0,11,0,15,0,16,0,28,5,36,3,24,5,32,0,28,3,31,0,29,12,37,3,12,0,18,0,3,0,8,0,0,0,0,3,183,38,228,0,13,0,16,0,21,5,26,0,6,0,6,0,16,3,22,0,35,11,44,0,18,3,19,0,17,3,18,0,25,10,29,0,5,0,5,0,3,0,3,0,0,0,0,0,165,33,201,0,17,0,16,0,48,10,58,0,18,0,22,0,33,8,37,0,67,17,81,3,41,9,50,0,45,5,55,0,50,16,70,3,20,0,25,0,6,5,9,0,0,0,0,8,344,72,426
LGA31000,415,32529,1816,34759,2423,62193,2921,67529,869,32470,1771,35109,716,44632,3575,48925,1140,88616,7851,97604,1389,74749,5936,82075,1813,65217,5091,72118,2330,49299,3663,55295,2961,31992,2430,37384,3357,13823,1371,18558,2827,3555,687,7071,20249,499087,37104,556440,232,31186,1738,33161,1106,59940,2775,63822,540,32639,1654,34840,522,45670,3172,49360,1060,90230,6803,98089,1391,77759,4736,83882,2021,68366,4278,74664,2677,52676,3345,58700,3260,35177,2493,40939,5193,16520,1726,23437,7017,5252,1560,13833,25030,515412,34280,574720,649,63716,3553,67922,3532,122133,5696,131355,1410,65109,3427,69948,1233,90305,6747,98289,2199,178841,14654,195695,2782,152509,10673,165961,3836,133582,9368,146777,5008,101977,7007,113996,6226,67174,4920,78318,8552,30342,3096,41994,9845,8812,2246,20904,45277,1014496,71384,1131155
LGA31750,0,4,0,4,0,19,0,19,0,4,0,4,0,9,0,9,0,21,3,26,0,28,3,29,0,20,3,29,0,38,7,42,0,14,6,17,4,0,0,5,0,0,0,3,7,161,20,187,0,11,0,11,0,12,3,19,0,8,0,8,0,8,0,10,0,21,3,22,0,21,0,23,0,21,0,19,0,22,0,30,0,8,0,8,0,3,0,3,0,0,0,0,0,143,16,164,0,19,0,19,0,38,3,37,0,15,3,18,0,17,0,19,0,45,7,48,0,45,5,46,0,42,3,49,0,60,8,69,0,19,6,29,4,3,0,12,4,0,0,7,7,304,39,353
LGA31820,32,2258,188,2479,408,5222,373,6001,169,2556,190,2918,112,2075,197,2375,185,3879,365,4434,208,4123,384,4718,394,5006,504,5896,656,5211,560,6419,834,4926,545,6310,636,2314,276,3226,359,480,99,941,3986,38043,3683,45716,36,2095,178,2313,204,5036,373,5610,94,2427,187,2705,77,2028,180,2285,126,4328,366,4822,208,4576,363,5147,375,5498,463,6334,564,5793,551,6915,627,5099,475,6198,688,2459,297,3440,739,536,137,1408,3739,39877,3568,47180,75,4349,366,4793,612,10256,750,11613,261,4981,372,5624,187,4107,374,4663,311,8213,735,9253,422,8699,743,9864,766,10502,967,12237,1221,11004,1111,13336,1461,10021,1022,12504,1320,4769,576,6662,1096,1015,232,2348,7723,77918,7251,92897
