LGA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
LGA30250,0,0,0,570,163,21,7,114,35,901
LGA30300,34,11,64,644,841,379,369,813,392,3437
LGA30370,100,36,211,2208,2827,1357,1326,2121,1314,11152
LGA30410,22,17,51,433,553,255,297,487,248,2279
LGA30450,0,0,3,48,48,33,21,62,18,232
LGA30760,21,3,42,297,366,203,192,367,146,1572
LGA30900,0,0,0,68,85,29,19,88,68,351
LGA31000,8858,4261,20904,247415,260457,100841,68799,184667,69698,931879
LGA31750,0,0,7,55,60,24,21,89,33,289
LGA31820,1110,507,2348,13321,18844,10106,9486,16883,7843,76488
LGA31900,178,114,463,2733,3415,1765,1660,2937,1527,14039
LGA31950,0,0,0,45,40,31,12,84,61,274
LGA32080,955,430,1981,26430,34397,13876,10479,25331,14279,124795
LGA32250,6,3,10,258,326,123,107,457,271,1548
LGA32260,323,115,647,4050,5748,2950,2723,4940,3056,23462
LGA32270,60,31,133,4306,5336,2353,2346,3489,3247,21073
LGA32310,101,41,211,1615,2116,1118,1101,2043,1325,9327
LGA32330,5,0,5,208,214,39,15,289,46,807
LGA32450,7,8,20,453,519,200,190,619,434,2416
LGA32500,10,9,31,533,759,401,390,663,691,3439
LGA32600,0,0,4,32,44,21,12,57,63,229
LGA32750,0,0,0,58,54,15,17,50,42,239
LGA32770,0,0,0,491,98,12,5,203,44,862
LGA32810,38,71,159,2026,2520,1144,854,1647,1595,9783
LGA33100,0,0,3,103,136,79,70,172,90,651
LGA33200,16,0,28,227,326,149,138,285,147,1269
LGA33220,1204,553,2553,13836,20308,11442,10416,18925,9525,84458
LGA33360,236,86,509,9602,12989,5962,5854,8731,4556,47696
LGA33430,5186,2920,11643,107412,119400,49915,35992,98740,43409,454866
LGA33610,99,50,216,1604,1995,980,899,1785,1095,8356
LGA33620,364,300,1037,7125,9978,5698,5435,7745,4527,40504
LGA33800,181,73,414,1522,2164,1239,1260,1927,1059,9178
LGA33830,3,0,7,80,181,160,60,108,66,658
LGA33960,1060,365,2246,32696,39295,17182,14239,31509,12896,147814
LGA33980,31,11,72,3048,3827,1588,1729,2610,2838,15641
LGA34420,3,0,7,206,129,132,77,126,30,694
LGA34530,268,204,694,5329,7626,3994,3477,5232,3756,29418
LGA34570,0,0,0,122,48,42,105,101,64,493
LGA34580,273,120,587,6002,7776,3712,3510,6312,3756,31063
LGA34590,1896,520,3357,50980,60614,26874,21858,54905,19619,234848
LGA34710,35,12,76,587,803,332,261,603,362,2964
LGA34770,830,257,1645,18389,24177,11242,9987,17746,9671,91204
LGA34800,3,0,9,120,152,60,60,192,73,665
LGA34830,0,0,0,98,47,25,7,37,9,224
LGA34860,111,53,225,1920,2504,1111,998,2145,1237,9908
LGA34880,162,62,379,2813,4197,2336,1924,3127,3278,17681
LGA35010,2853,2189,7364,74650,93447,42411,33859,65099,26715,336175
LGA35250,0,0,0,97,149,142,138,178,92,793
LGA35300,27,19,80,2988,3758,1455,1206,2761,2018,14193
LGA35600,55,22,102,638,814,390,318,859,388,3411
LGA35670,0,0,0,222,207,30,15,184,14,665
LGA35740,506,353,1373,8768,12413,6264,4640,7749,3862,43702
LGA35760,131,80,292,1326,1969,1049,1021,1891,1374,8625
LGA35780,0,0,6,501,415,238,179,317,116,1768
LGA35790,0,0,0,853,243,71,77,352,64,1662
LGA35800,12,10,29,240,339,141,128,337,149,1325
LGA36070,0,0,0,304,119,17,14,84,22,553
LGA36150,3,0,9,132,173,57,74,152,57,648
LGA36250,1403,797,3279,27900,34283,15525,11029,23102,7571,119405
LGA36300,3,3,8,129,150,61,68,158,81,638
LGA36370,677,414,1609,12684,16627,7796,6393,13117,6535,63147
LGA36510,394,137,804,5987,8603,4518,3906,5854,3628,32494
LGA36580,171,69,346,3442,4762,2585,2563,3956,2261,19567
LGA36630,369,123,715,4345,6183,3503,3528,5528,2964,26054
LGA36660,432,153,902,4990,7237,3979,3808,5780,2715,28501
LGA36720,3579,1443,7706,52358,68095,32193,24045,45190,19114,240989
LGA36820,280,120,622,3366,5124,2802,2693,3856,2479,20319
LGA36910,1474,1059,3802,26528,34558,16489,13873,24650,12088,128188
LGA36950,8,3,14,504,542,143,137,768,537,2627
LGA36960,6,0,6,942,529,147,313,706,324,2954
LGA37010,1131,366,2305,33137,41468,17236,13534,28943,14733,149046
LGA37300,0,0,3,607,834,277,239,549,354,2866
LGA37310,256,142,599,4934,6219,3093,3092,5028,3700,26057
LGA37340,182,121,440,5416,6781,3029,2526,5508,4403,27657
LGA37400,16,13,32,170,243,88,95,233,114,949
LGA37550,0,0,0,265,103,29,30,148,69,637
LGA37570,0,0,0,79,48,57,6,27,8,217
LGA37600,4,0,5,473,321,136,200,517,51,1687
LGA39499,25,11,44,2026,1961,823,592,3533,2759,11693
LGA39799,0,3,4,23,24,19,6,50,23,144
