LGA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
LGA30250,6,31,0,36,11,35,0,55,20,69,5,95,22,73,3,91,11,71,11,85,7,34,0,46,5,21,0,23,0,3,0,3,0,3,0,3,82,335,22,449,12,31,3,47,15,48,7,64,21,80,3,107,22,55,0,81,20,61,3,82,11,39,0,50,4,17,0,23,0,5,0,7,0,0,0,0,100,333,21,459,19,59,3,84,26,82,6,114,42,146,8,201,41,123,5,174,33,125,15,169,20,71,3,101,5,39,0,44,0,9,0,9,0,0,0,0,185,668,46,901
LGA30300,9,107,21,136,0,93,6,98,15,201,18,238,22,221,30,271,37,260,38,337,27,240,27,301,17,194,34,236,6,85,16,110,3,17,3,16,144,1413,198,1748,7,89,34,130,10,87,8,105,24,232,24,278,38,204,29,274,40,224,35,304,46,210,27,288,26,128,22,182,8,74,15,95,4,28,13,46,209,1279,200,1692,12,197,58,266,10,179,21,205,45,432,40,517,65,426,55,545,80,486,76,639,72,454,53,582,40,321,58,415,15,152,27,202,8,41,10,64,348,2692,400,3437
LGA30370,9,331,50,397,20,368,38,423,61,831,112,999,88,797,119,1000,102,798,104,1002,95,751,100,942,51,458,82,593,21,248,46,324,5,67,13,87,446,4655,676,5769,12,306,62,378,23,301,26,349,85,759,83,925,114,739,83,931,142,723,101,971,147,581,78,808,84,379,75,541,29,248,60,338,3,103,21,131,642,4140,600,5383,20,636,114,776,40,671,63,779,145,1588,193,1926,201,1533,200,1935,242,1528,210,1976,235,1331,179,1749,133,838,161,1133,50,494,113,661,7,165,35,211,1085,8789,1269,11152
LGA30410,3,43,12,59,0,76,8,89,11,127,18,152,10,122,16,152,27,174,13,222,11,167,17,201,4,130,22,158,3,73,13,96,3,11,10,18,82,931,132,1141,4,54,11,62,3,60,4,69,26,145,12,185,30,131,15,174,27,171,11,210,30,143,7,183,10,120,18,151,12,58,17,82,0,21,10,28,133,893,112,1143,4,100,20,122,9,136,13,158,32,274,30,337,34,252,37,327,60,344,32,431,41,307,32,382,19,248,44,304,14,131,29,172,3,33,17,51,218,1820,246,2279
LGA30450,0,6,0,11,0,7,0,5,0,15,4,20,0,10,0,13,0,36,0,32,0,24,3,27,3,18,0,16,0,4,0,4,0,0,0,0,4,114,10,129,0,3,0,3,0,9,0,12,0,12,0,11,0,11,3,15,0,22,0,22,3,12,0,21,0,12,3,16,0,0,0,5,0,3,0,3,6,88,12,104,0,8,0,16,0,17,3,19,0,25,3,26,0,20,4,23,0,57,3,56,3,35,0,40,3,30,3,33,0,7,0,5,0,3,0,3,12,203,20,232
LGA30760,3,37,6,43,6,30,3,37,9,84,7,104,16,77,5,101,6,103,9,121,11,149,11,171,9,107,14,137,4,43,8,58,5,6,3,14,64,643,69,778,3,27,3,36,0,33,0,33,12,81,3,96,18,97,12,123,22,106,9,136,29,112,10,156,15,89,14,115,3,46,11,61,3,25,3,25,108,610,72,788,3,66,7,83,6,59,3,67,25,166,12,200,32,177,18,220,32,206,22,257,41,257,27,321,20,202,31,258,10,94,24,126,4,27,3,42,174,1252,147,1572
LGA30900,0,10,3,11,0,15,0,16,0,30,6,36,0,27,8,32,0,28,3,31,0,28,7,37,0,10,3,18,0,4,0,8,0,0,0,0,4,150,38,189,0,6,0,6,0,16,3,22,0,37,9,44,0,16,3,19,3,13,3,18,3,19,6,29,3,3,0,5,0,3,0,3,0,0,0,0,10,121,30,156,0,17,3,22,0,33,8,37,0,64,17,81,3,40,7,50,3,45,5,55,3,51,17,70,3,19,3,25,0,9,0,9,0,0,0,0,15,272,69,351
LGA31000,1406,31273,2431,35109,1847,43162,3923,48925,4583,84622,8406,97604,6455,69399,6223,82075,8069,58773,5282,72118,7650,43779,3869,55295,4526,29844,3017,37384,2091,14291,2179,18558,661,5147,1259,7071,37282,380284,36580,454147,1489,31186,2168,34840,2295,43616,3447,49360,6510,84431,7148,98089,9798,69171,4912,83882,12884,57437,4342,74664,12474,42654,3565,58700,6713,31038,3186,40939,2487,17856,3088,23437,476,10351,3010,13833,55136,387738,34863,477739,2890,62458,4594,69948,4139,86775,7368,98289,11092,169055,15555,195695,16257,138572,11137,165961,20948,116204,9622,146777,20129,86430,7436,113996,11235,60888,6201,78318,4579,32141,5267,41994,1142,15498,4272,20904,92415,768023,71446,931879
LGA31750,0,4,0,4,0,8,0,9,0,23,3,26,0,27,4,29,3,22,3,29,0,36,7,42,0,12,5,17,0,3,3,5,0,3,0,3,6,130,25,160,0,10,0,8,0,9,0,10,6,16,0,22,3,20,0,23,0,19,0,19,3,25,0,30,0,8,0,8,0,3,0,3,0,0,0,0,16,105,8,128,0,17,3,18,3,17,3,19,7,40,0,48,3,46,3,46,0,39,5,49,0,54,13,69,0,19,6,29,0,5,3,12,0,3,0,7,19,236,33,289
LGA31820,157,2450,307,2918,146,2019,213,2375,339,3679,416,4434,496,3821,404,4718,684,4642,570,5896,888,4935,601,6419,687,4876,739,6310,346,2366,508,3226,70,663,210,941,3821,29437,3974,37236,151,2289,263,2705,181,1900,200,2285,613,3839,370,4822,907,3861,374,5147,1308,4545,485,6334,1467,4857,596,6915,960,4544,695,6198,356,2489,604,3440,56,1065,287,1408,5995,29383,3874,39255,312,4743,567,5624,329,3920,417,4663,950,7515,788,9253,1405,7686,772,9864,1995,9183,1058,12237,2351,9791,1194,13336,1647,9424,1435,12504,699,4853,1108,6662,131,1723,495,2348,9816,58824,7845,76488
