LGA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
LGA30250,0,8,0,11,22,3,36,11,6,0,15,31,0,55,20,16,7,40,51,3,95,23,19,3,43,47,4,91,8,15,0,27,50,4,85,0,6,0,12,32,0,46,0,9,0,5,20,0,23,0,0,0,0,4,0,3,0,0,0,0,3,0,3,60,90,16,166,259,22,449,0,9,0,18,28,3,47,23,13,3,34,23,0,64,35,16,11,61,38,3,107,25,25,3,48,31,0,81,17,21,3,38,44,3,82,4,19,3,23,29,0,50,0,5,0,3,13,0,23,0,3,0,3,5,0,7,0,0,0,0,0,0,0,107,108,27,235,204,17,459,0,23,3,22,56,10,84,34,19,4,52,61,4,114,57,31,16,100,86,9,201,45,41,9,94,77,6,174,22,42,9,67,95,9,169,4,25,6,36,62,3,101,0,6,0,10,33,0,44,0,6,0,7,3,0,9,0,0,0,0
LGA30300,0,6,0,8,106,22,136,4,5,0,13,84,7,98,92,3,0,98,129,12,238,131,0,3,139,107,25,271,82,13,3,94,210,36,337,15,22,0,37,237,26,301,3,14,0,20,192,33,236,0,4,0,4,87,15,110,0,0,0,0,13,5,16,325,70,10,403,1160,180,1748,3,6,0,12,95,30,130,18,5,0,26,76,9,105,137,12,12,164,100,16,278,157,12,14,177,69,24,274,49,18,0,67,200,37,304,13,49,0,56,209,26,288,0,20,0,20,138,20,182,0,3,0,3,81,15,95,0,0,0,0,31,13,46,368,123,31,522,987,180,1692,7,16,0,18,198,48,266,21,12,3,35,159,15,205,228,14,17,264,228,33,517,289,16,15,316,177,50,545,127,32,3,163,404,76,639,25,68,0,90,446,49,582,3,34,0,37,330,54,415,0,6,0,8,171,29,202,0,0,0,0
LGA30370,0,15,0,13,334,48,397,35,20,0,58,334,38,423,349,33,10,393,498,109,999,530,20,17,563,324,110,1000,225,29,9,264,645,92,1002,35,87,0,127,721,90,942,8,58,0,63,453,78,593,0,13,0,15,265,48,324,0,0,0,0,75,13,87,1188,271,30,1493,3654,623,5769,6,28,0,36,294,57,378,65,27,3,97,238,25,349,476,48,19,542,315,71,925,557,25,32,613,246,74,931,180,103,10,294,580,94,971,7,164,0,172,553,78,808,0,77,0,75,385,80,541,0,14,0,14,268,55,338,0,0,0,0,109,22,131,1290,485,66,1846,2988,550,5383,5,45,0,47,624,103,776,102,43,3,147,571,60,779,823,78,31,929,815,182,1926,1089,43,46,1180,567,186,1935,405,137,16,560,1226,188,1976,44,255,0,304,1275,173,1749,11,136,0,142,840,154,1133,0,21,0,25,530,104,661,3,0,0,3
LGA30410,0,3,0,3,45,6,59,7,4,0,10,73,8,89,60,0,0,59,74,17,152,83,8,0,86,53,15,152,41,9,0,45,156,17,222,6,16,0,15,164,17,201,4,9,0,12,126,20,158,0,3,0,3,77,14,96,0,0,0,0,14,3,18,190,42,0,238,786,116,1141,0,12,0,12,42,10,62,12,3,0,19,44,5,69,88,3,7,103,70,15,185,93,11,4,113,46,20,174,34,21,0,52,143,15,210,3,22,0,29,144,9,183,3,14,0,16,119,14,151,0,3,0,3,63,12,82,0,0,0,0,17,9,28,238,86,15,334,699,102,1143,0,16,0,16,94,17,122,13,7,0,24,121,10,158,148,4,7,160,152,29,337,172,12,5,196,99,29,327,78,24,0,105,294,31,431,8,35,0,44,312,29,382,7,20,0,28,247,31,304,0,3,0,3,141,31,172,0,0,0,0
LGA30450,0,0,0,0,10,0,11,0,0,0,0,7,0,5,7,0,0,7,9,0,20,3,0,0,3,9,0,13,7,0,0,7,29,0,32,0,0,0,3,19,3,27,0,3,0,3,17,0,16,0,0,0,0,4,0,4,0,0,0,0,0,0,0,15,4,0,18,104,7,129,0,0,0,0,4,0,3,3,0,0,3,5,0,12,4,0,0,4,9,0,11,10,3,0,8,3,3,15,3,0,0,3,16,0,22,0,0,0,0,18,0,21,0,3,0,3,16,0,16,0,0,0,0,0,0,5,0,0,0,0,3,0,3,19,10,0,22,71,5,104,0,0,0,0,10,0,16,3,0,0,3,16,3,19,11,0,0,11,18,3,26,14,3,0,11,14,3,23,9,0,0,6,49,3,56,0,3,0,5,38,0,40,0,3,0,3,28,0,33,0,0,0,0,7,0,5,0,0,0,0
LGA30760,0,0,0,0,40,9,43,6,4,0,8,26,3,37,34,0,0,37,55,6,104,58,5,0,66,32,5,101,20,5,0,24,91,12,121,3,14,0,16,146,7,171,0,7,0,10,116,9,137,0,3,0,3,46,9,58,0,0,0,0,12,3,14,127,31,3,156,564,57,778,0,3,0,5,29,3,36,10,0,0,10,28,0,33,37,0,3,46,52,7,96,70,4,3,81,38,9,123,16,13,0,39,92,14,136,0,23,0,23,122,6,156,0,10,0,10,95,10,115,0,0,0,0,53,14,61,0,0,0,0,24,3,25,143,60,7,208,517,71,788,0,3,0,3,60,11,83,12,4,0,13,49,3,67,78,0,3,82,106,11,200,133,11,3,141,64,12,220,34,17,3,56,177,19,257,3,39,0,44,267,14,321,0,14,0,17,210,23,258,0,3,0,3,102,23,126,0,0,0,0
LGA30900,0,0,0,0,11,0,11,0,0,0,3,14,0,16,3,3,0,7,23,5,36,7,0,0,8,18,6,32,0,0,0,0,24,3,31,0,0,0,3,22,7,37,0,0,0,0,14,4,18,0,0,0,0,4,0,8,0,0,0,0,0,0,0,12,5,0,20,137,34,189,0,0,0,0,6,0,6,0,0,0,0,16,3,22,15,0,0,13,18,9,44,10,0,0,10,11,3,19,3,3,0,4,13,3,18,0,3,0,3,22,11,29,0,0,0,0,9,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,21,11,0,33,99,29,156,0,0,0,0,20,0,22,0,0,0,3,32,8,37,15,3,0,24,43,13,81,15,0,0,17,28,11,50,3,3,0,8,37,5,55,3,0,0,5,47,17,70,0,0,0,0,15,4,25,0,0,0,0,9,0,9,0,0,0,0
LGA31000,97,1526,21,1642,31136,2327,35109,724,1239,49,2007,43121,3796,48925,16919,2244,293,19463,70024,8123,97604,39738,1495,913,42148,34050,5871,82075,23746,1665,583,25995,41090,5031,72118,3768,4417,109,8294,43232,3774,55295,635,6115,46,6794,27752,2835,37384,92,1474,6,1575,14991,1990,18558,27,87,0,113,5823,1134,7071,85756,20266,2018,108043,311216,34890,454147,190,2447,24,2668,30104,2070,34840,1676,2467,106,4242,41796,3319,49360,26198,4065,957,31215,60040,6838,98089,47341,2814,2345,52499,26840,4544,83882,22456,4146,1004,27605,42944,4106,74664,1807,10981,138,12927,42378,3397,58700,430,10255,58,10750,27228,2967,40939,111,1837,8,1958,18674,2804,23437,39,131,3,171,10841,2824,13833,100246,39145,4637,144031,300840,32865,477739,292,3978,49,4315,61235,4399,69948,2396,3700,151,6255,84922,7116,98289,43114,6311,1249,50679,130059,14963,195695,87079,4313,3256,94648,60893,10417,165961,46204,5812,1588,53600,84037,9143,146777,5573,15403,240,21219,85606,7169,113996,1067,16371,105,17540,54979,5803,78318,209,3312,14,3539,33665,4792,41994,63,217,4,283
LGA31750,0,0,0,0,4,0,4,0,0,0,0,9,0,9,6,0,0,12,12,3,26,13,0,0,13,12,4,29,4,0,0,9,16,3,29,0,4,0,3,36,5,42,0,0,0,0,14,5,17,0,0,0,0,3,0,5,0,0,0,0,3,0,3,24,4,0,29,107,20,160,0,0,0,0,9,0,8,3,0,0,3,9,0,10,9,0,3,18,6,0,22,9,0,0,9,12,0,23,0,3,0,4,17,0,19,0,3,0,3,21,0,30,0,0,0,0,7,0,8,0,0,0,0,4,0,3,0,0,0,0,0,0,0,25,12,3,37,82,8,128,0,0,0,0,17,3,18,3,0,0,3,14,3,19,18,3,3,24,23,0,48,19,0,0,19,24,3,46,5,0,0,7,34,3,49,0,4,0,3,55,11,69,0,3,0,3,17,6,29,0,0,0,0,4,0,12,0,0,0,0
LGA31820,19,131,0,152,2481,279,2918,192,95,3,289,1884,205,2375,1511,158,45,1710,2335,384,4434,2308,113,69,2489,1853,380,4718,1339,240,41,1618,3759,527,5896,233,445,4,683,5164,581,6419,41,394,3,433,5202,672,6310,15,89,0,103,2668,458,3226,9,3,0,9,735,198,941,5657,1664,167,7481,26074,3682,37236,54,247,3,307,2143,253,2705,448,176,17,647,1458,187,2285,2361,227,119,2714,1766,341,4822,2963,193,157,3310,1486,345,5147,1276,561,64,1895,3998,439,6334,84,1058,10,1152,5219,545,6915,32,589,7,622,4935,639,6198,9,99,0,104,2775,559,3440,3,7,0,10,1129,267,1408,7222,3157,380,10756,24907,3587,39255,74,377,3,460,4629,538,5624,637,279,17,931,3343,385,4663,3876,383,169,4422,4095,727,9253,5265,306,225,5797,3338,726,9864,2612,801,100,3511,7754,964,12237,311,1502,19,1828,10381,1123,13336,75,980,9,1057,10135,1314,12504,16,188,0,208,5442,1014,6662,9,13,0,23
