LGA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA30250,0,0,0,169,190,41,397,463,42,901
LGA30300,46,11,64,694,196,37,926,2148,362,3437
LGA30370,178,34,211,2482,756,98,3335,6641,1176,11152
LGA30410,37,13,51,429,129,17,574,1490,223,2279
LGA30450,3,0,3,32,9,0,44,171,14,232
LGA30760,37,3,42,262,90,11,365,1078,127,1572
LGA30900,0,0,0,37,17,0,56,233,63,351
LGA31000,16662,3961,20904,185996,59417,6662,252076,612058,67750,931879
LGA31750,7,0,7,52,19,5,69,194,28,289
LGA31820,1863,468,2348,12878,4822,540,18238,50979,7267,76488
LGA31900,347,107,463,2474,1073,55,3602,9030,1405,14039
LGA31950,0,0,0,29,14,0,44,169,59,274
LGA32080,1558,390,1981,25355,7841,1231,34430,76691,13667,124795
LGA32250,9,0,10,211,88,6,303,1009,229,1548
LGA32260,537,100,647,3883,1490,126,5496,15173,2791,23462
LGA32270,102,25,133,5380,1284,221,6891,11087,3094,21073
LGA32310,172,36,211,1681,611,67,2359,5764,1206,9327
LGA32330,5,0,5,139,64,3,202,553,48,807
LGA32450,13,8,20,444,126,11,583,1423,409,2416
LGA32500,24,11,31,490,226,40,756,2028,653,3439
LGA32600,3,0,4,20,17,0,36,125,67,229
LGA32750,0,0,0,37,14,0,53,150,39,239
LGA32770,0,0,0,279,103,3,384,429,45,862
LGA32810,86,69,159,1502,525,63,2088,6165,1531,9783
LGA33100,3,0,3,113,24,3,144,430,83,651
LGA33200,25,0,28,225,64,0,290,843,131,1269
LGA33220,2049,494,2553,13266,4798,606,18668,56923,8866,84458
LGA33360,426,74,509,11431,3149,527,15099,28281,4314,47696
LGA33430,8722,2829,11643,91597,29843,3429,124873,288191,41802,454866
LGA33610,172,39,216,1727,526,47,2293,5040,1029,8356
LGA33620,731,296,1037,7014,2567,301,9884,26376,4249,40504
LGA33800,342,74,414,1365,611,48,2024,6198,955,9178
LGA33830,7,0,7,171,142,17,332,263,67,658
LGA33960,1891,336,2246,35126,11789,1628,48538,87135,12136,147814
LGA33980,67,10,72,4334,782,150,5268,7644,2731,15641
LGA34420,7,0,7,144,141,3,284,377,33,694
LGA34530,497,189,694,5601,2246,266,8118,17729,3571,29418
LGA34570,0,0,0,126,67,4,200,213,75,493
LGA34580,460,120,587,5648,2164,262,8068,19457,3530,31063
LGA34590,2850,468,3357,52598,18758,2269,73630,142804,18420,234848
LGA34710,69,12,76,543,172,10,719,1912,332,2964
LGA34770,1407,220,1645,19514,6514,883,26910,55141,9151,91204
LGA34800,5,0,9,144,28,5,177,419,66,665
LGA34830,0,0,0,38,34,0,75,130,19,224
LGA34860,182,44,225,2094,609,64,2777,5994,1147,9908
LGA34880,314,62,379,2798,1125,202,4126,10443,3117,17681
LGA35010,5244,2052,7364,74768,26934,3671,105375,205417,25379,336175
LGA35250,0,0,0,98,114,115,337,357,101,793
LGA35300,59,20,80,3217,933,146,4295,7930,1962,14193
LGA35600,73,21,102,655,220,21,893,2157,357,3411
LGA35670,0,0,0,168,67,8,241,407,16,665
LGA35740,1027,334,1373,7674,2827,327,10831,29198,3677,43702
LGA35760,227,63,292,1363,510,47,1922,5433,1266,8625
LGA35780,6,0,6,495,233,40,768,873,128,1768
LGA35790,0,0,0,413,235,34,680,925,61,1662
LGA35800,14,8,29,187,86,8,285,907,141,1325
LGA36070,0,0,0,108,68,8,182,351,24,553
LGA36150,9,0,9,137,36,6,173,418,49,648
LGA36250,2530,729,3279,24659,10176,1094,35934,76342,7129,119405
LGA36300,8,0,8,119,37,0,156,413,70,638
LGA36370,1223,375,1609,12796,4957,629,18384,38582,6181,63147
LGA36510,687,112,804,6013,2493,314,8814,20329,3342,32494
LGA36580,281,55,346,3649,1497,176,5324,12184,2060,19567
LGA36630,603,110,715,4447,1644,213,6306,17080,2671,26054
LGA36660,760,135,902,4992,1908,206,7109,18872,2529,28501
LGA36720,6331,1307,7706,47999,17078,1983,67063,155943,17990,240989
LGA36820,505,114,622,3315,1381,173,4866,13151,2301,20319
LGA36910,2774,996,3802,25488,9556,1195,36237,80602,11351,128188
LGA36950,10,3,14,471,159,35,666,1444,524,2627
LGA36960,9,0,6,763,242,56,1060,1552,338,2954
LGA37010,1946,328,2305,30463,10725,1416,42605,92314,14127,149046
LGA37300,0,0,3,781,144,45,968,1564,336,2866
LGA37310,472,117,599,5439,1634,196,7271,15336,3449,26057
LGA37340,325,115,440,4810,1473,225,6510,16952,4199,27657
LGA37400,21,12,32,153,59,8,218,620,103,949
LGA37550,0,0,0,88,55,0,152,429,58,637
LGA37570,0,0,0,29,51,10,89,121,11,217
LGA37600,5,0,5,330,283,38,645,978,66,1687
LGA39499,30,11,44,760,474,19,1251,7804,2633,11693
LGA39799,0,3,4,13,17,0,28,90,21,144
