LGA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
LGA30250,..,3,6,10,7,3,3,0,0,32,..,10,28,32,26,15,3,0,0,114,..,0,3,3,3,4,10,0,0,22,168,..,..,..,..,..,..,..,..,168,..,3,..,..,..,..,..,..,..,3,..,31,16,10,0,0,0,0,0,58,..,22,26,23,22,13,9,4,0,114,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,3,0,0,0,10,..,0,0,12,13,3,0,0,0,37,3,6,0,6,3,0,0,0,0,20,171,80,88,90,83,45,23,3,3,588,..,7,7,7,10,6,3,0,0,37,..,15,29,26,30,8,0,0,0,113,..,12,24,14,17,4,6,0,0,78,158,..,..,..,..,..,..,..,..,158,..,9,..,..,..,..,..,..,..,9,..,30,13,8,3,0,0,0,0,52,..,22,18,16,14,19,11,0,0,104,..,0,0,0,0,0,0,0,0,0
LGA30300,..,6,76,149,176,149,117,56,7,741,..,24,48,27,34,25,10,0,0,163,..,0,0,8,11,7,3,4,0,34,422,..,..,..,..,..,..,..,..,422,..,38,..,..,..,..,..,..,..,38,..,66,32,22,9,3,0,0,0,126,..,16,9,0,8,0,3,0,0,35,..,8,3,3,0,3,0,0,0,20,..,10,10,6,3,6,9,3,0,43,..,12,31,26,46,58,45,27,0,248,20,14,7,8,8,14,7,0,0,80,439,193,214,239,293,271,200,91,14,1944,..,8,108,167,165,168,92,39,0,742,..,27,52,33,33,19,4,0,0,167,..,12,35,27,30,20,6,6,0,128,396,..,..,..,..,..,..,..,..,396,..,48,..,..,..,..,..,..,..,48,..,47,12,0,3,0,0,0,0,65,..,0,3,0,0,4,3,0,3,23,..,7,0,0,0,0,0,0,0,13
LGA30370,..,14,356,557,569,539,325,182,33,2575,..,96,173,89,76,56,21,8,0,513,..,0,8,21,29,14,12,4,3,94,1491,..,..,..,..,..,..,..,..,1491,..,176,..,..,..,..,..,..,..,176,..,226,73,37,26,8,0,0,0,382,..,33,18,3,8,8,11,11,3,103,..,29,36,19,5,6,3,3,0,97,..,73,53,34,21,18,7,3,0,209,..,48,82,80,129,148,113,61,13,669,12,34,33,29,23,15,20,6,0,191,1504,728,837,864,883,821,515,278,59,6491,..,38,468,597,613,489,296,116,10,2619,..,129,166,115,64,40,17,9,0,541,..,12,53,79,65,35,16,20,14,294,1416,..,..,..,..,..,..,..,..,1416,..,182,..,..,..,..,..,..,..,182,..,151,39,13,8,8,0,0,0,222,..,24,4,3,6,11,16,6,7,83,..,16,7,0,0,3,3,0,0,36
LGA30410,..,5,59,76,116,100,76,48,7,494,..,13,39,17,20,8,5,3,0,109,..,0,0,8,3,3,0,0,0,14,264,..,..,..,..,..,..,..,..,264,..,18,..,..,..,..,..,..,..,18,..,37,6,3,8,0,0,0,0,60,..,7,0,0,7,0,0,0,0,9,..,11,0,0,0,0,0,0,0,15,..,9,8,3,6,0,0,0,0,18,..,19,9,13,29,43,34,24,7,181,3,9,5,3,8,16,13,3,0,66,272,119,133,130,200,177,134,83,18,1258,..,4,78,98,107,109,76,29,4,502,..,18,41,18,25,10,3,3,0,116,..,0,12,20,17,4,6,7,0,67,245,..,..,..,..,..,..,..,..,245,..,29,..,..,..,..,..,..,..,29,..,24,13,7,3,3,0,0,0,44,..,4,0,3,0,0,0,3,0,15,..,3,0,0,0,0,0,0,0,3
LGA30450,..,0,0,3,13,7,9,0,0,42,..,0,3,3,3,0,0,0,0,13,..,0,0,0,0,0,0,0,0,3,20,..,..,..,..,..,..,..,..,20,..,0,..,..,..,..,..,..,..,0,..,5,4,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,5,..,0,6,4,6,3,4,4,0,28,0,0,0,0,0,0,3,0,0,3,20,8,14,13,26,17,16,4,0,119,..,0,3,10,14,9,7,0,0,44,..,0,3,3,3,0,0,0,0,14,..,0,0,0,3,0,0,0,0,5,19,..,..,..,..,..,..,..,..,19,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
LGA30760,..,3,26,53,61,108,88,28,3,365,..,4,25,15,10,6,3,0,0,65,..,0,0,3,3,0,0,4,0,14,148,..,..,..,..,..,..,..,..,148,..,18,..,..,..,..,..,..,..,18,..,19,16,0,3,4,0,0,0,44,..,4,0,0,0,0,4,3,0,11,..,3,3,0,0,0,0,0,0,8,..,0,0,0,0,3,0,0,0,8,..,4,13,13,17,28,32,14,3,120,4,8,5,8,0,10,6,4,0,42,147,67,90,89,100,160,135,52,4,845,..,0,33,73,87,106,58,9,3,377,..,14,23,15,12,8,0,0,0,65,..,3,4,14,8,4,0,3,3,43,138,..,..,..,..,..,..,..,..,138,..,18,..,..,..,..,..,..,..,18,..,10,9,4,8,0,0,0,0,26,..,3,0,0,0,0,0,3,0,10,..,3,0,0,0,0,0,0,0,4
LGA30900,..,0,4,5,12,10,3,0,0,38,..,0,3,5,3,3,3,0,0,15,..,0,0,0,0,0,0,0,0,8,26,..,..,..,..,..,..,..,..,26,..,0,..,..,..,..,..,..,..,0,..,6,5,9,0,0,0,0,0,16,..,3,3,0,3,0,0,0,0,11,..,0,0,0,0,0,0,0,0,3,..,0,6,0,0,0,0,0,0,11,..,3,7,4,11,6,4,0,0,36,0,3,0,0,0,0,0,0,0,10,26,17,25,22,28,27,15,4,0,167,..,0,12,3,11,11,3,3,0,40,..,4,4,3,0,5,4,0,0,22,..,0,5,0,0,3,0,0,0,16,25,..,..,..,..,..,..,..,..,25,..,3,..,..,..,..,..,..,..,3,..,0,3,0,0,0,0,0,0,3,..,0,0,3,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0
LGA31000,..,902,26883,45680,41871,32883,23682,11512,3071,186485,..,4827,17893,9446,6388,3495,1417,301,43,43811,..,123,445,1525,2476,1593,634,424,304,7538,96205,..,..,..,..,..,..,..,..,96205,..,27382,..,..,..,..,..,..,..,27382,..,15215,9255,3385,2170,1007,139,0,0,31166,..,4717,3414,1001,882,1037,724,431,259,12456,..,4079,4471,1218,777,475,203,59,17,11293,..,13929,15295,3849,2407,1830,1031,358,87,38783,..,2356,7522,7137,7441,7077,5512,3095,1622,41764,1467,2490,2639,1482,1109,804,537,256,110,10897,97675,76017,87821,74720,65508,50201,33891,16443,5518,507783,..,2095,35312,48687,42302,31382,20565,8288,1436,190056,..,7054,18207,8887,5874,2917,948,152,20,44056,..,814,3643,8301,9973,5120,2160,1668,1297,32979,91049,..,..,..,..,..,..,..,..,91049,..,27672,..,..,..,..,..,..,..,27672,..,11191,6592,1827,1320,834,184,0,0,21952,..,4389,2739,822,1147,2169,1972,1571,931,15734,..,4086,3451,698,437,298,133,42,6,9151
LGA31750,..,0,3,10,10,19,10,0,0,48,..,0,3,4,4,4,0,0,0,20,..,0,0,0,3,0,0,0,0,4,23,..,..,..,..,..,..,..,..,23,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,3,0,0,0,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,6,0,4,3,3,4,0,22,0,0,0,0,4,0,0,0,0,6,23,8,16,19,18,28,9,5,3,133,..,0,7,6,13,18,4,0,0,50,..,4,4,6,3,0,0,0,0,17,..,0,5,3,0,0,0,0,0,10,25,..,..,..,..,..,..,..,..,25,..,0,..,..,..,..,..,..,..,0,..,5,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
LGA31820,..,104,1305,2295,2981,3531,3819,1936,422,16392,..,409,831,561,574,453,298,77,13,3227,..,19,94,193,254,129,68,59,24,828,7883,..,..,..,..,..,..,..,..,7883,..,1611,..,..,..,..,..,..,..,1611,..,1622,609,336,291,112,17,0,0,2991,..,218,110,72,101,124,109,61,29,835,..,191,132,78,81,44,30,5,0,560,..,240,289,141,191,216,197,68,6,1353,..,141,352,402,667,937,912,588,213,4216,137,239,199,160,122,140,136,64,12,1214,8018,4799,3925,4238,5261,5687,5591,2867,729,41113,..,203,1759,2728,3365,3845,3368,1395,176,16840,..,602,844,588,602,440,234,50,8,3373,..,244,728,916,788,348,194,207,110,3539,7322,..,..,..,..,..,..,..,..,7322,..,1522,..,..,..,..,..,..,..,1522,..,1018,301,140,136,93,19,3,0,1709,..,163,69,41,84,156,193,134,90,938,..,154,77,28,38,30,18,4,0,352
