LGA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA30250,..,3,0,0,0,0,0,0,0,3,..,0,0,3,3,4,0,0,0,15,8,5,3,3,9,3,0,0,0,29,166,103,103,76,75,47,23,7,0,600,..,5,11,16,18,6,6,0,0,68,..,27,57,54,57,28,5,0,0,233,..,12,31,17,20,9,9,0,0,106,329,..,..,..,..,..,..,..,..,329,..,17,..,..,..,..,..,..,..,17,..,59,31,15,5,0,0,0,0,116,..,50,42,39,29,31,18,6,0,215,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,3,0,0,0,14,..,0,3,15,16,15,0,0,0,46,15,7,8,11,10,0,3,0,0,51,339,185,184,167,159,91,44,9,0,1192
LGA30300,..,9,9,0,6,4,0,0,0,30,..,8,22,11,17,32,35,28,14,165,9,6,12,4,8,6,3,0,3,62,409,182,248,238,259,253,147,77,24,1844,..,14,183,308,344,316,207,88,12,1481,..,46,98,58,59,45,16,0,0,335,..,12,35,29,38,25,7,5,3,157,816,..,..,..,..,..,..,..,..,816,..,90,..,..,..,..,..,..,..,90,..,111,40,23,8,4,0,0,0,193,..,16,16,3,6,6,8,7,3,60,..,19,3,3,4,3,0,0,0,30,..,18,26,3,6,9,6,3,0,76,..,25,51,34,67,94,80,54,13,422,25,27,21,9,18,21,13,3,3,136,847,381,463,481,554,524,345,162,34,3796
LGA30370,..,33,27,13,9,9,12,0,0,98,..,21,57,27,81,105,89,127,57,566,24,37,26,10,23,20,22,6,0,163,1443,647,845,855,866,717,470,288,86,6218,..,53,824,1153,1177,1023,621,299,44,5196,..,225,336,202,146,94,36,16,0,1052,..,15,67,98,87,45,30,25,18,385,2904,..,..,..,..,..,..,..,..,2904,..,356,..,..,..,..,..,..,..,356,..,375,108,54,35,18,3,0,0,595,..,57,25,5,18,27,26,21,7,184,..,42,46,22,5,10,6,3,0,137,..,110,83,40,30,27,16,3,0,310,..,74,140,111,206,250,198,185,71,1231,43,69,56,46,48,35,45,16,3,357,2945,1379,1683,1723,1751,1540,985,566,146,12716
LGA30410,..,9,0,0,0,0,0,0,0,16,..,11,14,8,22,29,30,36,9,163,8,11,3,8,14,12,4,5,0,61,251,112,161,158,190,170,134,72,21,1269,..,4,137,175,229,206,160,74,11,999,..,33,83,33,37,22,9,3,0,227,..,0,16,23,16,6,6,7,4,85,514,..,..,..,..,..,..,..,..,514,..,47,..,..,..,..,..,..,..,47,..,61,20,11,12,4,0,0,0,108,..,9,0,3,9,0,3,3,0,25,..,10,3,0,0,0,0,0,0,14,..,16,4,3,3,3,0,0,0,37,..,29,20,21,50,75,71,57,20,349,13,17,13,11,22,26,15,5,5,129,527,236,294,286,384,342,268,153,36,2530
LGA30450,..,0,0,0,0,0,0,0,0,3,..,3,0,3,0,3,4,0,0,16,0,0,0,0,0,0,0,0,0,3,19,10,12,14,20,14,15,0,0,102,..,0,7,9,32,18,15,0,0,85,..,0,4,10,6,0,3,0,0,23,..,0,0,0,5,0,3,0,0,8,34,..,..,..,..,..,..,..,..,34,..,0,..,..,..,..,..,..,..,0,..,9,7,0,0,0,0,0,0,10,..,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,0,..,3,3,0,0,0,0,0,0,7,..,3,4,8,9,4,8,4,0,40,0,0,0,0,0,0,4,0,0,8,34,13,21,27,54,34,34,7,0,222
LGA30760,..,3,0,0,0,0,0,0,0,4,..,5,18,4,7,21,35,32,6,129,11,4,3,0,5,0,11,3,0,36,147,59,88,111,121,141,112,53,17,853,..,3,61,127,147,219,147,37,7,750,..,15,44,31,21,17,3,0,0,136,..,3,4,12,14,3,0,8,3,50,285,..,..,..,..,..,..,..,..,285,..,34,..,..,..,..,..,..,..,34,..,31,28,4,8,6,0,0,0,74,..,9,0,0,3,0,4,5,3,25,..,4,3,0,0,0,0,0,0,10,..,3,0,0,0,3,0,3,0,9,..,8,26,14,29,51,64,48,8,253,12,13,8,4,5,7,17,4,0,82,293,125,186,203,223,300,242,104,24,1702
LGA30900,..,6,0,0,0,0,0,0,0,6,..,0,6,0,0,9,0,0,0,15,0,0,0,0,0,0,0,0,0,5,26,15,32,16,17,21,5,3,0,138,..,0,16,9,21,17,6,3,0,79,..,8,8,11,3,10,7,0,0,35,..,0,7,3,3,4,3,0,0,20,51,..,..,..,..,..,..,..,..,51,..,3,..,..,..,..,..,..,..,3,..,6,3,4,0,0,0,0,0,17,..,4,3,3,3,0,0,0,0,18,..,0,0,0,0,0,0,0,0,4,..,8,10,0,0,0,0,0,0,18,..,4,13,7,14,11,4,0,0,50,4,4,0,0,0,0,0,0,0,9,51,33,59,39,45,46,21,9,0,302
LGA31000,..,13940,11306,2428,1647,1596,857,311,70,32152,..,2415,6494,5911,6376,9111,10108,8255,5259,53940,1439,2852,2464,1082,874,1050,804,465,261,11299,92488,76507,90203,78645,69951,54477,37729,20762,9291,530046,..,2992,62190,94370,84175,64261,44249,19793,4508,376548,..,11880,36100,18337,12259,6409,2368,456,66,87865,..,940,4092,9825,12448,6721,2802,2094,1604,40519,187253,..,..,..,..,..,..,..,..,187253,..,55049,..,..,..,..,..,..,..,55049,..,26406,15839,5212,3492,1841,319,9,0,53123,..,9101,6158,1817,2021,3204,2695,2004,1186,28189,..,8167,7921,1914,1213,768,337,100,23,20446,..,27872,26601,6274,4053,3429,1887,673,158,70943,..,4769,14020,13051,13819,16192,15619,11347,6884,95704,2904,5344,5106,2564,1981,1860,1341,726,375,22195,190161,152524,178020,153364,135458,104678,71618,37203,14809,1037837
LGA31750,..,3,0,0,0,0,0,0,0,3,..,0,6,3,0,4,4,3,0,13,0,0,0,0,0,0,0,0,0,10,32,17,25,19,18,22,8,3,0,139,..,0,11,21,22,35,10,3,3,101,..,5,9,10,7,4,0,0,0,36,..,0,5,3,3,0,0,0,0,14,47,..,..,..,..,..,..,..,..,47,..,0,..,..,..,..,..,..,..,0,..,5,0,0,0,0,0,0,0,6,..,0,0,0,0,3,0,0,0,5,..,0,3,0,0,0,0,0,0,3,..,3,0,0,0,0,0,0,0,3,..,0,11,6,3,6,8,9,0,43,0,0,4,0,4,0,0,0,0,17,53,23,39,36,40,53,20,12,7,273
LGA31820,..,282,251,79,175,200,142,49,6,1180,..,141,258,213,564,964,1244,1136,576,5096,149,229,125,73,120,185,201,82,31,1198,7472,4568,4408,4811,5863,6261,5611,3066,1001,43070,..,307,3066,5025,6343,7373,7192,3331,599,33233,..,1017,1676,1149,1178,895,532,134,20,6596,..,260,821,1109,1046,475,258,263,132,4367,15200,..,..,..,..,..,..,..,..,15200,..,3136,..,..,..,..,..,..,..,3136,..,2643,909,482,427,202,34,4,0,4698,..,388,177,108,186,285,307,198,125,1773,..,344,207,106,120,80,46,13,0,915,..,530,539,218,363,415,343,111,19,2539,..,280,613,619,1231,1902,2151,1722,789,9314,294,468,325,231,239,324,344,154,42,2407,15494,9366,8332,9046,11128,11944,11205,5933,1729,84183
