LGA_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
LGA30250,38,0,0,0,0,0,0,14,47,25,18,11,3,0,0,0,9,64,21,12,6,4,3,0,0,3,49,7,7,8,8,5,3,3,10,50,11,3,0,9,3,3,0,4,33,10,9,10,5,3,3,11,3,42,11,8,0,5,4,4,0,6,40,0,4,4,8,5,0,5,4,43,5,3,9,3,3,0,3,4,34,0,0,9,4,0,0,3,4,23,3,0,0,0,3,3,3,0,14,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,118,69,63,54,42,18,43,50,459
LGA30300,94,0,0,0,0,0,0,36,130,71,14,9,3,0,0,0,14,105,61,24,20,12,3,0,0,11,132,30,30,36,23,5,3,0,16,147,10,10,52,27,12,7,4,12,130,13,11,37,35,13,7,9,13,141,9,17,54,42,13,0,10,15,153,11,16,42,40,11,5,3,17,151,4,14,45,36,20,4,4,17,142,9,5,33,52,18,6,3,12,141,9,9,31,26,13,3,3,14,108,3,0,17,12,22,4,6,8,70,0,0,6,13,17,8,6,7,59,4,3,3,3,4,9,8,0,33,3,0,8,12,3,5,7,6,46,331,149,400,348,163,62,64,181,1692
LGA30370,311,3,0,0,0,0,0,60,378,251,39,27,8,0,0,0,26,349,202,74,81,36,15,0,0,30,442,93,69,152,84,36,7,0,42,488,49,61,164,107,48,18,4,38,483,35,42,146,102,58,17,10,35,450,39,41,156,115,40,16,6,33,446,40,49,159,140,69,20,9,47,533,38,33,142,113,62,15,10,39,453,22,14,105,108,44,19,5,29,354,7,12,83,79,51,13,18,31,288,18,16,57,67,40,17,14,21,252,15,4,39,48,38,15,18,16,192,0,5,18,32,32,13,24,22,146,11,11,17,20,17,16,28,8,131,1146,469,1354,1059,539,185,150,486,5383
LGA30410,59,0,0,0,0,0,0,10,62,53,7,6,0,0,0,0,4,69,40,19,14,6,0,0,0,6,88,24,10,29,16,9,3,0,6,98,14,12,18,16,11,0,0,4,82,13,7,22,29,12,3,0,4,98,17,3,40,21,12,5,0,6,109,15,15,27,22,13,6,3,7,104,6,6,33,29,16,3,0,5,98,7,3,30,19,18,3,3,4,83,3,4,18,16,12,3,3,11,73,9,0,21,23,13,3,4,5,76,3,0,8,8,11,3,3,4,42,0,0,7,3,8,3,8,0,36,0,4,0,3,8,3,7,4,28,259,89,274,218,133,45,36,85,1143
LGA30450,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,9,0,0,0,5,0,0,0,0,4,0,0,5,0,3,0,0,0,8,3,0,4,6,3,0,0,0,17,0,0,0,3,3,0,0,0,11,0,0,5,3,3,0,0,0,6,3,0,3,0,0,0,0,0,10,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,24,6,22,25,13,5,3,11,104
LGA30760,28,0,0,0,0,0,0,3,36,24,3,3,0,0,0,0,0,33,22,0,4,3,0,0,0,0,38,20,6,15,10,0,0,0,3,61,4,4,18,16,7,3,0,0,54,7,9,22,15,6,0,0,9,66,7,5,12,19,10,3,0,4,55,5,8,30,18,5,3,0,7,83,3,12,24,29,11,3,0,4,87,5,4,30,14,7,4,0,3,71,3,3,16,27,3,7,4,4,71,4,3,10,17,5,3,3,6,53,7,0,3,10,6,0,7,4,33,0,0,4,4,5,0,3,4,32,3,0,3,6,0,6,3,0,25,152,60,208,188,76,36,26,54,788
LGA30900,6,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,3,22,10,3,0,0,3,0,0,4,18,9,3,6,3,3,0,0,3,22,3,0,0,0,3,0,0,0,11,3,4,3,0,0,0,0,0,11,0,0,5,5,0,3,0,3,13,0,0,4,0,0,0,0,3,7,0,4,4,3,0,0,0,3,18,0,0,8,3,3,0,0,3,17,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,14,29,20,13,3,3,31,156
LGA31000,31532,173,21,3,5,0,5,3096,34840,42686,1545,470,107,34,3,17,4487,49360,36739,5340,2408,631,165,38,33,4407,49774,23041,10498,8297,2168,556,179,121,3450,48320,11686,7995,13425,4874,1225,332,238,2493,42270,8372,6504,15222,6669,1782,479,374,2209,41619,7163,5905,14608,6752,2001,539,419,2136,39539,6043,4903,12800,6497,1965,539,390,1989,35119,4927,4138,11045,6452,2240,628,369,1780,31580,3823,3387,9382,5780,2217,620,355,1555,27117,2815,2417,8193,5437,2097,652,402,1405,23410,1985,1540,5583,4309,1851,661,414,1166,17528,1314,907,3460,3193,1775,820,592,1090,13151,959,674,2214,2262,1559,781,746,1088,10286,1186,1072,2751,2604,1745,878,943,2651,13833,184277,57013,109886,57738,21225,7163,5426,35014,477739
LGA31750,7,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,10,3,3,0,0,0,0,0,0,10,4,0,3,3,0,0,0,0,13,3,3,4,3,0,0,0,0,8,4,0,0,0,0,0,0,0,9,0,0,5,0,3,0,0,0,7,0,0,0,9,0,0,0,0,15,0,0,8,7,3,0,0,0,21,0,0,0,0,3,3,0,3,11,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,37,9,31,18,16,7,4,9,128
LGA31820,2324,53,9,4,3,0,0,316,2705,1512,339,172,46,8,0,4,201,2285,1076,435,452,181,47,20,8,179,2409,591,413,698,331,144,51,19,167,2412,344,302,814,462,220,76,59,130,2404,327,292,880,597,267,119,74,189,2735,360,330,1019,626,279,107,85,214,3027,372,363,1119,742,315,107,66,224,3313,396,307,1142,810,364,111,73,257,3461,333,303,1195,831,355,105,71,267,3457,322,294,1158,862,383,133,59,244,3449,194,176,820,705,389,142,90,235,2749,147,137,509,495,323,169,121,204,2099,89,83,221,319,223,132,118,155,1344,98,120,255,269,214,122,137,199,1408,8482,3942,10472,7273,3526,1390,977,3189,39255
LGA31900,439,3,0,0,0,0,0,61,501,298,52,31,6,0,0,0,36,428,188,103,38,27,10,3,3,21,397,87,64,122,89,18,5,9,40,435,49,50,161,117,24,13,6,25,450,50,39,189,127,35,10,11,32,510,53,59,207,149,44,15,13,44,578,52,54,185,138,72,19,15,46,565,75,49,198,158,75,25,14,36,626,47,35,188,161,84,21,7,50,595,27,27,134,177,81,25,12,72,559,25,30,100,107,72,36,16,35,416,15,13,67,94,61,29,20,32,334,10,9,41,60,49,32,28,43,274,11,15,43,60,56,25,25,62,293,1429,603,1706,1475,686,271,174,618,6960
LGA31950,3,0,0,0,0,0,0,3,7,5,3,0,0,0,0,0,3,12,5,0,0,0,0,0,0,3,11,3,0,0,3,3,0,0,3,18,0,0,0,3,0,0,0,3,13,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,3,7,0,0,3,0,0,0,6,0,11,0,0,4,0,0,0,0,0,9,0,0,3,4,0,0,0,0,17,0,0,0,3,0,0,3,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,21,18,7,3,14,28,120
LGA32080,3992,81,13,0,3,0,0,667,4762,3307,465,192,49,12,0,6,588,4618,2981,831,631,239,92,28,16,637,5456,2021,1116,1239,465,189,61,62,585,5746,1300,1001,1740,795,296,119,91,543,5886,1106,949,1955,980,381,136,130,567,6214,1055,842,1985,999,363,135,139,540,6065,1024,795,1763,924,359,127,114,518,5631,825,600,1653,946,374,134,108,474,5121,589,485,1447,908,338,110,111,438,4417,393,366,1173,749,341,116,76,350,3563,234,206,751,548,267,97,88,268,2460,122,131,390,362,220,86,74,236,1624,86,88,212,209,143,77,95,148,1057,94,103,259,260,160,83,106,221,1284,19145,8063,15404,8435,3549,1316,1212,6777,63897
LGA32250,31,6,0,0,0,0,0,7,46,35,11,3,3,0,0,0,15,68,25,12,14,5,4,0,0,14,69,13,10,17,10,3,0,0,10,65,14,6,15,4,7,0,7,12,63,9,11,19,8,5,4,7,3,61,5,10,8,13,13,4,0,12,63,19,11,15,17,16,3,0,10,93,6,3,23,17,14,7,7,6,75,6,3,5,11,7,3,3,7,47,10,5,11,15,6,0,4,3,49,0,3,7,0,0,0,5,0,29,0,0,0,3,7,4,3,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,172,77,140,112,74,37,38,103,743
