LGA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA30250,39,90,4,49,3,15,13,86,73,335,97,490,0,0,0,0,16,61,16,61,109,549,3,13,0,7,17,82,55,179,74,282,0,0,3,3,27,93,32,99,105,377,22,56,273,1077
LGA30300,480,939,13,74,37,149,19,94,281,1106,348,1419,10,33,27,68,71,213,108,316,456,1740,4,12,4,17,9,33,74,217,89,281,0,3,5,18,56,119,66,135,159,420,13,32,1109,3133
LGA30370,1543,3031,30,146,153,671,48,236,1038,4243,1270,5293,46,175,91,279,268,813,407,1263,1676,6558,5,14,21,72,10,45,173,496,210,617,9,32,25,42,143,305,177,374,385,993,45,88,3645,10679
LGA30410,339,661,3,17,23,93,6,31,187,722,220,862,7,36,14,38,55,160,79,237,296,1099,0,0,6,21,3,12,41,127,50,159,0,0,3,3,32,65,33,69,88,226,6,13,731,2001
LGA30450,30,55,0,0,0,0,0,3,18,63,19,65,0,0,0,0,6,23,6,23,22,90,0,0,0,0,0,5,4,10,3,11,0,0,0,0,7,14,7,14,6,20,0,0,68,169
LGA30760,271,525,0,5,15,67,8,21,110,422,131,510,8,23,11,34,35,110,58,169,186,679,0,0,3,24,3,5,18,57,24,81,3,6,3,3,24,44,28,51,53,136,5,11,514,1347
LGA30900,40,74,0,0,0,0,0,0,12,53,12,53,0,3,0,0,7,18,6,18,21,79,0,3,0,12,0,3,11,30,12,51,0,0,0,0,7,15,7,15,20,70,3,5,86,219
LGA31000,108119,214629,1636,9319,12595,57895,2396,10829,75678,288412,92298,366455,6306,26345,12979,44551,19020,60104,38302,131004,130602,497465,455,2129,2777,9655,1114,3922,14591,37363,18937,53073,1816,5806,5211,11748,14555,31406,21578,48957,40520,102027,6857,14430,286093,828547
LGA31750,43,79,0,0,0,0,0,3,17,74,18,79,0,3,4,7,7,11,7,23,31,95,0,0,0,0,0,0,10,27,10,27,0,3,0,0,0,0,3,4,11,32,0,0,80,214
LGA31820,12008,23762,183,1053,873,4085,351,1581,4446,17580,5853,24301,341,1367,632,2005,1665,5114,2635,8483,8489,32791,60,276,296,1085,210,762,1948,5501,2511,7624,124,400,303,667,1433,3057,1861,4125,4366,11749,339,713,25210,69008
LGA31900,2050,4061,36,197,187,859,68,310,920,3639,1214,5003,88,362,114,361,427,1317,633,2041,1842,7044,13,43,39,171,16,57,260,747,329,1022,19,45,41,91,227,480,289,617,613,1633,56,124,4560,12862
LGA31950,31,55,0,0,3,9,0,3,11,63,15,75,0,0,0,0,5,24,8,24,30,102,0,0,0,0,0,0,3,12,3,12,0,0,0,0,0,0,0,0,4,12,0,0,60,174
LGA32080,15135,29648,293,1683,1563,7186,539,2535,9484,36367,11878,47767,543,2212,1137,3542,2336,7162,4011,12913,15895,60683,102,492,525,1933,341,1295,3723,10231,4692,13953,235,739,739,1564,2158,4626,3126,6928,7820,20876,610,1276,39456,112481
LGA32250,215,422,3,13,4,22,12,64,93,369,112,459,0,3,0,9,19,70,27,84,138,545,3,26,3,11,15,55,54,188,76,272,0,0,0,0,26,74,32,74,106,349,11,19,473,1336
LGA32260,3450,6819,58,314,244,1162,97,460,1474,5800,1875,7738,104,423,172,499,501,1567,771,2491,2646,10227,25,112,70,262,63,226,530,1540,685,2139,24,79,70,143,396,870,493,1092,1176,3230,114,242,7385,20519
LGA32270,2408,4699,58,319,316,1401,86,373,2254,9027,2711,11110,112,413,142,411,408,1222,658,2050,3368,13161,10,40,60,221,32,102,367,992,468,1364,17,52,52,105,191,394,261,551,729,1915,77,163,6593,19937
LGA32310,1206,2366,22,106,119,561,57,230,608,2418,802,3316,27,115,54,142,217,627,292,880,1099,4192,4,29,42,166,20,88,236,683,310,963,12,31,38,78,156,347,211,460,519,1418,43,93,2867,8073
LGA32330,35,83,5,28,7,66,4,37,52,243,67,373,0,3,0,7,11,46,11,57,79,423,5,34,3,28,16,99,81,320,110,482,0,14,5,4,22,60,27,76,131,563,19,37,266,1110
LGA32450,229,446,3,23,18,83,5,30,188,749,217,874,0,11,12,31,45,139,59,181,273,1059,3,9,6,20,3,21,43,137,56,189,3,6,8,11,26,49,31,66,90,252,12,35,603,1788
LGA32500,387,759,5,18,23,99,20,99,190,756,235,975,6,25,10,32,47,146,64,211,295,1180,0,6,8,25,19,78,68,221,97,329,0,0,10,17,58,126,65,149,160,476,26,57,868,2477
LGA32600,31,60,0,0,0,4,3,10,17,54,21,70,0,3,0,0,0,10,3,10,19,85,0,0,0,0,0,0,3,13,4,13,0,0,0,0,5,4,5,4,10,19,0,0,60,161
LGA32750,20,46,0,0,0,0,0,0,17,75,17,75,0,0,3,3,7,13,7,17,31,91,0,0,0,3,0,0,0,3,3,5,0,0,0,0,0,0,0,0,3,10,3,6,58,152
LGA32770,40,83,3,21,10,53,36,215,100,485,142,774,0,0,0,0,12,38,9,43,159,815,3,13,7,24,7,55,60,200,72,288,0,0,0,0,13,39,13,39,86,323,6,21,292,1243
LGA32810,1387,2742,18,86,73,333,28,129,560,2160,682,2716,20,82,60,190,155,474,241,750,923,3465,6,23,24,69,14,54,228,601,265,740,5,18,36,73,127,259,168,356,434,1096,33,70,2775,7371
LGA33100,83,154,0,4,5,17,3,12,48,201,62,236,0,11,0,0,20,52,24,69,81,301,0,5,0,0,0,0,8,19,6,24,0,0,0,0,10,18,10,18,18,43,0,3,183,500
LGA33200,208,408,3,4,14,43,6,23,93,344,111,424,4,15,9,19,17,49,32,90,143,507,0,0,3,12,3,8,17,58,26,76,0,0,6,9,17,33,25,44,46,123,8,21,408,1059
LGA33220,13944,27650,160,894,842,3904,341,1554,4542,17933,5881,24283,287,1201,615,1914,1764,5500,2669,8614,8549,32889,65,311,360,1332,211,782,2162,6056,2793,8481,138,439,372,797,1529,3240,2036,4481,4826,12962,336,689,27658,74193
LGA33360,6351,12411,110,589,748,3387,251,1112,4528,17614,5635,22705,236,932,441,1306,1026,3088,1701,5324,7340,28038,23,88,166,577,80,285,1142,3093,1407,4053,42,138,171,357,625,1327,847,1818,2250,5868,180,371,16125,46687
LGA33430,57379,114054,910,5081,5548,25283,1912,8590,34028,130461,42395,169412,2827,11703,5125,16984,10560,33157,18512,61845,60903,231261,305,1386,1702,5912,844,2883,10023,26343,12871,36521,943,2959,2627,5779,8582,18390,12157,27122,25027,63645,2103,4375,145416,413335
LGA33610,1197,2369,13,77,97,423,32,133,700,2808,845,3442,35,121,72,202,132,408,239,727,1081,4175,4,20,20,69,13,41,182,502,217,637,4,24,31,56,116,238,149,315,366,950,41,86,2692,7580
LGA33620,6273,12417,116,667,461,2176,194,859,2395,9627,3159,13325,146,602,277,886,931,2870,1355,4348,4514,17679,30,151,157,562,88,296,1075,2952,1347,3962,59,178,197,436,762,1594,1015,2207,2363,6166,137,289,13290,36553
LGA33800,1496,2948,13,95,108,478,43,165,500,1984,662,2722,48,180,91,276,262,812,396,1266,1061,3993,3,23,15,59,17,65,132,368,174,517,12,29,22,49,166,353,198,432,369,947,31,69,2959,7958
LGA33830,35,85,3,34,8,29,14,66,53,221,73,347,0,3,0,4,15,62,19,65,90,413,0,0,0,3,5,29,37,121,42,157,0,0,0,0,12,28,12,28,57,185,15,29,198,710
LGA33960,15875,31706,568,3417,2171,10539,887,4305,13097,52003,16718,70257,937,3956,1476,4886,3737,12033,6153,20880,22872,91140,213,1094,794,3090,495,1834,4858,13869,6355,19886,348,1143,754,1677,3013,6598,4115,9418,10474,29300,842,1804,50060,153951
LGA33980,1622,3154,27,122,214,988,59,277,1800,7164,2094,8555,52,190,97,298,225,684,374,1171,2468,9724,5,19,40,132,18,72,251,704,322,936,18,49,32,66,123,250,169,362,492,1300,28,56,4610,14230
LGA34420,59,145,5,17,3,20,11,50,50,213,65,295,0,0,0,6,14,48,12,52,79,346,0,9,3,14,8,43,45,152,63,214,0,0,0,0,19,44,17,50,78,269,17,48,240,798
LGA34530,4255,8269,82,422,393,1785,155,703,2016,7862,2643,10776,138,538,316,978,775,2341,1222,3854,3871,14629,9,45,109,405,56,203,595,1647,781,2299,37,116,114,233,371,776,522,1128,1303,3429,93,192,9516,26522
LGA34570,23,43,0,0,0,0,14,103,40,192,54,293,0,9,0,0,3,17,6,26,58,319,0,6,3,15,4,32,21,77,34,127,0,0,0,0,14,43,14,43,48,169,7,14,135,553
LGA34580,4212,8357,111,605,362,1757,174,814,2100,8477,2739,11658,182,759,259,836,758,2404,1198,3999,3943,15655,31,149,120,456,79,321,688,1972,915,2902,60,199,108,246,508,1103,680,1543,1595,4441,139,303,9890,28763
LGA34590,25724,51799,904,5498,3413,16900,1613,7663,19460,78119,25386,108176,1748,7493,2289,7644,7192,23127,11227,38261,36617,146437,305,1491,1128,4339,774,2928,6962,19952,9165,28707,607,2033,1118,2532,4979,10948,6697,15513,15861,44217,1243,2647,79441,245103
LGA34710,399,772,4,42,28,123,12,69,207,817,256,1043,14,63,19,45,65,184,94,290,355,1336,0,4,15,43,3,17,68,175,81,230,0,4,3,10,36,75,38,83,121,319,19,40,888,2463
LGA34770,12220,23626,244,1328,1244,5603,493,2173,7466,28697,9439,37799,498,1973,911,2823,2291,6963,3706,11757,13150,49560,57,259,333,1142,201,743,2234,6137,2819,8281,127,401,322,689,1305,2744,1755,3833,4573,12111,388,803,30330,86095
LGA34800,71,140,3,11,3,13,3,13,50,193,57,223,0,3,4,3,20,58,19,64,78,285,0,0,0,0,0,0,8,22,8,22,0,0,0,3,7,11,6,10,18,36,0,0,167,463
LGA34830,11,31,6,23,3,5,0,11,15,77,24,117,0,0,0,0,0,10,0,10,26,122,0,0,0,0,3,19,9,40,15,58,0,3,0,0,10,24,5,23,20,79,7,20,64,248
