LGA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA30250,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,84,33,13,5,4,0,201,0,0,0,0,0,0,0,0,53,84,37,13,5,4,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,52,23,18,3,0,0,136,0,0,0,0,0,0,0,0,43,52,23,18,3,0,0,140,100,135,60,31,11,4,0,344
LGA30300,6,11,4,3,0,0,0,29,10,0,0,0,0,0,0,10,11,14,3,0,0,0,0,26,183,236,124,51,63,3,0,653,0,0,0,0,0,0,0,3,212,255,133,54,65,3,0,725,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,52,59,29,12,12,0,0,167,3,3,0,0,0,0,0,3,56,63,33,12,13,0,0,177,263,320,164,68,80,4,0,909
LGA30370,60,56,26,22,23,3,0,194,26,27,13,8,12,0,0,86,50,25,14,4,10,0,0,97,731,805,433,228,239,7,0,2448,10,5,8,5,3,0,0,25,868,912,500,261,281,14,4,2848,6,10,7,3,0,0,0,29,6,3,0,3,3,0,0,23,3,13,0,0,0,0,0,21,65,114,63,47,46,0,0,336,0,0,0,3,0,0,0,7,85,139,73,58,51,0,0,414,958,1054,576,322,341,11,4,3265
LGA30410,8,16,0,0,0,0,0,21,3,3,0,3,0,0,0,10,10,7,0,0,0,0,0,16,139,134,65,27,32,0,0,403,0,0,0,0,0,0,0,0,157,162,68,32,32,0,0,452,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,38,22,14,8,0,0,94,0,0,0,0,0,0,0,4,18,36,30,14,10,0,0,103,181,197,95,41,46,0,0,554
LGA30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,10,9,0,0,0,0,24,0,0,0,0,0,0,0,0,7,10,9,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,14,13,17,0,0,0,0,34
LGA30760,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,7,91,83,38,17,17,4,0,246,0,0,0,0,0,0,0,0,93,88,43,13,22,4,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,15,8,5,11,0,0,50,0,0,0,0,0,0,0,3,13,15,9,5,10,0,0,58,105,106,50,23,32,3,0,317
LGA30900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,11,3,0,0,0,0,22,0,0,0,0,0,0,0,0,10,13,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,3,0,3,0,0,24,0,0,0,0,0,0,0,0,7,14,3,0,3,0,0,24,18,21,7,0,3,0,0,52
LGA31000,18623,16582,8802,5457,7673,4554,2374,64064,6177,5889,3033,1833,2209,1128,459,20734,6245,5581,2651,1615,2078,1034,459,19665,26107,26620,15203,9234,12314,6172,2777,98429,263,227,118,78,73,33,12,799,57422,54909,29801,18206,24346,12924,6084,203686,1527,2237,1663,1284,1875,1237,666,10476,866,1254,831,552,770,353,182,4815,548,973,613,456,636,306,178,3699,2883,4704,3353,2409,3247,1363,721,18682,259,266,177,78,107,37,20,946,6074,9435,6628,4777,6640,3291,1769,38615,63497,64345,36436,22984,30983,16217,7846,242308
LGA31750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,9,4,0,0,0,0,32,0,0,0,0,0,0,0,0,14,17,10,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,13,19,20,13,0,0,0,0,52
LGA31820,222,239,167,89,142,32,5,894,170,218,132,80,101,13,3,721,191,225,116,95,115,14,7,775,2664,3123,1893,1275,1611,178,53,10794,27,21,15,8,13,0,0,83,3275,3828,2330,1546,1983,236,66,13271,12,28,21,16,25,3,5,113,73,118,68,58,49,8,3,374,38,66,42,25,66,12,3,248,943,1274,807,527,567,70,22,4213,38,38,23,13,6,3,0,120,1109,1512,960,642,716,90,43,5065,4381,5347,3291,2185,2700,323,112,18338
