LGA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA30250,72,5,7,10,11,0,5,109
LGA30300,397,25,22,5,0,0,0,456
LGA30370,1480,91,77,10,0,0,13,1676
LGA30410,280,12,7,0,0,0,3,296
LGA30450,22,0,0,0,0,0,3,22
LGA30760,170,8,11,0,0,0,0,186
LGA30900,19,4,0,0,0,0,0,21
LGA31000,117181,7894,3630,1325,138,59,377,130602
LGA31750,20,5,0,0,0,0,0,31
LGA31820,7050,756,508,77,18,13,73,8489
LGA31900,1592,131,84,18,4,0,11,1842
LGA31950,19,0,0,0,0,0,3,30
LGA32080,13575,1257,689,212,36,20,105,15895
LGA32250,105,14,5,3,3,3,6,138
LGA32260,2303,166,118,34,0,3,27,2646
LGA32270,2988,170,170,19,3,0,19,3368
LGA32310,947,63,63,14,0,0,7,1099
LGA32330,57,6,3,6,3,0,0,79
LGA32450,231,15,4,10,0,0,8,273
LGA32500,231,15,21,14,0,3,12,295
LGA32600,17,0,0,0,0,0,0,19
LGA32750,25,3,0,0,0,0,0,31
LGA32770,112,10,11,20,0,0,3,159
LGA32810,786,68,48,10,3,3,9,923
LGA33100,67,7,5,0,0,0,0,81
LGA33200,133,0,7,3,0,0,0,143
LGA33220,6987,820,528,104,25,11,69,8549
LGA33360,6239,544,427,75,3,3,44,7340
LGA33430,52071,5047,2763,630,107,40,244,60903
LGA33610,953,53,49,9,0,0,9,1081
LGA33620,3710,376,321,50,17,3,35,4514
LGA33800,944,62,34,10,0,0,9,1061
LGA33830,69,5,0,7,0,0,3,90
LGA33960,18777,1962,1507,387,45,42,147,22872
LGA33980,2178,144,132,13,3,0,9,2468
LGA34420,49,8,4,11,0,0,5,79
LGA34530,3326,285,184,42,11,3,17,3871
LGA34570,36,4,8,6,3,0,5,58
LGA34580,3251,311,267,51,11,10,46,3943
LGA34590,30302,2990,2257,645,102,51,263,36617
LGA34710,303,28,18,3,0,0,3,355
LGA34770,11358,930,628,124,20,13,74,13150
LGA34800,75,5,0,0,0,0,0,78
LGA34830,12,4,4,0,0,0,4,26
LGA34860,1240,68,63,11,3,0,10,1396
LGA34880,1665,158,92,35,9,3,19,1983
LGA35010,42670,4460,3029,560,116,54,287,51175
LGA35250,60,11,0,18,0,0,9,95
LGA35300,1676,138,118,37,3,0,25,1999
LGA35600,381,25,15,3,0,0,4,432
LGA35670,73,6,9,4,3,0,7,104
LGA35740,4406,417,185,34,6,0,20,5079
LGA35760,778,56,58,12,0,0,13,919
LGA35780,201,27,16,24,3,0,8,281
LGA35790,140,12,10,19,3,3,11,206
LGA35800,92,6,4,3,0,0,6,110
LGA36070,46,5,7,4,0,0,6,72
LGA36150,70,3,8,0,0,0,0,77
LGA36250,15546,1532,895,155,35,11,73,18243
LGA36300,67,0,0,0,0,0,0,69
LGA36370,6977,625,472,106,20,15,65,8283
LGA36510,3608,377,210,55,17,6,37,4296
LGA36580,2042,212,179,33,5,0,27,2500
LGA36630,2373,230,186,28,11,8,40,2879
LGA36660,2896,260,190,38,5,0,24,3415
LGA36720,27255,2566,1387,279,44,20,122,31668
LGA36820,1877,156,104,24,10,3,22,2192
LGA36910,14637,1135,880,186,19,18,115,16993
LGA36950,254,17,18,27,3,3,3,325
LGA36960,329,21,28,49,3,4,27,450
LGA37010,16679,1678,1131,221,33,21,130,19900
LGA37300,433,38,30,6,0,0,3,518
LGA37310,2980,191,195,32,3,0,26,3429
LGA37340,2572,243,155,24,3,3,21,3016
LGA37400,89,4,3,0,0,0,0,94
LGA37550,33,4,3,10,0,0,7,57
LGA37570,24,0,0,4,0,0,3,29
LGA37600,166,16,8,36,0,0,6,223
LGA39499,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0
