LGA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA30250,0,0,0,0,0,0,0,4,0,4,3,3,23,0,31,0,0,13,0,13,16,15,12,8,56,0,19,10,3,28,3,13,14,5,37,0,12,4,3,23,3,14,18,0,30,0,16,3,0,17,0,0,0,0,3,0,4,5,0,7,3,5,0,0,6,0,3,0,0,8,0,3,0,0,4,0,0,0,0,3,0,3,0,0,0,0,3,7,0,12,0,0,0,0,0,39,109,105,22,273
LGA30300,10,4,5,0,20,5,0,0,0,9,3,5,6,0,14,3,3,9,0,20,17,5,12,3,39,8,8,19,0,43,47,13,14,0,72,36,23,17,0,75,47,33,24,3,103,42,31,17,3,92,36,38,6,0,78,37,43,5,0,81,61,61,5,0,127,32,38,4,0,75,15,25,0,0,46,5,13,0,0,19,22,20,0,0,42,36,74,16,0,125,14,12,3,0,29,480,456,159,13,1109
LGA30370,43,12,7,0,51,20,8,0,0,28,13,3,10,3,31,8,0,24,0,33,55,7,30,0,92,29,8,50,0,84,148,32,37,3,220,100,45,41,3,188,122,76,33,4,239,116,107,26,8,258,73,117,30,3,216,91,124,24,3,244,186,272,23,5,487,116,203,9,0,337,99,134,0,0,234,49,80,3,0,133,119,159,3,4,289,111,251,27,0,395,43,33,11,0,94,1543,1676,385,45,3645
LGA30410,3,0,0,0,5,7,0,0,0,10,0,3,4,0,10,0,0,0,0,4,19,5,7,0,26,6,3,4,0,17,46,4,14,3,64,17,20,5,0,41,37,19,9,0,69,24,29,5,0,60,12,22,11,0,46,27,23,8,0,57,39,31,0,0,67,23,28,0,0,52,12,18,0,0,28,7,16,0,0,25,20,13,0,0,30,32,63,14,0,104,9,3,4,0,13,339,296,88,6,731
LGA30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,3,0,0,0,4,3,4,0,0,6,0,0,0,0,3,0,3,0,0,3,3,0,0,0,7,0,0,3,0,3,4,4,0,0,9,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,5,0,0,12,0,0,0,0,0,30,22,6,0,68
LGA30760,13,0,0,0,17,0,0,0,0,0,6,6,3,0,10,0,0,3,0,3,20,3,3,0,22,5,3,3,0,9,40,10,3,0,54,20,7,10,0,36,28,22,6,0,59,28,20,3,0,54,8,12,0,0,23,20,14,0,0,29,24,16,0,0,41,6,20,0,0,27,9,11,0,0,24,3,5,0,0,10,5,6,0,0,15,15,38,8,0,63,14,3,4,3,26,271,186,53,5,514
LGA30900,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,5,0,4,3,0,4,0,6,5,3,0,0,11,3,3,3,0,6,3,0,0,0,3,4,3,0,0,4,4,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,3,0,0,11,3,0,0,0,3,40,21,20,3,86
LGA31000,1752,611,967,218,3557,698,238,355,137,1425,665,368,938,167,2135,421,238,1121,53,1840,2819,857,1775,291,5736,1993,1185,2886,271,6332,8594,2096,3169,501,14356,6333,3394,3877,640,14242,8675,5502,4729,788,19693,8242,6878,3736,666,19517,5866,6895,3068,512,16340,6623,7693,2442,486,17242,14442,17388,3702,808,36334,10457,14944,1507,480,27390,6940,11718,587,249,19488,4938,9781,866,114,15693,10004,25784,779,176,36753,7458,14117,3435,222,25231,1191,924,584,80,2789,108119,130602,40520,6857,286093
LGA31750,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,0,9,0,0,7,0,4,5,0,0,0,7,5,4,0,0,12,0,0,0,0,3,6,3,0,0,8,3,3,0,0,9,3,4,0,0,6,5,0,0,0,4,0,0,0,0,0,4,3,0,0,3,3,6,0,0,8,3,0,0,0,3,43,31,11,0,80
LGA31820,143,34,61,3,240,128,25,27,3,182,103,33,139,6,284,44,22,202,0,270,789,104,326,15,1241,467,140,588,11,1203,2598,324,627,45,3585,1166,473,595,70,2302,1232,793,495,53,2563,1037,867,309,33,2241,594,768,193,16,1573,579,695,118,14,1409,978,1174,144,22,2314,451,728,51,0,1231,228,456,17,9,705,129,268,21,0,416,242,389,20,8,661,790,1109,324,19,2245,317,100,116,13,551,12008,8489,4366,339,25210
