LGA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA30250,0,0,0,0,3,3,7,13,25,0,3,3,35,0,32,8,3,11,22,0,19,27,0,28,32,0,32,24,3,25,8,5,10,11,3,14,8,5,12,3,0,6,4,0,4,4,0,3,3,0,4,9,0,10,0,0,3,208,50,259
LGA30300,17,12,34,6,3,11,16,21,36,16,31,52,36,86,116,40,42,81,68,44,114,71,39,109,97,49,141,86,38,120,77,23,95,87,13,102,126,18,146,78,3,78,42,3,47,20,12,34,42,3,45,123,0,123,28,23,49,1079,452,1539
LGA30370,45,35,82,26,23,51,24,62,88,32,104,138,84,208,295,70,99,167,210,109,322,171,105,279,233,119,349,243,77,323,214,46,259,240,53,290,483,124,605,340,9,352,240,12,252,142,49,188,304,13,312,396,27,425,91,97,189,3596,1375,4965
LGA30410,5,12,20,6,4,13,4,16,25,3,32,39,31,74,100,18,34,54,58,33,92,40,37,78,68,23,92,59,21,82,40,12,49,52,10,61,67,20,87,60,3,61,34,0,34,24,5,28,37,0,35,106,7,112,18,23,40,726,366,1096
LGA30450,0,0,3,0,0,0,0,0,0,0,3,3,3,5,7,0,5,7,5,3,3,4,6,11,6,10,14,4,3,9,5,3,6,3,3,10,3,0,7,6,0,6,0,0,0,3,0,3,3,0,3,10,0,12,0,0,0,63,43,110
LGA30760,16,6,24,0,6,7,9,17,29,0,27,27,25,75,94,7,21,31,50,21,69,35,15,49,58,23,83,49,9,58,23,8,27,34,4,30,40,0,47,27,0,27,19,0,19,7,3,11,17,0,17,60,3,65,23,18,44,500,259,761
LGA30900,0,0,4,0,0,0,0,3,4,0,3,3,3,3,9,3,3,3,0,8,10,3,10,13,5,3,8,10,6,14,7,4,10,4,0,4,5,3,10,13,0,10,3,0,3,0,0,4,3,0,3,13,0,13,0,4,7,82,53,135
LGA31000,2616,4054,6673,1127,1479,2605,1690,4780,6471,1410,7185,8602,4747,14774,19519,5275,9334,14611,12694,8148,20842,12708,9783,22491,18113,11502,29609,18278,9388,27661,15853,8541,24394,16931,6351,23281,36097,10418,46518,28034,2447,30482,20293,1420,21710,16340,4389,20728,38863,1377,40241,25608,5576,31183,2583,3935,6517,279271,124894,404159
LGA31750,3,0,7,0,0,0,0,4,4,0,0,0,0,6,6,3,0,3,7,3,12,3,3,7,5,7,11,11,8,19,5,0,4,6,4,14,5,4,7,8,0,8,6,0,6,0,0,0,6,0,6,6,0,6,3,6,10,81,42,125
LGA31820,216,225,444,159,140,303,231,716,953,222,1040,1260,1118,2580,3696,1052,1155,2207,3414,812,4230,2221,871,3089,2502,770,3271,2255,419,2680,1570,311,1882,1442,201,1642,2346,224,2569,1289,42,1327,752,11,760,427,98,527,713,19,730,2273,172,2446,525,706,1230,24730,10511,35244
