LGA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
LGA30250,176,52,19,4,0,254,6,259
LGA30300,66,393,546,267,180,1456,79,1539
LGA30370,199,1258,1790,867,617,4732,234,4965
LGA30410,51,350,342,146,158,1047,47,1096
LGA30450,9,36,32,18,18,106,3,110
LGA30760,50,266,197,118,84,718,39,761
LGA30900,20,46,25,16,23,122,10,135
LGA31000,32882,149517,147487,43208,19599,392698,11462,404159
LGA31750,6,43,36,17,25,115,10,125
LGA31820,2104,13064,12580,4033,1972,33751,1489,35244
LGA31900,375,1923,2500,954,474,6229,300,6530
LGA31950,15,37,20,7,4,82,7,91
LGA32080,3876,20367,20656,5966,2639,53505,2284,55790
LGA32250,63,246,185,68,39,605,53,655
LGA32260,661,3803,3911,1219,514,10113,506,10621
LGA32270,273,2577,3483,1393,819,8550,359,8906
LGA32310,271,1442,1390,525,332,3962,197,4157
LGA32330,128,98,36,17,3,281,0,281
LGA32450,96,293,291,102,72,861,60,922
LGA32500,115,489,437,155,88,1275,117,1400
LGA32600,0,30,25,8,13,78,5,85
LGA32750,13,21,29,8,8,78,4,86
LGA32770,127,78,29,0,7,245,27,268
LGA32810,257,1638,1467,436,183,3978,222,4197
LGA33100,6,86,88,52,35,277,44,319
LGA33200,25,173,189,102,62,546,38,586
LGA33220,2452,15506,13115,4271,1987,37322,1664,38988
LGA33360,845,6498,8834,3119,1429,20732,643,21378
LGA33430,10050,68889,76501,24210,12162,191820,6852,198668
LGA33610,168,1126,1446,558,321,3623,177,3793
LGA33620,913,6543,6647,2431,1401,17933,742,18676
LGA33800,199,1373,1618,579,302,4062,201,4268
LGA33830,74,92,40,18,3,226,3,231
LGA33960,3430,20612,24435,8612,4492,61587,2077,63661
LGA33980,161,1707,2580,947,551,5946,240,6186
LGA34420,120,71,33,7,3,230,9,241
LGA34530,514,3874,4824,1825,1021,12062,595,12654
LGA34570,48,55,23,7,0,142,9,155
LGA34580,447,3362,4850,2138,1463,12254,624,12872
LGA34590,4819,29097,36371,14616,9120,94019,3202,97224
LGA34710,82,451,461,182,118,1298,69,1366
LGA34770,2015,12603,16027,5742,2629,39012,1657,40669
LGA34800,9,81,77,44,47,254,14,270
LGA34830,37,19,19,0,0,78,4,84
LGA34860,197,1270,1574,695,503,4247,199,4439
LGA34880,470,2342,2618,1013,605,7048,356,7408
LGA35010,7090,47687,56988,20120,11565,143452,4210,147666
LGA35250,123,85,38,3,4,252,9,261
LGA35300,424,1951,2310,753,353,5786,290,6078
LGA35600,109,540,531,215,125,1514,94,1611
LGA35670,112,72,40,12,5,234,3,235
LGA35740,821,7127,7840,2508,1149,19438,708,20143
LGA35760,212,1227,1304,571,377,3690,228,3916
LGA35780,186,253,140,31,18,626,43,676
LGA35790,262,153,51,13,0,471,7,483
LGA35800,64,201,178,86,75,597,46,647
LGA36070,94,72,29,13,6,214,6,218
LGA36150,15,100,110,39,33,298,27,319
LGA36250,2393,15941,20626,7730,4281,50974,1476,52446
LGA36300,14,79,85,48,46,277,18,295
LGA36370,1968,9841,10226,3539,1725,27294,1081,28375
LGA36510,388,4041,5362,2233,1532,13569,481,14043
LGA36580,268,2616,3095,1375,880,8230,352,8579
LGA36630,614,4364,4221,1577,938,11716,548,12265
LGA36660,782,4477,4701,1823,1067,12839,514,13355
LGA36720,4673,37840,42270,13611,6907,105304,3286,108589
LGA36820,427,3292,3446,1211,614,8990,410,9397
LGA36910,3263,19541,21565,7528,4283,56173,2029,58204
LGA36950,196,289,176,50,34,748,164,908
LGA36960,574,287,74,15,3,951,39,988
LGA37010,3606,22095,25924,8156,3733,63512,2092,65599
LGA37300,19,268,538,199,72,1092,55,1148
LGA37310,554,3534,3988,1709,1135,10922,425,11350
LGA37340,643,3901,4102,1351,628,10624,629,11255
LGA37400,35,158,142,60,40,436,35,469
LGA37550,119,78,28,3,0,233,12,245
LGA37570,40,23,11,3,0,78,0,78
LGA37600,143,184,87,31,14,459,10,465
LGA39499,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0
