LGA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
LGA30250,..,46,46,38,3,42,26,3,27,36,0,36,23,0,23,89,0,89,208,50,259
LGA30300,..,419,419,528,28,562,191,5,200,187,0,190,114,0,114,52,0,52,1079,452,1539
LGA30370,..,1231,1231,1649,103,1757,661,26,686,746,8,749,328,3,333,206,4,213,3596,1375,4965
LGA30410,..,344,344,370,19,392,131,0,135,136,0,136,60,0,60,22,0,22,726,366,1096
LGA30450,..,41,41,36,5,42,7,0,7,9,0,9,3,0,3,0,0,0,63,43,110
LGA30760,..,250,250,282,4,284,85,3,89,79,0,79,44,0,44,17,0,17,500,259,761
LGA30900,..,50,50,39,3,42,15,0,15,9,0,9,8,0,6,6,0,12,82,53,135
LGA31000,..,95700,95700,116439,17864,134305,62436,6955,69389,63534,2791,66326,25325,1037,26361,11534,542,12081,279271,124894,404159
LGA31750,..,43,43,46,3,48,18,0,18,12,0,12,4,0,4,5,0,5,81,42,125
LGA31820,..,9312,9312,13210,997,14213,4648,137,4787,4053,44,4096,1842,12,1850,975,12,979,24730,10511,35244
LGA31900,..,1853,1853,2292,138,2421,877,13,894,832,8,840,370,0,375,148,4,151,4521,2012,6530
LGA31950,..,35,35,24,5,29,6,0,6,11,0,11,9,0,9,4,0,4,57,33,91
LGA32080,..,14570,14570,17255,2091,19347,8558,414,8970,7675,132,7811,3245,19,3266,1808,26,1829,38534,17254,55790
LGA32250,..,191,191,210,16,226,69,0,78,71,0,70,37,0,36,46,0,46,444,211,655
LGA32260,..,3008,3008,3806,298,4099,1367,59,1427,1198,12,1205,541,4,547,334,0,334,7245,3379,10621
LGA32270,..,2173,2173,2637,210,2849,1251,32,1288,1480,6,1485,744,0,743,367,0,373,6479,2426,8906
LGA32310,..,1207,1207,1384,105,1486,528,13,546,523,5,527,229,0,235,160,0,160,2822,1333,4157
LGA32330,..,46,46,41,5,44,42,0,42,35,0,35,47,0,47,67,0,67,229,52,281
LGA32450,..,290,290,253,29,281,143,4,147,87,3,92,64,3,68,46,0,46,590,333,922
LGA32500,..,473,473,417,59,482,149,18,169,135,4,142,78,0,78,60,0,59,843,559,1400
LGA32600,..,23,23,34,3,32,6,0,6,6,0,6,3,0,3,11,0,11,60,27,85
LGA32750,..,24,24,22,0,25,12,0,17,9,0,15,3,0,3,3,0,3,59,31,86
LGA32770,..,28,28,28,10,38,32,0,29,40,0,40,34,0,34,95,0,95,230,38,268
LGA32810,..,1218,1218,1489,208,1695,509,27,540,495,11,507,164,0,167,72,3,74,2733,1468,4197
LGA33100,..,135,135,91,7,97,30,0,35,33,0,33,16,0,16,8,0,10,178,141,319
LGA33200,..,177,177,214,14,233,66,3,63,62,0,62,43,0,43,9,0,9,393,191,586
LGA33220,..,10476,10476,15302,1242,16545,4876,135,5013,4031,28,4061,1849,7,1853,1035,0,1037,27099,11889,38988
LGA33360,..,4836,4836,6983,550,7539,3367,85,3457,3450,18,3469,1429,3,1428,651,0,650,15882,5492,21378
LGA33430,..,45955,45955,62607,8272,70881,31556,2017,33569,30024,654,30679,11672,188,11859,5625,102,5731,141486,57184,198668
LGA33610,..,1034,1034,1315,84,1403,498,17,516,469,4,470,267,0,268,102,0,102,2655,1139,3793
LGA33620,..,5067,5067,6954,530,7483,2397,77,2469,2021,12,2026,983,4,990,632,3,638,12988,5685,18676
LGA33800,..,1266,1266,1661,65,1730,529,5,534,464,0,465,202,0,202,69,0,73,2924,1341,4268
LGA33830,..,42,42,44,3,46,48,0,48,30,0,30,32,0,32,33,0,33,180,47,231
LGA33960,..,12877,12877,18105,1826,19931,11191,310,11504,10797,85,10878,5013,13,5032,3429,9,3435,48539,15117,63661
LGA33980,..,1438,1438,1770,150,1921,915,28,942,1092,0,1093,566,0,565,232,0,232,4568,1617,6186
LGA34420,..,38,38,52,3,60,37,0,43,40,0,40,33,0,33,40,0,40,197,42,241
LGA34530,..,3008,3008,4519,292,4809,1807,31,1841,1772,7,1781,820,0,819,394,0,394,9311,3342,12654
LGA34570,..,37,37,15,4,26,28,0,28,11,0,11,11,0,11,46,0,46,113,41,155
LGA34580,..,2682,2682,4396,396,4789,1871,90,1962,1732,61,1790,952,41,992,636,31,664,9577,3298,12872
LGA34590,..,17980,17980,27452,2724,30172,17075,457,17527,16689,163,16847,8211,60,8278,6369,42,6416,75792,21425,97224
LGA34710,..,442,442,441,39,480,177,5,185,132,0,132,85,0,85,39,0,39,878,487,1366
LGA34770,..,9561,9561,13586,1045,14627,6304,160,6465,6086,38,6128,2746,5,2754,1129,3,1133,29853,10818,40669
LGA34800,..,96,96,71,8,78,29,0,29,32,0,32,22,0,22,13,0,13,161,109,270
LGA34830,..,18,18,17,4,17,8,0,8,5,0,5,20,0,20,10,0,10,59,25,84
LGA34860,..,1234,1234,1406,105,1516,606,22,627,627,5,638,308,0,308,122,0,122,3071,1371,4439
LGA34880,..,1989,1989,2582,214,2795,919,28,950,945,13,961,430,0,431,279,5,280,5158,2248,7408
LGA35010,..,30495,30495,47096,3663,50768,24300,629,24933,24606,163,24768,10835,48,10876,5783,46,5823,112615,35045,147666
LGA35250,..,49,49,52,4,57,29,3,28,34,0,34,21,0,21,65,0,65,201,57,261
LGA35300,..,1504,1504,1742,216,1953,964,48,1009,890,15,899,446,0,448,264,0,268,4298,1777,6078
LGA35600,..,498,498,529,34,559,211,6,214,211,0,211,78,0,78,50,0,50,1075,530,1611
LGA35670,..,47,47,38,0,40,40,0,40,34,0,34,28,0,28,55,0,55,188,45,235
LGA35740,..,4954,4954,7807,635,8443,2770,98,2869,2491,25,2515,968,4,972,394,0,395,14423,5724,20143
LGA35760,..,1201,1201,1428,90,1523,453,18,472,377,17,393,217,7,225,96,8,108,2572,1345,3916
LGA35780,..,132,132,121,8,129,79,0,78,92,0,92,82,0,82,162,0,162,530,145,676
LGA35790,..,68,68,71,3,78,57,3,66,60,0,64,48,0,48,160,0,160,405,79,483
LGA35800,..,230,230,216,21,235,83,0,83,51,3,53,22,0,22,24,0,24,390,254,647
LGA36070,..,41,41,70,0,66,30,0,30,37,0,37,20,0,20,24,0,24,173,45,218
LGA36150,..,118,118,100,8,107,34,0,36,32,0,32,21,0,21,9,0,9,201,125,319
LGA36250,..,10890,10890,17433,1156,18582,8508,172,8681,8944,47,8988,3605,7,3608,1690,9,1694,40171,12274,52446
LGA36300,..,89,89,103,5,108,33,0,33,39,0,39,19,0,19,5,0,5,195,97,295
LGA36370,..,7472,7472,8877,787,9668,4320,150,4469,4026,49,4079,1741,15,1754,918,10,926,19890,8480,28375
LGA36510,..,3093,3093,5102,321,5427,2040,27,2069,2001,7,2012,900,0,901,542,3,548,10591,3454,14043
LGA36580,..,1968,1968,2991,260,3247,1236,23,1256,1138,4,1147,585,11,592,371,3,372,6315,2267,8579
LGA36630,..,3460,3460,4541,372,4918,1480,49,1528,1262,5,1271,680,0,683,404,0,404,8368,3895,12265
LGA36660,..,3747,3747,4887,281,5165,1701,30,1734,1512,7,1522,735,7,736,448,0,448,9278,4071,13355
LGA36720,..,25485,25485,38239,3408,41643,15585,757,16345,15753,218,15969,6295,57,6349,2774,24,2797,78641,29948,108589
LGA36820,..,2671,2671,3552,225,3775,1116,23,1137,1030,8,1037,468,4,468,302,0,302,6468,2926,9397
LGA36910,..,15294,15294,19532,1545,21077,8040,293,8333,7594,93,7687,3753,22,3769,2024,10,2040,40943,17260,58204
LGA36950,..,224,224,159,52,207,114,6,119,121,8,123,77,0,80,146,8,153,611,293,908
LGA36960,..,196,196,165,7,176,143,0,143,137,0,137,118,0,118,221,0,218,782,207,988
LGA37010,..,15686,15686,20611,2425,23035,10324,551,10873,9492,189,9687,4159,59,4218,2078,22,2102,46667,18937,65599
LGA37300,..,217,217,313,34,343,186,3,186,248,0,248,88,0,88,63,0,63,896,251,1148
LGA37310,..,2909,2909,3803,306,4109,1530,40,1568,1506,11,1514,821,3,829,419,0,418,8081,3269,11350
LGA37340,..,3051,3051,3820,384,4203,1543,77,1621,1414,38,1453,633,17,652,263,10,271,7678,3580,11255
LGA37400,..,186,186,155,11,162,48,0,46,40,0,39,21,0,21,8,0,8,271,195,469
LGA37550,..,56,56,41,4,46,42,0,42,37,0,37,25,0,25,45,0,45,188,63,245
LGA37570,..,10,10,16,0,20,14,0,14,13,0,13,11,0,11,14,0,14,66,14,78
LGA37600,..,47,47,57,6,60,62,0,62,56,0,52,44,0,44,194,0,194,408,57,465
LGA39499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
