LGA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA30250,227,1122,7,16,0,3,14,21,20,35,0,0,0,0,0,0,20,35,0,0,3,7,0,0,0,0,3,7,0,0,259,1187,85,..,344,1187
LGA30300,1428,3623,4,16,0,0,4,16,32,54,0,0,0,0,0,0,32,54,30,39,5,8,3,3,11,13,42,66,23,53,1539,3812,442,..,1976,3812
LGA30370,4602,12159,45,66,15,40,64,112,181,298,0,0,0,0,0,4,183,306,55,91,14,23,4,6,12,21,83,134,42,90,4965,12799,1209,..,6172,12799
LGA30410,1019,2376,0,0,0,0,0,0,19,26,0,0,0,0,0,0,23,27,33,54,0,3,0,0,0,3,38,57,19,47,1096,2516,226,..,1318,2516
LGA30450,95,209,0,3,0,0,0,3,11,10,0,0,0,0,0,0,11,10,6,10,0,0,0,0,0,0,4,11,0,0,110,230,67,..,176,230
LGA30760,701,1629,26,26,0,0,26,26,7,6,0,0,0,0,0,0,7,6,16,30,0,0,0,3,5,16,21,49,9,10,761,1724,144,..,907,1724
LGA30900,111,275,5,7,0,0,5,7,0,4,0,0,0,0,0,0,0,4,3,8,0,0,0,0,3,4,5,15,6,20,135,316,22,..,158,316
LGA31000,272437,792916,8259,14674,33858,79222,42115,93894,26027,45613,28560,52788,31351,60119,84,172,86018,158696,504,720,730,1107,68,101,508,1313,1809,3234,1776,3579,404159,1052313,36949,..,441109,1052313
LGA31750,114,279,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,3,8,6,9,125,299,7,..,130,299
LGA31820,30258,76712,1901,2974,437,744,2335,3716,1666,2566,30,57,126,215,3,3,1821,2848,390,632,159,212,63,135,54,118,670,1099,159,350,35244,84719,5160,..,40403,84719
