LGA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA30250,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,200,7,3,0,0,209,0,0,0,0,0,0,3,0,0,0,0,3,15,7,13,0,0,32,4,0,0,0,0,5,221,10,20,0,0,250,0,0,0,0,0,0,3,0,0,0,0,6,227,14,20,3,0,259
LGA30300,479,0,0,17,8,504,371,0,0,4,3,380,124,0,12,0,4,138,75,0,6,0,0,81,126,0,0,3,0,135,11,0,7,0,0,16,119,3,0,3,3,130,48,0,3,0,0,54,500,3,27,12,11,550,29,0,0,0,0,28,53,0,0,11,3,71,1428,4,32,42,23,1539
LGA30370,1638,5,7,31,14,1692,1372,0,4,6,7,1395,416,19,60,0,3,500,157,4,28,0,0,188,457,3,17,4,3,481,14,8,3,0,3,30,252,13,49,18,3,332,93,3,0,4,0,106,1390,47,165,21,13,1634,58,3,0,0,0,61,143,6,15,13,4,185,4602,64,183,83,42,4965
LGA30410,448,0,0,30,13,489,216,0,0,5,0,221,33,0,3,0,0,37,34,0,6,0,0,46,79,0,0,0,5,80,6,0,0,0,0,3,113,0,8,0,3,120,28,0,0,0,0,28,290,0,20,0,8,322,28,0,0,0,0,26,29,0,0,7,0,33,1019,0,23,38,19,1096
LGA30450,33,0,0,3,0,40,14,0,0,0,0,16,0,0,0,0,0,0,13,0,0,0,0,15,6,0,0,0,0,6,0,0,0,0,0,0,23,0,11,0,0,25,3,0,0,0,0,3,40,0,11,0,0,48,3,0,0,0,0,3,0,0,0,0,0,0,95,0,11,4,0,110
LGA30760,311,0,0,10,3,325,160,0,0,7,0,158,41,0,0,0,0,41,29,3,3,0,0,35,57,0,0,0,0,56,7,17,0,0,0,27,44,0,3,3,0,55,23,0,0,0,0,23,203,22,6,5,0,236,9,0,0,0,0,9,28,5,0,0,3,35,701,26,7,21,9,761
LGA30900,32,0,0,0,3,35,8,0,0,0,0,10,0,0,0,0,0,0,16,5,0,0,0,17,7,0,0,0,0,7,4,0,0,0,0,5,30,0,3,0,4,37,3,0,0,0,0,3,57,5,0,0,3,69,4,0,0,3,0,11,6,0,0,0,0,9,111,5,0,5,6,135
LGA31000,90477,6015,10011,484,177,107159,111795,9270,13085,179,281,134609,39883,16040,41839,169,494,98424,5578,2773,5669,34,38,14091,14717,3935,9539,89,177,28456,505,604,1096,10,25,2238,1875,782,937,688,64,4347,936,214,456,16,13,1637,63494,24349,59538,996,809,149187,1206,901,1059,24,34,3217,5463,1585,2330,122,482,9982,272437,42115,86018,1809,1776,404159
LGA31750,35,0,0,0,0,37,33,0,0,0,0,33,0,0,0,0,0,0,3,0,0,0,0,3,12,0,0,0,0,14,0,0,0,0,0,0,20,0,0,0,0,25,3,0,0,0,0,6,35,0,0,0,0,42,8,0,0,0,0,8,4,0,0,0,0,8,114,0,0,3,6,125
LGA31820,11987,581,244,415,37,13254,9813,126,131,32,29,10135,4148,685,750,17,17,5615,427,382,203,0,3,1015,2264,187,236,32,18,2734,43,60,76,0,0,174,303,42,47,107,10,517,189,19,24,7,3,244,7374,1374,1333,167,56,10309,281,121,32,6,10,447,803,134,76,52,29,1094,30258,2335,1821,670,159,35244
