LGA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30300,45,0,0,0,0,45,17,0,0,0,0,16,8,0,0,0,0,8,32,0,0,0,0,32,36,0,0,0,0,36,79,0,0,0,4,84,41,0,0,0,0,40,35,0,0,0,0,35,15,0,0,0,0,15,17,0,0,0,0,17,19,0,0,0,0,18,28,0,0,0,0,31,371,0,0,4,3,380
LGA30370,115,0,0,0,0,117,30,0,0,0,0,35,35,0,0,0,0,35,48,0,0,0,0,48,101,0,0,0,0,97,250,0,3,0,0,253,261,0,0,3,0,264,217,0,0,0,0,218,101,0,0,0,0,100,86,0,0,0,0,86,52,0,0,0,0,52,84,0,0,0,0,82,1372,0,4,6,7,1395
LGA30410,40,0,0,0,0,40,13,0,0,0,0,13,9,0,0,0,0,9,22,0,0,0,0,22,17,0,0,0,0,15,39,0,0,0,0,44,21,0,0,0,0,21,16,0,0,0,0,16,11,0,0,0,0,11,3,0,0,0,0,3,12,0,0,0,0,8,23,0,0,0,0,23,216,0,0,5,0,221
LGA30450,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,16
LGA30760,19,0,0,0,0,19,9,0,0,0,0,9,16,0,0,0,0,16,25,0,0,0,0,25,20,0,0,0,0,20,33,0,0,0,0,33,8,0,0,0,0,8,7,0,0,0,0,7,4,0,0,0,0,3,0,0,0,0,0,0,7,0,0,3,0,8,10,0,0,0,0,10,160,0,0,7,0,158
LGA30900,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,10
LGA31000,5770,386,580,12,15,6762,2005,155,200,5,4,2371,1666,161,191,6,3,2026,2817,263,353,9,0,3440,3769,354,518,7,6,4652,11249,1323,1825,15,28,14446,14330,2164,2765,34,42,19336,25420,2459,3381,30,60,31344,15864,868,1321,14,41,18107,14739,574,969,27,28,16333,9974,296,620,13,24,10929,4196,267,373,11,15,4865,111795,9270,13085,179,281,134609
LGA31750,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33
LGA31820,534,7,11,0,3,563,373,10,4,7,0,387,324,4,0,3,0,332,641,7,12,9,0,672,799,22,11,5,4,835,2212,36,30,8,7,2291,2056,22,31,0,5,2115,1495,7,18,3,0,1534,472,3,4,3,0,485,296,0,3,0,3,305,152,3,0,0,4,154,445,5,9,0,0,464,9813,126,131,32,29,10135
LGA31900,95,0,3,3,0,100,55,0,0,0,0,55,62,0,0,0,0,67,109,0,4,0,0,122,182,0,0,0,0,189,394,0,8,3,0,405,319,0,5,3,0,323,241,0,0,0,0,246,97,0,0,0,0,97,52,0,0,0,0,53,44,0,0,0,3,46,104,0,0,0,0,105,1749,3,26,14,3,1791
LGA31950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32080,676,28,53,0,5,757,319,19,43,0,0,375,286,25,35,0,0,343,598,68,97,5,5,773,807,99,177,4,7,1091,2639,251,282,4,5,3185,3552,119,237,7,11,3926,4183,73,134,0,8,4403,1471,6,48,0,3,1534,976,13,31,4,3,1030,519,9,21,3,3,553,639,28,39,3,0,708,16662,737,1198,30,53,18689
LGA32250,5,0,0,0,0,9,3,0,0,0,0,3,4,0,0,0,0,4,7,0,0,0,0,7,10,0,0,0,0,10,15,0,0,0,0,15,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,6,64,0,0,4,3,71
LGA32260,155,0,3,0,3,159,83,0,0,0,0,87,70,0,0,3,0,76,172,0,3,3,3,188,257,3,0,8,0,266,622,7,11,3,3,639,485,4,0,3,8,497,371,0,4,3,0,381,148,0,0,0,3,154,82,0,0,3,3,90,46,0,0,0,0,50,129,3,4,3,0,137,2622,18,30,27,22,2727
LGA32270,119,0,0,4,3,126,31,3,0,0,0,33,42,0,0,0,0,51,79,0,3,0,3,87,108,0,3,0,12,122,322,8,8,0,10,342,366,15,11,6,3,398,605,15,5,3,10,635,300,0,3,3,5,308,216,0,0,0,0,220,107,0,0,0,7,111,117,0,3,0,6,123,2410,40,34,22,51,2562
LGA32310,78,0,0,3,3,84,34,0,0,0,0,34,41,0,0,0,0,41,75,3,0,0,0,78,105,3,0,0,0,111,244,3,0,0,0,247,213,0,0,0,0,219,162,0,0,0,0,169,56,0,0,0,0,63,55,0,0,0,0,54,29,3,0,0,0,29,63,0,0,0,0,69,1160,13,3,6,4,1181
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32450,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,15,0,0,0,0,15,31,0,0,3,0,29,21,0,0,0,3,22,25,0,0,0,3,30,12,0,0,0,0,11,3,0,0,0,0,3,5,0,0,0,3,5,3,0,0,0,0,10,134,0,0,10,7,156
LGA32500,19,0,0,3,0,23,8,0,0,0,0,10,7,0,0,0,0,10,17,0,0,3,0,19,22,0,0,0,0,25,54,0,0,0,0,60,44,0,0,0,0,41,28,0,0,3,0,25,14,0,0,0,0,12,6,0,0,0,0,6,12,0,0,0,0,11,25,0,0,0,0,28,246,0,0,13,5,265
LGA32600,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
LGA32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10
LGA32770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32810,43,8,4,3,0,57,23,3,0,0,0,28,25,6,5,0,0,37,39,12,10,0,0,52,68,9,9,0,0,82,175,19,10,0,0,206,203,22,14,3,0,237,229,6,8,0,5,246,82,3,3,0,0,93,67,4,0,0,0,73,36,6,0,0,3,43,65,3,4,0,0,71,1049,82,58,10,14,1220
LGA33100,11,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,9,3,0,0,0,0,3,4,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,6,46,0,0,0,5,52
LGA33200,12,10,0,0,0,26,9,0,0,0,3,14,4,0,0,0,0,10,16,0,0,0,0,16,8,6,0,0,0,11,15,7,0,0,0,19,3,4,0,0,0,10,6,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,10,4,0,0,0,12,78,38,0,0,8,121
LGA33220,561,18,7,10,5,594,363,21,0,4,0,384,360,7,0,3,5,378,651,17,6,8,8,690,795,24,6,10,0,834,2212,54,18,14,19,2319,2015,36,11,10,9,2077,1588,20,7,4,9,1630,474,0,3,3,3,482,308,3,3,0,0,312,132,0,0,0,3,134,414,13,4,7,0,440,9877,207,67,65,64,10285
LGA33360,281,0,3,3,0,290,133,3,9,0,0,145,120,0,0,3,0,123,207,7,4,0,0,213,329,4,6,0,0,351,893,25,17,3,3,948,1311,19,19,7,0,1348,1982,24,11,9,0,2027,1158,8,8,4,5,1186,832,0,7,0,3,847,322,3,3,3,3,331,325,3,0,4,6,334,7892,98,84,40,18,8137
LGA33430,2207,482,325,10,0,3025,856,227,120,0,5,1202,658,220,112,0,3,994,1225,399,249,6,7,1893,1740,579,350,9,11,2681,5242,1971,1140,12,19,8383,7113,2457,1228,11,23,10830,13566,1917,1145,14,33,16673,7521,577,364,8,14,8479,5383,357,318,13,9,6078,3105,200,214,0,18,3535,2353,388,269,4,9,3011,50968,9770,5833,83,145,66799
LGA33610,84,0,0,0,0,87,35,0,0,0,0,33,27,0,0,0,0,28,65,0,0,0,0,63,86,0,0,0,0,85,188,0,0,0,0,194,167,0,0,0,0,174,153,0,0,0,0,155,48,0,0,0,0,48,42,0,0,0,0,42,25,0,0,0,0,27,51,0,0,0,0,55,969,6,9,7,12,993
LGA33620,323,3,0,4,0,332,239,3,0,0,0,246,193,0,0,3,0,202,364,6,0,12,0,384,512,4,3,3,0,524,1264,10,3,8,7,1294,1103,3,3,3,5,1117,862,9,3,4,3,877,254,3,0,6,0,266,140,0,0,0,0,140,100,0,0,0,0,104,244,0,0,5,0,255,5618,40,13,54,20,5738
LGA33800,69,0,0,0,0,75,44,0,0,0,0,45,33,0,0,0,0,33,87,0,0,3,0,87,82,0,0,0,0,82,196,0,3,0,0,205,157,0,0,0,0,164,134,0,0,0,0,134,46,0,0,0,0,46,30,0,0,0,0,30,15,0,0,0,0,15,60,0,0,0,0,62,949,0,4,3,6,970
