LGA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30300,17,13,6,0,4,0,33,0,0,0,0,0,0,4,3,5,5,4,0,0,10,0,3,0,0,0,0,5,5,8,4,6,3,0,28,12,9,5,5,0,0,34,13,16,3,3,3,0,36,14,21,0,0,0,0,37,4,4,3,0,0,0,17,0,13,3,0,0,0,15,0,8,3,0,0,0,16,4,4,4,0,0,0,19,0,4,0,0,0,0,9,4,0,0,0,0,0,7,0,8,3,0,0,0,8,9,4,0,0,0,0,12,0,3,0,0,0,0,3,3,3,3,0,0,0,10,13,12,3,0,0,0,29,107,138,48,19,15,4,330
LGA30370,49,31,16,6,3,0,91,5,0,3,0,0,0,9,5,5,4,0,3,0,25,5,8,5,3,0,0,23,12,17,13,3,3,0,43,33,27,16,0,3,3,88,26,40,16,5,3,0,88,32,70,16,4,3,6,132,31,61,11,3,3,0,112,37,71,6,6,0,0,126,9,31,3,0,3,0,53,25,54,19,5,4,0,115,5,23,3,0,0,0,38,3,22,4,0,0,0,31,13,40,9,0,0,0,67,24,40,14,0,0,0,80,8,12,3,0,0,0,27,8,13,0,0,0,0,24,23,30,9,0,3,0,71,359,616,173,41,41,7,1240
LGA30410,7,10,5,0,0,0,27,3,0,0,0,0,0,4,0,0,4,0,0,0,9,3,3,0,0,0,0,5,8,4,3,0,0,3,23,6,6,0,0,0,0,15,4,6,0,0,0,0,11,9,3,3,3,0,0,18,8,5,4,0,0,0,11,0,7,0,0,0,0,4,0,3,0,0,0,0,5,3,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,9,4,9,3,0,0,0,15,69,75,25,15,5,3,189
LGA30450,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,0,0,0,9
LGA30760,12,0,3,0,3,0,17,0,0,0,0,0,0,0,3,3,0,4,0,0,5,7,3,0,0,3,0,12,5,12,4,0,3,0,18,4,10,0,3,3,0,18,5,11,3,0,0,0,13,3,12,0,0,0,0,16,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,6,0,0,0,0,6,46,61,13,5,7,0,137
LGA30900,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,12
LGA31000,1508,1420,888,192,307,106,4419,338,301,192,46,77,10,960,613,583,408,71,177,26,1882,485,486,381,79,149,22,1593,714,829,577,185,271,54,2626,1037,1210,736,230,350,47,3605,1394,1879,1074,353,398,66,5168,1694,2458,1124,428,497,86,6284,1906,2968,1005,444,495,81,6906,2439,3789,1178,536,504,104,8545,2065,3325,777,400,303,101,6968,3839,6634,1899,637,593,156,13762,1773,3352,660,247,198,57,6277,1602,2987,659,207,148,48,5659,2955,5890,1340,377,305,115,10991,3856,8607,2035,438,384,109,15430,1385,3310,845,149,130,32,5850,992,2605,771,133,90,30,4623,1021,1790,778,192,224,93,4096,31617,54416,17323,5341,5595,1344,115651
LGA31750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,6,3,0,0,19
LGA31820,178,48,50,8,22,4,310,66,11,18,9,13,3,115,162,57,45,11,23,3,312,136,37,39,22,23,0,258,249,123,87,45,42,3,555,270,189,108,65,51,9,691,286,297,115,66,60,9,834,340,444,149,74,53,15,1075,301,436,135,65,41,3,985,270,429,117,59,36,9,925,142,276,57,27,7,0,512,217,297,103,24,9,0,654,83,132,26,8,0,0,255,46,65,21,10,4,3,147,103,138,51,5,8,0,320,90,134,56,3,5,0,290,27,30,17,0,0,0,74,29,29,10,3,3,0,73,149,122,66,35,22,3,390,3140,3318,1280,542,424,71,8772
