LGA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA30250,0,32,0,3,21,3,60,0,26,0,0,4,0,27,0,108,0,0,3,0,114,0,38,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,9,0,209,0,3,32,5,250
LGA30300,0,16,24,0,76,42,163,0,8,0,0,3,0,8,15,21,19,5,9,0,76,28,23,20,3,4,0,75,26,8,12,3,5,3,54,31,0,17,0,0,0,54,30,3,20,0,3,0,58,12,0,4,0,0,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,25,0,40,138,81,135,16,130,54,550
LGA30370,7,22,92,0,136,77,336,0,20,8,4,49,3,85,17,62,44,13,61,3,201,34,37,65,6,19,3,164,44,14,50,0,13,3,122,83,15,67,0,17,3,184,162,0,68,0,9,0,245,123,0,42,0,4,0,170,16,0,7,0,3,0,26,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,12,27,0,33,8,98,500,188,481,30,332,106,1634
LGA30410,0,13,12,0,58,28,108,0,5,3,0,9,0,18,0,19,13,0,22,0,58,10,3,15,0,4,0,32,11,0,8,0,3,0,24,7,0,5,0,4,0,23,3,0,3,0,0,0,10,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,3,17,0,32,37,46,80,3,120,28,322
LGA30450,0,3,3,0,8,3,18,0,8,0,0,9,0,13,0,0,0,0,3,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,15,6,0,25,3,48
LGA30760,0,11,7,4,26,19,75,0,5,4,0,5,0,15,5,9,14,15,9,0,55,14,3,18,4,0,0,49,13,0,6,0,0,0,20,10,0,3,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,12,41,35,56,27,55,23,236
LGA30900,0,4,0,6,22,3,28,0,8,0,0,0,0,8,0,0,0,0,10,0,11,0,4,0,0,3,0,5,0,4,3,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,17,7,5,37,3,69
LGA31000,161,800,1479,93,163,830,3527,39,1210,66,74,23,16,1425,329,5069,774,228,175,56,6641,1027,2618,1294,505,403,65,5908,954,991,1223,177,295,30,3671,3316,1057,1968,254,927,40,7561,13820,985,4715,266,786,90,20660,41018,422,8522,273,805,191,51227,21588,72,4103,82,293,63,26196,8228,29,1667,31,131,24,10110,3348,17,719,8,41,10,4152,1551,8,379,0,33,8,1984,764,3,189,5,5,0,967,1065,5,349,0,25,11,1451,1232,790,1007,242,242,195,3706,98424,14091,28456,2238,4347,1637,149187
LGA31750,0,0,3,0,6,6,20,0,0,0,0,3,0,3,0,3,4,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,3,14,0,25,6,42
LGA31820,11,66,156,3,68,141,442,4,84,19,12,34,0,156,40,322,153,26,53,11,604,313,250,325,37,72,15,1008,481,89,367,15,67,9,1032,1512,92,704,29,100,30,2461,2333,28,712,10,70,23,3182,746,4,149,14,14,3,927,66,3,24,0,3,0,92,12,0,0,0,0,0,16,3,0,7,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,3,8,0,12,0,0,3,23,88,74,99,14,43,20,335,5615,1015,2734,174,517,244,10309
LGA31900,5,14,63,0,74,73,228,0,20,10,0,11,0,43,30,42,50,4,18,4,154,164,23,74,24,14,5,298,170,17,81,12,10,6,292,305,16,72,10,12,3,415,183,3,51,0,10,0,248,59,0,12,0,3,0,70,11,0,0,0,0,0,15,3,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,28,3,15,3,70,940,134,438,51,177,95,1838
LGA31950,0,0,3,3,9,0,15,0,0,0,0,0,0,4,0,5,0,5,3,0,16,0,4,0,0,11,0,14,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,10,3,13,24,3,58
LGA32080,32,155,185,9,58,144,589,12,172,20,7,10,0,228,93,730,182,36,52,17,1112,779,472,397,63,81,16,1819,883,155,468,39,77,11,1635,2084,177,800,28,189,15,3293,3816,144,1181,25,184,39,5390,4086,44,933,14,88,21,5195,1099,6,225,0,14,11,1360,295,4,49,0,3,0,357,92,0,25,0,0,0,124,31,0,10,0,0,0,38,13,0,6,0,0,0,18,15,3,12,0,4,0,32,160,129,139,17,42,28,524,13504,2206,4634,245,813,303,21706
LGA32250,0,9,9,3,51,17,87,0,14,0,0,3,0,14,0,24,9,12,12,0,55,0,33,15,19,12,0,76,0,15,12,0,5,0,30,0,9,13,0,0,0,26,0,3,11,0,4,0,23,0,0,3,0,0,0,9,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,8,0,20,3,110,73,40,101,23,338
