LGA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
LGA30250,144,8,8,3,0,164,73,0,9,0,0,85,10,0,0,0,0,7,227,14,20,3,0,259
LGA30300,1023,3,11,25,14,1073,359,0,15,5,3,385,52,0,0,10,3,74,1428,4,32,42,23,1539
LGA30370,3585,35,129,41,24,3814,878,23,44,31,9,980,140,3,14,13,7,178,4602,64,183,83,42,4965
LGA30410,755,0,14,20,15,810,229,0,4,14,3,248,35,0,0,4,0,34,1019,0,23,38,19,1096
LGA30450,61,0,3,3,0,73,30,0,0,3,0,36,3,0,0,0,0,3,95,0,11,4,0,110
LGA30760,496,4,6,15,6,530,179,17,0,4,0,201,21,5,0,0,3,34,701,26,7,21,9,761
LGA30900,76,0,3,3,3,81,31,5,0,4,3,40,9,0,0,0,0,15,111,5,0,5,6,135
LGA31000,244931,35545,72945,1099,1119,355642,22187,4987,10751,575,176,38683,5314,1577,2323,132,480,9835,272437,42115,86018,1809,1776,404159
LGA31750,82,0,0,0,4,84,29,0,0,0,0,32,4,0,0,0,0,8,114,0,0,3,6,125
LGA31820,23916,1380,1094,371,101,26857,5551,837,648,255,32,7309,793,128,85,43,30,1077,30258,2335,1821,670,159,35244
LGA31900,4314,24,235,81,16,4672,1321,20,262,41,3,1647,142,4,22,11,29,211,5781,43,522,138,51,6530
LGA31950,32,0,0,5,5,45,31,0,0,7,3,38,5,0,0,0,3,5,62,0,0,13,9,91
LGA32080,34519,3752,7065,325,232,45890,4411,1376,2124,155,68,8134,971,211,405,65,118,1761,39903,5334,9591,541,422,55790
LGA32250,315,6,9,43,20,397,179,0,10,25,6,222,26,0,0,7,0,33,523,6,26,77,25,655
LGA32260,7000,129,418,213,62,7819,1929,78,282,126,15,2432,267,12,39,41,6,369,9198,226,742,377,87,10621
LGA32270,6317,266,379,140,236,7336,1010,47,114,75,61,1303,201,12,24,18,22,276,7524,322,515,238,311,8906
LGA32310,2748,29,66,60,18,2921,965,27,68,26,5,1086,126,4,10,3,7,147,3835,64,144,89,31,4157
LGA32330,89,5,3,0,0,99,175,3,5,0,0,182,0,0,0,0,0,0,263,6,8,0,0,281
LGA32450,537,9,42,35,20,643,168,5,31,20,0,234,21,0,9,9,0,44,729,13,85,60,27,922
LGA32500,780,11,50,66,20,919,295,3,33,41,3,375,60,0,3,36,0,104,1128,8,88,150,20,1400
LGA32600,43,0,0,4,3,55,23,0,0,0,0,23,0,0,0,0,0,8,76,0,0,7,3,85
LGA32750,60,0,0,5,0,65,8,0,0,0,0,8,9,0,0,0,0,13,80,0,0,5,3,86
LGA32770,123,6,14,4,0,148,78,3,19,0,0,101,4,18,0,0,0,27,205,22,39,4,0,268
LGA32810,2469,354,316,96,50,3290,457,104,136,38,14,743,95,19,31,11,7,160,3025,475,480,143,75,4197
LGA33100,166,0,0,10,12,186,73,0,0,6,5,85,9,0,0,37,0,49,248,0,6,51,16,319
LGA33200,270,125,8,0,18,419,96,34,0,0,7,142,16,10,0,0,0,28,387,171,4,0,27,586
LGA33220,26837,1897,753,517,192,30192,5664,1148,399,319,45,7571,876,131,70,63,86,1220,33377,3173,1225,896,321,38988
LGA33360,16022,732,927,229,51,17956,2221,237,358,104,18,2936,370,25,54,30,4,483,18624,989,1340,357,69,21378
LGA33430,103921,33738,31143,906,541,170250,9248,6036,6932,484,112,22814,2589,1245,1405,86,272,5599,115758,41021,39485,1476,933,198668
LGA33610,2506,44,136,32,33,2756,757,29,91,22,20,916,98,3,14,7,4,120,3357,81,241,66,55,3793
LGA33620,13340,457,213,275,49,14334,3126,295,184,148,36,3789,445,45,18,31,10,547,16909,795,419,455,95,18676
LGA33800,2822,21,85,57,18,2998,971,24,115,21,3,1132,119,0,11,3,3,143,3909,47,215,82,22,4268
LGA33830,159,3,0,0,0,165,62,3,0,0,0,65,5,0,0,0,0,5,220,7,0,0,0,231
LGA33960,48882,3629,557,160,104,53332,6853,1421,337,125,32,8762,1233,216,47,35,24,1565,56966,5262,948,321,163,63661
LGA33980,4594,316,244,87,29,5266,597,37,54,33,3,733,148,7,9,12,12,191,5339,353,312,128,52,6186
LGA34420,131,45,0,0,0,183,35,16,0,0,0,56,3,0,0,0,0,4,173,66,0,0,0,241
LGA34530,9205,298,455,171,53,10180,1474,179,243,130,8,2045,260,11,30,41,91,428,10934,495,733,340,148,12654
LGA34570,61,0,0,0,0,64,77,0,3,0,0,77,7,0,0,0,0,11,146,3,3,0,0,155
LGA34580,9415,187,118,178,70,9969,2097,115,94,83,19,2415,351,20,20,89,8,493,11865,323,233,352,102,12872
LGA34590,72730,7497,1604,352,181,82364,8813,2266,903,205,69,12256,1994,362,158,48,47,2601,83533,10127,2664,604,295,97224
LGA34710,939,25,39,32,9,1046,234,14,19,6,0,272,40,0,4,3,0,46,1207,41,61,42,12,1366
LGA34770,28947,2298,1233,290,133,32900,4832,993,525,141,46,6538,808,134,108,122,64,1228,34580,3428,1871,545,242,40669
LGA34800,183,5,0,3,9,207,50,4,0,3,3,58,3,0,0,0,0,5,242,10,0,9,15,270
LGA34830,47,0,4,0,0,48,32,0,3,0,0,29,3,0,0,0,0,3,74,0,4,3,0,84
LGA34860,3122,69,40,31,29,3293,899,65,17,19,3,998,129,6,3,9,4,150,4148,141,58,57,33,4439
LGA34880,5058,46,121,138,35,5390,1485,58,118,85,9,1751,209,8,13,19,17,262,6748,115,252,242,58,7408
LGA35010,108753,12134,4826,674,267,126658,11443,3556,2288,467,50,17798,2300,491,296,75,40,3208,122497,16179,7409,1220,362,147666
LGA35250,112,15,5,0,0,129,105,5,0,4,0,124,6,0,0,0,0,8,224,22,4,6,0,261
