LGA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA30250,449,459,901,97,57,154,30,31,64,11,6,18,75,60,140,210,156,371,220,285,502,35.7,38.5,37.7,46.8,34,41.2,30.7,20.5,26.2,0,3,3,0,0,0,13,11,22,8,19,26,74,26,97,11,12,22,5,4,10,87,46,126,553,574,1132,50,41,86,481,529,1011,73,44,118
LGA30300,1748,1692,3437,925,468,1397,172,463,636,58,60,118,59,43,99,1223,1032,2255,381,505,890,4.8,4.2,4.4,70,61,65.6,66.1,58.6,62.6,12,17,33,9,28,39,91,216,305,99,168,272,351,162,505,11,29,42,25,22,45,385,212,600,1744,1635,3378,269,273,537,1222,1092,2316,696,699,1391
LGA30370,5769,5383,11152,3363,1573,4944,436,1349,1782,272,197,466,164,138,298,4228,3255,7489,1020,1681,2695,3.9,4.2,4,73.3,60.5,67.2,70.6,57.9,64.5,52,62,117,28,89,114,268,576,845,220,367,588,1515,618,2127,53,92,149,97,104,198,1665,806,2476,5710,5338,11050,920,902,1821,3881,3530,7406,2345,2336,4676
LGA30410,1141,1143,2279,661,395,1056,66,249,315,33,40,77,19,24,41,777,709,1485,273,357,627,2.4,3.4,2.8,68.1,62,65.2,66.6,59.8,63.5,20,12,31,6,17,18,64,151,212,49,69,119,250,140,396,16,18,28,20,22,41,287,181,461,1135,1136,2269,169,168,337,856,836,1694,368,402,764
LGA30450,129,104,232,80,54,140,11,11,21,8,0,7,0,0,4,100,73,172,20,27,46,0,0,2.3,77.5,70.2,74.1,76.7,62.5,72.4,0,0,3,0,0,0,3,12,12,6,8,14,29,11,37,3,3,4,3,3,5,32,13,48,114,89,203,21,27,49,72,45,120,50,61,115
LGA30760,778,788,1572,397,232,629,64,166,233,34,45,78,23,12,34,515,454,971,225,286,512,4.5,2.6,3.5,66.2,57.6,61.8,63.6,56.2,59.8,4,8,8,11,10,17,20,86,99,38,68,113,146,92,239,10,10,20,19,13,36,174,117,289,756,768,1526,111,106,219,561,536,1099,278,291,566
LGA30900,189,156,351,108,64,176,6,19,32,8,8,14,11,6,18,131,98,229,30,33,62,8.4,6.1,7.9,69.3,62.8,65.2,64.6,58.3,63.2,0,0,4,0,6,6,4,6,12,4,5,11,33,23,52,4,4,8,0,3,7,34,27,65,138,121,253,45,36,82,77,49,124,98,105,204
LGA31000,454147,477739,931879,218893,144127,363026,63790,117539,181322,11179,14923,26104,22482,19292,41774,316348,295883,612228,110204,154034,264234,7.1,6.5,6.8,69.7,61.9,65.7,64.7,57.9,61.2,36894,34789,71681,9883,16569,26448,93141,112699,205837,39067,47349,86416,76594,37605,114201,3334,4808,8145,5723,8481,14206,85651,50899,136547,398593,415918,814508,105942,109683,215621,241016,255268,496285,245384,253218,498599
LGA31750,160,128,289,105,64,168,5,23,30,17,8,18,0,6,6,128,96,222,16,22,39,0,6.3,2.7,80,75,76.8,79.4,74.2,74.7,0,3,5,0,0,0,3,10,13,8,14,17,49,26,70,0,8,5,3,3,7,53,34,85,148,115,259,24,23,47,94,72,164,65,57,127
LGA31820,37236,39255,76488,12596,7410,20007,3884,8166,12052,954,957,1917,2284,1722,4007,19721,18250,37973,14565,18133,32703,11.6,9.4,10.6,53,46.5,49.6,46.8,42.1,44.4,479,458,931,279,557,831,1944,3761,5712,1814,3069,4881,10371,4774,15142,464,758,1226,604,856,1457,11436,6393,17827,34462,35563,70028,6657,7104,13760,23125,23396,46527,16432,17837,34266
