LGA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA30250,481,529,1011,4,3,7,5,4,8,0,0,3,50,31,78,0,0,0,0,0,3,0,0,0,8,0,9,0,0,0,0,0,0,65,38,99,0,5,3,4,0,5,73,44,118,20,15,32,573,587,1163
LGA30300,1222,1092,2316,332,318,649,49,42,93,7,13,19,230,250,478,10,12,21,5,8,13,0,0,0,7,3,7,0,0,0,0,0,0,309,322,629,41,43,84,10,9,21,696,699,1391,185,186,378,2097,1980,4078
LGA30370,3881,3530,7406,859,862,1719,81,59,142,24,29,53,1100,1145,2240,16,16,35,13,18,29,6,3,7,19,21,41,4,0,7,0,0,0,1259,1287,2545,192,143,335,38,36,73,2345,2336,4676,644,539,1185,6865,6403,13270
LGA30410,856,836,1694,127,166,294,18,19,37,3,5,4,183,181,369,3,3,4,0,0,0,0,0,0,0,7,9,0,0,0,0,0,3,214,210,431,15,18,28,5,3,14,368,402,764,109,97,205,1334,1332,2666
LGA30450,72,45,120,13,22,26,3,0,3,0,3,3,34,29,68,0,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,39,36,79,0,4,3,0,0,0,50,61,115,17,8,23,140,115,258
LGA30760,561,536,1099,119,117,235,13,15,24,3,0,6,124,130,259,0,0,3,3,0,6,0,0,0,8,0,3,0,0,0,0,0,0,149,149,296,7,12,23,5,8,10,278,291,566,60,62,123,898,885,1788
LGA30900,77,49,124,25,15,41,3,10,14,3,3,7,55,58,116,0,0,3,0,0,4,0,0,0,3,5,7,0,0,0,0,0,0,74,77,149,0,6,11,3,0,3,98,105,204,41,39,80,216,188,410
LGA31000,241016,255268,496285,22274,23168,45440,11023,10865,21889,5251,5169,10418,146749,150429,297177,1840,1757,3593,2173,2026,4193,685,753,1433,1181,1034,2220,1350,1349,2695,29,18,51,170273,173395,343668,48146,52548,100694,4687,4108,8796,245384,253218,498599,35275,33077,68352,521676,541559,1063232
LGA31750,94,72,164,23,21,37,4,8,10,3,0,3,25,22,47,7,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,42,34,77,5,5,7,0,0,0,65,57,127,27,12,41,180,144,330
LGA31820,23125,23396,46527,2784,3110,5891,721,799,1523,291,331,623,10755,11678,22435,96,100,195,195,175,373,66,82,150,141,122,263,42,35,70,3,0,3,12313,13321,25629,914,1048,1962,421,363,781,16432,17837,34266,3672,3632,7309,43234,44868,88103
LGA31900,5144,4930,10078,838,830,1670,72,64,131,34,26,61,1137,1188,2324,15,11,21,26,20,52,10,5,12,33,28,56,5,10,15,0,0,0,1329,1348,2684,143,144,287,33,34,68,2337,2363,4701,731,681,1408,8216,7972,16192
LGA31950,83,68,147,10,11,23,5,0,7,0,0,0,32,23,57,0,0,0,0,0,3,0,0,0,0,3,3,0,0,3,0,0,0,44,30,73,0,4,4,0,0,0,57,42,101,35,25,66,174,138,316
