LGA_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
LGA30250,6,9,17,20,24,14,3,0,0,97,3,3,6,12,7,4,3,0,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,8,16,24,33,28,18,4,0,0,138,5,15,16,17,10,3,5,0,0,67,0,0,7,0,6,0,0,0,0,11,5,15,22,21,16,6,5,0,0,75,14,28,47,49,48,21,7,0,0,210,28,24,42,41,39,21,16,3,3,220,0,5,3,4,3,0,0,0,0,19,36,55,95,91,85,46,23,3,3,449,4,8,11,16,15,11,0,0,0,57,0,0,16,7,3,3,0,0,0,31,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,4,11,27,23,20,19,0,0,0,97,0,5,19,13,11,3,0,0,0,49,5,0,3,3,0,0,0,0,0,13,9,11,21,16,11,3,0,0,0,60
LGA30300,33,65,162,197,228,169,62,15,3,925,14,13,26,22,23,37,29,9,0,172,0,3,0,6,9,8,0,0,0,24,3,3,4,10,11,7,4,3,0,32,50,82,196,229,264,214,91,27,4,1162,5,6,7,3,8,3,0,0,0,42,8,0,5,0,0,6,3,0,0,17,11,6,14,8,8,14,3,0,0,59,69,88,207,228,277,231,96,27,4,1223,60,4,21,19,29,49,120,72,18,381,12,6,13,21,32,19,27,10,0,142,136,98,238,271,337,301,236,110,16,1748,14,36,83,87,120,100,23,0,0,468,45,22,100,101,88,72,22,4,3,463,4,5,17,0,8,6,0,0,0,38,3,0,0,3,8,3,0,0,0,22,62,71,196,193,224,184,56,4,3,993,0,6,8,4,6,0,0,0,0,24,4,3,7,4,0,0,0,0,0,17,6,7,13,5,5,0,0,0,0,43
LGA30370,122,265,725,729,731,568,182,44,0,3363,82,49,48,53,54,74,54,23,8,436,8,12,25,20,40,44,15,3,0,165,6,10,17,26,26,16,6,4,0,102,217,336,821,822,845,697,259,75,5,4066,10,23,31,22,21,19,0,0,0,130,13,3,3,6,0,8,3,0,0,31,28,30,27,31,24,23,3,0,0,164,241,358,851,850,865,717,257,77,5,4228,128,34,45,47,57,148,277,211,72,1020,26,35,101,103,82,78,58,32,7,522,397,423,999,1000,1002,942,593,324,87,5769,64,151,298,335,367,253,83,22,3,1573,133,71,269,308,310,199,50,17,0,1349,3,9,41,25,27,16,12,0,0,128,6,3,9,15,14,7,4,4,4,66,200,238,622,682,721,473,140,41,9,3115,16,7,12,22,13,6,0,0,0,85,13,5,8,11,11,9,0,0,0,57,30,17,23,25,24,12,0,0,0,138
LGA30410,21,65,110,115,172,116,47,13,0,661,3,12,8,6,9,14,4,5,0,66,0,0,5,5,4,7,3,0,0,22,0,3,3,0,0,9,0,0,0,16,30,77,122,131,185,147,53,22,0,766,0,0,0,0,7,3,0,0,0,10,0,3,0,0,3,0,0,0,0,9,0,0,0,0,7,3,0,0,0,19,29,80,126,127,193,152,53,22,0,777,25,0,15,12,15,38,93,61,21,273,3,6,16,11,14,15,14,15,0,94,59,89,152,152,222,201,158,96,18,1141,17,38,68,72,93,74,26,3,0,395,16,16,52,53,59,43,16,0,0,249,0,0,8,4,4,7,0,0,0,30,0,3,0,4,0,0,0,0,0,14,39,56,133,128,157,131,37,11,0,682,0,4,3,3,6,4,0,0,0,15,0,3,0,3,0,0,0,0,0,8,0,8,3,5,6,4,0,0,0,24
LGA30450,6,7,16,12,31,15,7,0,0,80,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,7,17,11,28,18,5,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17,11,28,24,5,0,0,100,0,0,0,0,0,0,9,4,0,20,0,0,0,0,0,3,0,0,0,9,11,5,20,13,32,27,16,4,0,129,3,4,5,3,18,13,3,0,0,54,0,0,3,4,4,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,10,23,12,7,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30760,5,21,70,77,78,95,36,6,0,397,10,4,11,5,8,14,9,4,0,64,0,0,3,0,3,5,0,0,0,21,0,0,3,5,0,4,3,0,0,14,21,26,81,92,91,119,45,8,0,492,0,3,0,0,7,5,0,0,0,17,0,0,0,0,0,0,0,3,0,4,0,3,0,0,7,10,0,3,0,23,21,32,85,88,95,123,46,10,0,515,20,3,7,3,16,34,85,43,8,225,3,3,6,3,4,5,7,3,0,42,43,37,104,101,121,171,137,58,14,778,6,10,48,36,56,58,17,0,0,232,6,10,29,48,36,23,16,3,0,166,0,5,6,5,3,3,3,0,0,27,3,0,3,3,0,0,0,3,0,17,13,26,85,95,98,90,29,3,0,446,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,8,0,0,0,4,0,3,0,0,0,12
LGA30900,5,14,22,14,20,18,3,0,0,108,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,10,15,26,14,23,28,5,0,0,121,0,0,0,8,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,11,10,15,28,21,23,28,5,0,0,131,4,5,3,3,3,3,6,3,0,30,0,0,5,6,3,12,0,0,0,27,11,16,36,32,31,37,18,8,0,189,3,13,16,9,12,13,0,0,0,64,0,0,8,3,3,6,3,0,0,19,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,4,3,16,29,8,9,23,3,0,0,94,0,0,4,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,6
LGA31000,2438,15875,59833,57788,49178,28210,5153,369,41,218893,9486,13837,14005,7957,6910,6695,4094,737,71,63790,411,674,1538,1180,1120,1147,352,35,13,6472,313,701,1346,951,731,462,126,57,19,4705,12646,31083,76726,67875,57938,36511,9733,1204,139,293858,991,2302,3528,2627,2490,1774,145,7,3,13870,3062,2317,1375,558,433,609,233,25,3,8616,4049,4621,4899,3187,2925,2382,380,36,10,22482,16696,35712,81622,71063,60864,38888,10107,1240,149,316348,16974,10232,9560,6276,7022,13227,25040,15842,6033,110204,1435,2990,6422,4729,4236,3184,2239,1481,889,27603,35109,48925,97604,82075,72118,55295,37384,18558,7071,454147,1475,13620,43511,32878,32445,17853,2250,95,14,144127,12990,16739,22445,25482,21222,14004,4233,402,28,117539,511,867,4135,2599,1366,1337,342,28,8,11193,330,536,978,698,631,369,116,46,31,3734,15307,31770,71072,61649,55658,33553,6942,567,75,276593,547,1390,2443,1593,1413,782,31,11,0,8217,3069,2340,2034,1647,1150,717,106,3,3,11067,3614,3733,4482,3234,2562,1504,144,21,4,19292
LGA31750,4,10,12,25,21,31,6,0,0,105,0,0,0,3,0,3,3,0,0,5,0,0,0,0,0,3,0,0,0,8,0,0,3,0,0,0,0,0,0,10,4,9,17,25,20,32,12,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,17,25,20,34,12,0,0,128,0,0,3,0,0,0,3,3,0,16,0,0,3,4,3,5,3,0,0,20,4,9,26,29,29,42,17,5,3,160,3,0,10,11,14,16,0,0,0,64,3,3,9,3,3,4,0,0,0,23,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,8,10,25,18,16,22,0,0,0,94,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6
LGA31820,345,1026,2462,2776,3167,2369,402,54,3,12596,721,410,526,480,620,720,349,49,10,3884,25,37,96,85,119,132,43,6,0,540,38,47,91,65,76,63,25,9,0,413,1124,1512,3173,3404,3973,3287,821,121,15,17435,213,292,330,270,298,309,12,0,0,1739,189,56,73,56,68,91,14,4,0,550,400,352,400,327,365,400,25,4,0,2284,1524,1868,3577,3734,4345,3686,848,129,16,19721,1224,334,509,650,1096,2234,4940,2781,790,14565,165,178,346,329,459,501,518,315,134,2946,2918,2375,4434,4718,5896,6419,6310,3226,941,37236,188,654,1384,1548,2047,1393,163,24,3,7410,1016,595,1227,1653,1824,1443,357,42,3,8166,44,46,173,97,113,133,38,3,0,645,26,27,58,52,55,49,18,7,9,310,1272,1332,2847,3354,4048,3013,578,84,14,16534,132,119,186,161,218,127,4,0,0,953,185,103,140,122,110,96,11,0,0,762,314,225,327,285,329,227,14,0,0,1722
