LGA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA30250,11,17,45,37,28,18,0,0,0,156,34,38,58,41,52,32,16,7,0,285,0,5,3,0,0,3,0,0,0,16,47,64,107,81,82,50,23,7,0,459,10,14,25,36,40,24,3,0,0,154,3,3,23,18,4,9,3,0,0,64,0,0,0,0,3,0,0,0,0,3,0,3,3,0,3,3,0,0,0,9,11,21,54,52,49,33,4,0,0,231,10,17,34,29,22,6,3,0,0,119,5,0,8,4,6,0,0,0,0,22,15,24,39,33,21,3,3,0,0,140,26,46,89,91,70,40,10,0,0,371,62,60,102,79,91,59,34,9,0,502,3,7,8,6,4,3,0,0,0,31,84,114,201,174,169,101,44,9,0,901
LGA30300,70,73,211,204,230,188,56,4,3,1032,43,23,57,49,39,82,105,77,36,505,19,11,14,24,30,14,23,12,7,150,130,105,278,274,304,288,182,95,46,1692,47,106,248,287,351,272,85,20,3,1397,64,37,124,120,110,111,51,16,3,636,3,12,15,5,13,13,4,0,0,67,10,3,4,7,17,7,7,3,0,57,116,154,389,422,486,398,143,31,6,2149,14,8,17,8,16,3,0,0,0,64,8,3,12,6,5,8,3,0,0,41,18,18,27,11,16,16,3,0,0,99,136,165,417,436,503,416,147,31,6,2255,98,23,77,67,69,136,223,146,52,890,33,17,31,40,64,36,50,18,8,297,266,205,517,545,639,582,415,202,64,3437
LGA30370,229,252,644,705,745,492,146,41,9,3255,119,77,222,159,144,257,340,259,105,1681,34,21,62,68,84,61,59,36,17,442,378,349,925,931,971,808,541,338,131,5383,185,422,1026,1064,1094,822,260,64,4,4944,215,114,317,358,364,269,101,39,8,1782,15,27,65,44,64,52,25,5,0,292,6,14,32,41,40,25,13,10,4,167,416,570,1444,1503,1564,1173,399,113,13,7185,31,29,44,42,34,22,3,0,0,209,25,9,10,17,11,14,3,0,0,88,51,41,56,55,49,37,5,0,0,298,466,617,1499,1556,1610,1206,406,113,13,7489,246,110,264,207,199,402,615,470,175,2695,54,57,164,172,160,142,113,72,23,964,776,779,1926,1935,1976,1749,1133,661,211,11152
LGA30410,39,57,131,137,160,131,37,11,0,709,24,5,40,24,34,42,94,63,23,357,3,4,14,16,11,8,11,7,4,80,62,69,185,174,210,183,151,82,28,1143,37,97,183,187,271,195,68,16,0,1056,21,23,58,62,68,60,21,3,0,315,0,0,9,4,4,16,3,3,0,45,0,4,3,4,3,5,3,3,0,28,67,128,251,260,344,278,93,28,0,1447,0,4,3,0,11,9,0,0,0,29,0,5,0,3,3,0,0,0,0,13,0,11,4,4,10,10,0,0,0,41,69,133,257,264,358,284,93,28,0,1485,46,11,56,36,44,75,187,128,42,627,11,13,25,23,27,21,30,20,4,168,122,158,337,327,431,382,304,172,51,2279
LGA30450,3,5,8,10,23,12,7,0,0,73,0,3,3,0,0,3,11,0,3,27,0,0,0,3,0,0,0,0,0,4,3,12,11,15,22,21,16,5,3,104,8,15,19,12,43,29,10,0,0,140,0,0,3,5,6,3,4,0,0,21,0,0,0,3,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,15,25,20,55,31,10,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,16,25,20,55,38,10,0,0,172,0,3,5,0,3,5,21,7,3,46,0,3,3,3,0,0,0,0,0,14,16,19,26,23,56,40,33,5,3,232
LGA30760,15,26,82,105,99,96,29,3,0,454,22,6,7,14,31,53,79,51,24,286,0,0,3,11,12,8,11,7,0,50,36,33,96,123,136,156,115,61,25,788,13,34,114,115,136,156,44,13,0,629,20,12,33,54,46,32,27,3,0,233,0,5,10,8,9,10,3,0,0,49,5,0,7,3,5,7,8,3,0,31,37,49,164,186,186,207,76,16,0,932,0,3,0,4,7,9,0,0,0,25,0,0,0,3,0,3,0,3,0,12,3,3,4,5,7,11,0,3,0,34,38,52,170,194,195,218,83,22,0,971,38,13,22,19,44,85,161,96,36,512,4,3,14,12,15,13,18,9,3,86,83,67,200,220,257,321,258,126,42,1572
LGA30900,3,16,31,15,14,23,3,0,0,98,3,0,6,3,7,6,3,0,0,33,0,3,11,3,3,6,0,0,0,31,6,22,44,19,18,29,5,3,0,156,10,28,40,22,31,34,9,3,0,176,3,0,10,3,3,11,3,0,0,32,0,0,3,0,0,6,0,0,0,8,0,0,3,0,0,0,0,0,0,5,14,29,52,31,33,47,12,3,0,218,0,0,3,7,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,0,0,0,0,18,14,29,53,34,40,47,12,3,0,229,9,5,10,7,9,9,9,4,0,62,0,8,17,11,5,15,0,0,0,55,22,37,81,50,55,70,25,9,0,351
LGA31000,18920,35495,75553,64886,58220,35058,7081,581,77,295883,14500,10964,16430,14939,12846,20703,31492,20820,11336,154034,1418,2897,6114,4059,3594,2932,2356,2032,2411,27824,34840,49360,98089,83882,74664,58700,40939,23437,13833,477739,3914,29493,103345,90669,81623,46061,7409,461,57,363026,22470,30575,36449,33434,28132,20697,8326,1138,102,181322,919,1544,5677,3778,2482,2479,695,66,18,17663,647,1241,2322,1644,1364,828,248,100,45,8445,27950,62856,147792,129524,113603,70061,16676,1771,220,570455,1532,3700,5972,4218,3905,2555,178,24,6,22093,6132,4656,3413,2201,1581,1321,342,28,4,19681,7665,8356,9381,6425,5487,3884,522,52,11,41774,35611,71204,157175,135947,119087,73942,17197,1820,226,612228,31476,21193,25988,21218,19864,33929,56529,36657,17370,264234,2851,5887,12530,8793,7826,6121,4597,3508,3303,55420,69948,98289,195695,165961,146777,113996,78318,41994,20904,931879
LGA31750,6,10,25,18,16,25,0,0,0,96,3,0,3,0,5,0,3,3,0,22,0,0,0,0,0,0,0,0,0,8,8,10,22,23,19,30,8,3,0,128,10,9,31,34,33,45,9,0,4,168,3,3,9,6,3,6,4,0,0,30,0,0,3,0,0,3,0,0,0,6,0,4,3,0,0,3,0,0,0,7,9,17,38,41,40,58,12,0,4,220,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,9,17,38,41,40,59,12,0,4,222,5,0,4,3,7,3,13,4,0,39,3,3,0,3,3,11,3,0,0,30,18,19,48,46,49,69,29,12,7,289
LGA31820,1590,1550,3173,3638,4376,3241,594,79,14,18250,959,565,1323,1209,1563,3194,5137,2992,1194,18133,162,164,330,296,399,478,470,368,201,2861,2705,2285,4822,5147,6334,6915,6198,3440,1408,39255,533,1679,3846,4323,5215,3757,568,74,5,20007,1740,1005,1753,2132,2441,2161,706,94,15,12052,65,86,264,187,232,265,76,11,0,1189,66,74,151,121,135,115,47,18,9,726,2394,2845,6019,6758,8022,6301,1404,202,26,33970,343,420,520,434,517,442,18,0,0,2693,371,156,208,182,178,190,18,7,0,1313,717,575,723,613,694,627,39,7,0,4007,3114,3421,6746,7374,8714,6928,1442,212,29,37973,2182,905,1831,1865,2655,5428,10073,5774,1986,32703,326,342,675,627,863,978,991,680,338,5810,5624,4663,9253,9864,12237,13336,12504,6662,2348,76488
