LGA_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
LGA30250,19,3,0,22,0,0,0,0,0,6,0,6,6,3,0,13,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,7,0,7,9,3,0,14,8,3,0,0,13,9,0,15,28,10,0,32,5,9,0,0,16,15,0,15,31,24,0,51,0,0,0,0,0,0,0,0,0,0,0,0,18,15,0,0,31,26,0,28,55,28,0,84,3,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,7,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,10,0,0,0,10,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,10,0,0,0,12,0,0,10,3,3,0,0
LGA30300,182,7,0,192,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,0,5,6,0,0,0,4,0,0,0,5,5,0,10,178,11,0,4,188,0,0,0,193,15,0,203,27,3,0,0,33,0,0,0,33,8,0,39,0,0,0,0,0,0,0,0,0,0,0,0,205,18,0,4,225,0,0,0,224,19,0,243,29,3,0,0,37,0,0,0,37,3,0,33,53,6,0,0,57,0,0,0,58,3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,8,0,3,94,0,0,0,92,7,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,88,8,0,3,97,0,0,0,98,7,0,102,15,0,0,0
LGA30370,587,5,3,598,7,0,0,0,9,0,0,0,9,0,0,8,14,0,0,0,15,0,0,0,17,0,0,17,19,0,0,0,23,0,0,0,25,0,0,29,541,28,14,16,605,5,3,12,613,9,3,625,187,19,8,8,214,0,0,0,218,10,0,231,3,0,0,0,3,0,0,0,3,0,3,7,736,45,19,27,820,8,4,13,832,21,5,859,137,10,0,0,150,0,0,0,153,6,0,154,159,8,4,0,176,3,0,3,178,5,0,184,6,0,0,0,12,0,0,0,14,0,0,14,4,0,0,10,10,0,0,0,10,3,0,14,311,21,8,7,348,4,0,4,352,14,0,367,3,0,0,0,3,0,0,0,6,0,0,4,0,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,4,0,0,0,4,0,0,8,313,23,8,10,352,7,0,7,359,13,0,372,70,5,3,4
LGA30410,92,3,3,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,7,0,0,93,0,3,3,94,3,3,102,28,0,0,0,35,0,0,0,35,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,113,8,0,0,128,0,3,3,128,3,3,134,22,0,0,0,22,0,0,0,22,0,0,26,20,0,0,0,22,0,0,0,22,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,43,0,0,0,45,0,0,0,45,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,45,0,0,0,45,0,0,50,12,0,0,0
LGA30450,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0
LGA30760,63,3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,66,0,0,0,70,0,0,0,70,3,0,69,8,0,0,0,8,0,0,0,8,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,72,0,0,0,78,5,0,81,12,0,0,0,8,0,0,0,8,0,0,8,9,0,0,0,9,0,0,0,9,0,0,14,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,22,0,0,0,24,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,22,0,0,0,23,0,0,27,9,0,0,0
LGA30900,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,12,0,0,0,12,0,0,12,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0
LGA31000,36313,1240,38,37590,458,93,7,8,566,129,9,138,705,66,3,769,951,115,14,17,1098,102,28,129,1223,41,3,1268,1414,209,15,24,1665,234,39,267,1935,107,3,2042,32586,3706,393,426,37111,973,166,1141,38247,1346,40,39631,8914,1095,165,198,10377,409,109,514,10891,1497,18,12409,35,7,0,35,81,3,0,3,83,4,118,212,41534,4813,557,656,47563,1394,272,1662,49225,2850,174,52249,7816,929,66,38,8845,232,39,279,9124,427,3,9557,9607,1009,98,72,10779,194,35,233,11009,280,7,11297,255,34,46,3,333,8,0,7,338,10,0,355,108,16,0,106,228,4,0,7,232,16,7,257,17786,1985,206,211,20186,443,79,518,20709,734,26,21466,256,41,3,3,306,68,3,76,384,23,0,406,404,44,6,12,471,55,15,69,544,28,0,573,666,88,14,18,780,122,18,148,922,53,4,979,18452,2069,216,223,20971,571,97,666,21637,789,27,22451,3917,513,68,88
LGA31750,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,17,0,0,0,17,0,0,17,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,8,3,0,0,0
LGA31820,2106,144,0,2249,41,3,3,0,43,8,3,15,57,3,0,60,61,7,7,8,82,6,5,8,86,9,0,95,95,13,8,8,125,16,8,21,147,11,0,158,1797,287,28,32,2142,79,26,102,2249,150,0,2407,657,118,21,21,821,74,15,85,905,244,0,1152,9,4,0,3,12,0,0,0,12,0,7,20,2466,408,52,55,2982,155,38,192,3174,401,7,3579,490,89,4,3,589,14,0,11,596,31,0,628,631,102,10,0,746,16,8,21,770,43,0,821,10,6,5,0,20,0,0,0,25,0,0,21,5,0,0,8,19,0,0,0,19,0,0,19,1146,205,19,15,1380,25,6,36,1417,76,0,1495,25,6,0,0,30,9,0,11,42,4,0,52,25,3,3,5,39,0,4,4,46,0,0,47,51,14,3,5,72,9,3,13,86,10,0,99,1197,212,16,18,1447,38,15,50,1502,84,0,1588,273,45,6,12
LGA31900,535,9,0,547,3,0,0,0,3,3,0,3,4,4,3,10,12,0,0,0,16,0,3,3,17,0,0,17,17,3,0,0,14,3,3,6,24,4,3,27,484,36,8,3,542,12,3,14,555,12,0,572,107,8,0,7,124,7,0,8,130,24,0,151,0,0,0,0,0,0,0,0,0,0,0,0,590,50,12,10,658,18,9,24,682,34,8,724,129,3,3,0,135,4,0,4,139,9,0,146,178,22,3,4,202,5,0,5,210,0,0,208,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,6,0,0,0,6,0,0,6,307,24,5,5,350,5,0,5,354,10,0,365,0,0,0,0,3,5,0,5,10,0,0,13,4,0,0,0,5,0,0,0,6,0,0,6,10,0,0,0,10,3,0,3,17,0,0,15,318,26,5,12,358,15,0,15,373,8,0,383,49,6,0,0
LGA31950,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,4,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,4,5,0,0,0,8,4,0,4,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0
LGA32080,4642,243,13,4894,50,12,8,3,68,17,0,22,87,19,0,107,109,20,3,4,144,9,5,17,166,16,0,180,160,35,7,10,214,27,11,37,252,30,0,280,3950,574,110,67,4703,154,37,191,4894,275,13,5177,1011,178,35,37,1261,66,28,93,1349,232,3,1581,3,0,0,3,13,0,0,0,13,0,19,35,4963,753,143,108,5973,219,57,281,6257,506,37,6795,1114,133,20,5,1278,24,7,39,1311,74,0,1386,1151,158,22,13,1343,39,8,43,1394,79,4,1468,39,5,9,0,50,0,0,0,57,8,0,61,15,3,0,17,37,0,0,0,37,4,4,40,2318,307,57,37,2712,69,16,84,2798,158,5,2963,22,7,3,3,38,12,0,12,48,10,0,62,46,5,3,4,61,0,7,12,68,16,0,81,73,16,3,7,94,20,7,24,123,26,0,145,2385,321,61,40,2809,83,20,104,2917,186,5,3105,431,87,15,21
LGA32250,36,0,0,41,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,30,7,0,6,36,0,0,0,43,6,0,46,9,3,0,5,15,0,0,0,15,8,0,24,0,0,0,0,0,0,0,0,0,0,3,3,39,5,0,11,55,0,0,4,59,10,3,74,18,0,0,0,14,0,0,0,14,0,0,14,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,26,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,26,0,0,0,29,0,0,28,3,0,0,0
LGA32260,731,46,3,778,4,3,0,0,3,4,0,4,8,3,0,16,15,0,4,0,20,3,0,4,20,4,0,27,16,4,4,0,26,9,0,7,28,8,0,40,619,88,11,17,737,16,0,24,763,55,3,819,205,28,8,13,262,24,0,27,285,67,0,353,4,0,0,0,4,0,0,0,4,0,3,12,828,119,23,36,1006,48,7,46,1051,125,8,1184,136,10,3,0,149,0,0,3,155,17,3,170,193,26,5,0,224,3,0,6,231,13,0,242,3,3,0,0,9,0,0,0,9,0,0,9,3,0,0,3,11,0,0,0,11,3,0,15,333,40,8,8,397,4,3,11,404,34,3,436,3,0,0,0,3,3,0,3,10,4,0,10,5,0,0,0,6,0,0,0,9,3,0,7,6,4,0,0,11,7,0,7,17,8,0,24,341,40,8,8,401,12,3,13,420,39,5,462,81,20,4,3
LGA32270,1168,27,0,1192,15,3,0,0,19,0,0,0,23,0,0,23,42,3,3,0,52,0,0,0,52,0,0,52,58,11,3,0,71,3,0,3,70,0,0,70,1100,72,27,24,1228,10,0,14,1240,27,0,1264,416,21,14,4,463,13,7,15,478,30,0,505,4,0,0,0,7,0,0,0,7,0,3,11,1524,93,45,33,1692,20,3,25,1721,51,10,1784,237,8,6,0,250,4,0,3,258,3,0,264,298,30,8,7,343,0,0,3,349,15,0,359,15,0,3,0,21,0,0,0,21,0,0,22,7,0,0,4,7,0,0,0,7,0,0,7,549,40,23,10,625,8,3,10,634,16,0,652,15,0,0,0,15,0,0,0,16,0,0,16,18,0,0,0,19,0,0,0,19,0,0,19,36,0,0,0,33,0,0,0,37,0,0,37,581,43,23,10,660,10,3,8,668,16,0,689,124,14,3,3
LGA32310,307,13,3,318,12,0,0,0,10,5,0,5,19,0,0,22,14,3,0,0,17,7,0,7,19,0,0,21,20,3,0,0,26,11,0,11,38,3,0,39,270,26,11,11,325,15,0,21,341,16,3,359,79,8,3,3,90,10,0,10,102,21,0,122,0,0,0,0,0,0,0,0,0,0,0,0,352,36,19,10,415,26,0,33,447,33,4,484,70,6,3,0,81,3,0,3,87,12,0,95,81,8,0,0,96,8,0,8,103,8,0,104,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,7,0,0,0,7,0,0,7,152,22,5,7,189,13,0,11,200,14,0,213,7,0,0,0,11,3,0,3,12,0,0,12,4,0,0,0,7,3,0,3,8,0,0,8,15,0,0,0,15,3,0,3,23,0,0,23,167,19,5,5,203,12,0,19,221,15,0,239,31,4,0,0
LGA32330,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,4,0,4,10,0,0,13,3,8,0,0,6,15,0,15,24,15,0,38,0,0,0,0,0,0,0,0,0,0,3,3,12,9,0,0,17,19,0,19,31,22,3,55,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0
LGA32450,89,3,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,4,0,4,93,0,0,0,93,3,0,97,27,0,0,3,32,0,0,0,36,4,0,39,0,0,0,0,0,0,0,0,0,0,0,0,111,4,0,5,128,0,0,0,126,5,0,131,27,0,0,0,30,0,0,0,30,0,0,31,9,0,0,0,12,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,37,0,0,0,41,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,37,0,0,0,41,0,0,40,3,0,0,3
LGA32500,100,3,0,106,6,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,9,0,0,9,82,25,0,3,110,0,0,0,110,3,0,109,24,10,3,0,29,5,0,5,34,7,0,43,0,0,0,0,0,0,0,0,0,0,0,0,102,33,3,3,135,5,0,5,139,14,0,156,25,6,0,0,27,0,0,0,27,0,0,31,21,5,0,0,32,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,49,10,0,0,57,0,0,0,57,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,10,0,0,59,0,0,0,59,0,0,59,6,3,0,0
LGA32600,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,16,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,16,0,0,0,16,9,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32750,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32770,34,20,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,0,0,0,3,3,0,4,13,19,0,0,34,3,0,3,37,17,0,54,7,25,0,0,38,3,5,14,51,41,0,86,0,0,0,0,0,0,0,0,0,0,0,0,24,42,0,0,68,4,5,16,86,56,0,144,11,3,0,0,12,0,0,0,12,11,0,23,0,3,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,17,0,0,0,17,11,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,4,13,5,0,0,17,0,0,0,17,14,0,34,7,16,0,0
LGA32810,341,8,0,345,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,7,0,0,0,11,0,0,11,8,0,3,0,13,0,0,0,14,0,0,14,283,40,8,13,343,5,0,10,350,8,0,359,37,3,3,3,50,0,0,5,50,14,0,63,4,0,0,0,4,0,0,0,4,0,4,13,326,41,9,13,396,11,7,13,408,18,4,427,69,7,0,0,72,0,0,0,72,3,0,76,69,20,3,0,91,6,0,6,98,5,0,102,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,4,6,0,0,0,6,0,0,6,136,23,4,4,173,6,0,6,182,7,0,186,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,4,0,0,0,4,0,0,4,137,24,9,4,174,6,0,6,181,7,0,193,16,0,3,0
