LGA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
LGA30250,0,0,0,0,0,0,0,0,13,3,0,0,16,0,0,0,16,8,0,20,9,6,0,0,17,4,0,4,22,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,0,0,32,4,0,3,37,7,0,48,0,0,0,0,0,15,0,15,15,8,0,22,0,0,0,0,3,3,0,3,6,0,0,6,0,0,0,0,3,18,0,18,20,8,0,23,28,13,0,0,39,18,0,22,57,12,0,72,23,16,0,0,36,31,0,31,71,60,0,132,0,0,0,0,0,0,0,0,0,0,0,7,47,26,0,0,79,55,3,51,130,71,0,205
LGA30300,0,0,0,0,0,0,0,0,147,16,0,0,167,0,0,0,167,13,0,175,285,22,3,0,308,4,0,4,309,8,0,318,19,3,0,0,21,0,0,0,21,0,0,21,0,0,0,7,6,0,0,0,6,0,0,6,447,38,3,8,504,4,0,4,507,19,0,528,6,0,0,0,6,0,0,0,9,0,0,9,9,0,0,0,8,0,0,0,8,6,0,16,11,0,0,0,16,0,0,0,12,6,0,21,460,38,3,12,518,0,0,0,517,30,0,550,107,7,0,3,117,0,0,0,116,25,0,145,0,0,0,0,0,0,0,0,0,0,0,0,564,53,3,16,637,0,0,3,640,55,0,692
LGA30370,4,0,0,0,4,0,0,4,621,29,7,12,669,8,3,13,678,14,3,695,863,59,17,16,961,6,0,6,965,19,0,988,78,3,11,6,94,3,0,3,102,0,0,101,11,0,0,24,41,0,0,0,41,3,0,45,1582,94,37,58,1768,18,3,22,1785,37,3,1830,17,0,0,0,22,3,0,3,21,3,0,22,26,3,0,3,33,7,0,7,40,0,0,40,43,3,0,3,53,6,0,6,62,3,0,62,1625,100,35,55,1820,26,3,28,1846,41,3,1894,608,47,25,26,706,23,3,22,727,40,4,770,4,0,0,0,4,0,0,0,4,0,10,19,2240,148,62,81,2527,44,4,49,2581,82,19,2681
LGA30410,0,0,0,0,0,0,0,0,108,8,0,0,114,0,3,3,112,3,0,118,132,9,3,0,145,0,0,0,145,3,0,147,6,0,0,0,6,0,0,0,6,0,5,13,3,0,0,0,3,0,0,0,3,0,0,3,245,19,4,0,269,0,3,3,273,10,5,285,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,254,19,4,0,269,0,3,3,272,10,5,286,92,9,0,4,108,0,0,0,103,5,0,117,0,0,0,0,0,0,0,0,0,0,0,0,347,23,4,3,373,0,4,4,377,16,5,402
LGA30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,18,0,0,0,18,0,0,18,3,0,0,0,7,0,0,0,7,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,18,0,0,0,18,0,6,25
LGA30760,0,0,0,0,0,0,0,0,58,0,0,0,60,0,0,0,60,6,0,62,77,6,0,0,84,0,0,0,84,3,0,86,22,0,7,0,28,0,3,3,28,0,0,28,7,0,0,0,7,0,0,0,7,0,0,7,164,8,7,0,181,0,3,3,184,6,0,189,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,5,0,0,0,5,0,0,0,5,0,0,5,170,8,7,0,184,0,3,3,188,6,0,198,26,9,0,0,39,0,0,0,40,10,0,49,0,0,0,0,0,0,0,0,0,0,0,0,203,14,5,0,224,0,3,3,226,16,0,248
LGA30900,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,0,7,0,0,7,3,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,18,0,0,0,18,0,0,18,3,0,0,3,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,3,20,0,0,0,20,0,0,20
LGA31000,4722,155,52,202,4927,698,6,5634,47153,5440,484,265,53347,1476,269,1742,55092,2914,38,58044,60955,6973,608,430,68968,1215,199,1411,70379,1951,30,72361,6127,653,664,41,7487,98,12,111,7602,191,3,7794,707,97,20,658,1485,47,8,53,1536,97,44,1677,114948,13164,1777,1395,131289,2835,486,3320,134609,5149,121,139879,1660,311,21,35,2027,438,41,479,2506,207,7,2717,2801,386,33,70,3294,332,106,434,3725,165,5,3900,4469,690,58,101,5316,769,143,914,6231,367,12,6621,119417,13860,1834,1501,136608,3601,632,4234,140839,5517,136,146497,32162,4453,726,716,38053,1507,363,1868,39924,6044,99,46063,156,32,4,122,310,3,0,3,317,23,355,692,151736,18337,2559,2341,174975,5117,990,6107,181087,11580,590,193254
LGA31750,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,16,0,0,17,11,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,33,0,0,0,33,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,33,0,0,0,33,0,0,33,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,33,0,0,0,33,0,0,36
LGA31820,46,0,0,0,52,12,0,63,2510,389,25,22,2941,79,21,98,3038,204,4,3248,3335,543,66,34,3979,92,23,115,4097,285,3,4383,217,37,34,3,293,17,3,19,313,10,0,326,65,6,0,36,105,12,0,12,120,4,5,128,6132,974,121,97,7316,195,54,249,7563,508,13,8082,110,32,0,0,141,43,15,59,200,27,0,223,145,37,13,17,206,25,11,38,245,14,0,261,256,65,18,17,348,71,26,93,441,39,0,479,6382,1034,135,114,7663,263,77,337,8003,547,13,8563,2072,383,78,81,2607,245,43,293,2903,852,0,3752,25,8,0,13,42,0,0,0,42,5,29,74,8483,1417,211,201,10314,513,122,632,10942,1401,39,12389
