LGA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA30250,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,10,7,9,3,3,0,0,0,18,0,0,0,0,0,0,0,0,7,9,3,3,0,0,0,19,11,13,6,6,3,0,0,35,30,34,13,17,3,0,0,104,4,0,0,0,0,0,0,4,43,52,23,18,3,0,0,140
LGA30300,13,13,10,9,3,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,35,17,10,11,0,0,94,3,3,3,0,0,0,0,9,0,7,0,0,0,0,0,5,3,10,3,0,0,0,0,14,21,41,21,11,11,0,0,104,34,25,9,0,0,0,0,71,0,0,0,0,0,0,0,0,56,63,33,12,13,0,0,177
LGA30370,13,39,32,16,22,0,0,124,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,30,77,58,41,47,0,0,253,0,7,0,9,3,0,0,20,7,4,0,0,0,0,0,8,7,13,0,6,3,0,0,25,30,88,57,51,50,0,0,283,50,45,18,11,3,0,0,131,0,0,0,0,0,0,0,4,85,139,73,58,51,0,0,414
LGA30410,3,5,12,7,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,22,7,10,0,0,63,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,4,23,19,7,10,0,0,73,16,11,3,0,0,0,0,31,0,4,0,0,0,0,0,7,18,36,30,14,10,0,0,103
LGA30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8
LGA30760,4,9,6,0,7,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,3,4,5,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,3,4,5,0,0,31,3,8,3,4,3,0,0,24,0,0,0,0,0,0,0,0,13,15,9,5,10,0,0,58
LGA30900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,7,13,3,0,3,0,0,23,0,0,0,0,0,0,0,0,7,14,3,0,3,0,0,24
LGA31000,1314,2670,1832,1221,1682,794,381,9890,229,132,76,67,90,42,33,665,54,99,65,44,61,34,21,383,2784,5879,4511,3300,4899,2462,1265,25104,158,334,214,144,201,97,55,1202,228,386,216,153,145,72,33,1233,386,714,430,299,354,165,89,2433,3172,6593,4942,3598,5256,2634,1358,27542,2839,2751,1630,1141,1359,655,408,10778,71,91,56,35,26,6,4,294,6074,9435,6628,4777,6640,3291,1769,38615
LGA31750,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,13
LGA31820,163,377,247,164,194,26,7,1184,16,14,8,6,9,0,0,55,11,17,8,3,11,0,0,55,260,606,451,321,440,58,15,2154,40,117,84,49,63,4,3,355,62,99,50,39,25,3,0,277,102,216,135,82,86,10,3,634,363,826,585,402,527,71,19,2790,739,674,365,231,187,20,17,2237,6,11,12,5,0,0,0,40,1109,1512,960,642,716,90,43,5065
