LGA_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,3,0,0,0,13,4,0,0,6,0,0,0,0,8,9,13,18,21,8,0,0,0,74,3,5,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,5,14,21,18,21,11,0,0,0,87,0,0,0,3,0,0,0,0,4,8,3,7,4,0,0,0,0,35,27,28,27,34,19,9,0,0,143,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,11,0,0,0,6,3,3,0,0,19,4,5,8,7,6,0,0,0,26,0,0,3,4,0,0,0,0,12,0,0,0,0,0,0,0,0,4,4,9,15,15,7,0,0,0,46,0,0,0,0,0,0,0,0,5,8,7,5,5,3,0,0,0,29,20,21,24,25,21,5,0,0,112,0,0
LGA30300,0,3,6,0,0,0,0,0,12,0,0,3,0,0,0,0,0,9,4,25,19,15,12,6,3,0,91,3,28,25,32,13,7,0,0,99,40,65,72,65,65,25,10,3,351,6,0,4,0,4,0,0,0,11,0,0,0,13,8,3,4,0,25,47,70,75,73,74,30,16,3,385,0,0,0,0,3,0,0,0,9,29,26,30,43,38,43,22,0,232,90,147,160,170,138,85,38,3,834,0,11,3,5,0,0,0,0,17,0,8,6,10,5,0,0,0,28,16,66,51,31,30,12,3,4,216,12,32,29,46,42,5,3,0,168,31,45,33,31,11,8,0,0,162,8,6,6,3,3,0,0,0,29,0,3,10,4,0,0,0,0,22,40,58,48,40,21,7,3,0,212,0,0,0,0,3,0,0,0,9,36,18,26,40,32,28,17,10,205,113,190,172,166,130,58,25,16,863,0,10
LGA30370,0,15,24,5,3,4,0,0,52,0,10,5,5,5,0,0,0,28,17,79,74,50,34,13,0,0,268,0,32,60,68,31,13,3,0,220,185,382,303,255,233,89,58,9,1515,19,13,5,7,8,3,0,0,53,9,14,20,19,25,14,0,0,97,213,405,327,292,265,105,60,6,1665,6,8,5,4,10,0,0,0,36,78,116,126,108,115,86,49,12,692,317,672,629,532,463,223,122,19,2972,0,16,20,12,11,0,0,0,62,4,20,25,21,13,3,3,0,89,37,191,156,88,65,30,5,4,576,14,84,73,85,78,12,13,0,367,99,174,145,113,59,23,3,0,618,31,18,14,14,17,3,0,0,92,13,20,21,16,15,8,3,0,104,133,217,182,138,95,34,4,5,806,3,5,0,7,5,0,0,0,27,79,81,93,104,87,88,64,20,607,277,612,545,458,357,171,92,26,2535,0,35
LGA30410,0,3,6,3,3,0,0,0,20,0,0,0,3,0,0,0,0,6,5,16,22,9,10,6,0,0,64,6,8,8,13,14,5,4,0,49,36,42,39,49,43,28,9,0,250,8,5,0,0,0,0,0,0,16,0,3,0,10,7,0,3,0,20,41,49,38,58,50,30,17,0,287,0,0,0,0,0,0,0,0,5,13,15,16,19,22,24,22,0,132,71,93,89,106,95,59,38,3,553,0,3,3,0,3,0,0,0,12,0,3,8,0,3,0,0,0,17,9,50,35,19,17,14,3,0,151,0,8,10,29,19,5,0,0,69,39,35,22,24,18,5,0,0,140,8,4,0,3,0,0,0,0,18,4,3,7,3,3,3,0,0,22,47,46,36,25,21,10,0,0,181,0,0,0,0,0,3,0,0,9,13,20,20,14,13,22,13,5,120,71,128,105,95,75,48,21,5,550,0,9
LGA30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,4,4,7,3,3,0,0,29,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,7,7,7,3,3,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,10,5,5,9,20,8,8,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,3,3,0,0,0,0,8,8,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,3,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,11,6,7,9,10,0,0,0,43,0,0
LGA30760,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,11,0,3,3,3,0,4,0,0,20,3,3,5,11,10,0,0,0,38,20,37,24,19,23,21,3,3,146,0,3,3,0,0,0,0,0,10,3,3,5,0,9,0,3,0,19,20,41,33,18,34,24,9,3,174,0,0,0,0,0,0,0,0,3,8,13,4,9,14,17,9,0,79,35,60,55,48,63,43,21,4,324,0,0,0,0,0,0,0,0,8,0,3,0,3,0,0,0,0,10,3,22,22,11,12,7,0,0,86,0,6,18,15,21,6,4,0,68,7,21,20,16,17,6,0,0,92,0,4,4,0,0,0,0,0,10,3,3,5,3,4,0,0,0,13,13,29,29,19,19,6,0,0,117,0,0,0,0,0,0,0,0,5,4,3,8,13,11,17,15,3,74,26,64,77,67,71,34,19,3,361,0,0
LGA30900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,4,12,6,4,3,0,0,0,33,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,17,6,4,3,0,0,0,34,0,0,0,0,0,0,0,0,0,6,8,8,3,12,0,0,0,38,8,27,16,6,16,4,3,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,3,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,5,9,11,0,0,3,0,0,0,23,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,7,8,6,0,3,0,0,0,27,0,0,0,0,0,0,0,0,0,3,14,3,3,6,0,0,0,30,11,31,5,8,18,0,0,0,82,0,0
LGA31000,423,9118,10206,7792,5314,2861,954,220,36894,245,2039,2450,2441,1704,780,200,35,9883,8345,28436,22280,15647,10165,5749,1984,534,93141,3913,8592,8157,7774,5580,3379,1316,354,39067,8583,17220,13936,13577,10829,7116,4037,1303,76594,1399,704,482,327,213,145,50,14,3334,665,1030,1018,891,897,756,356,115,5723,10655,18955,15438,14792,11937,8011,4439,1428,85651,366,776,701,542,454,421,262,89,3603,6137,8460,6377,5531,4275,3340,2543,1518,38191,30085,76387,65604,54515,39424,24536,11702,4177,306431,660,11405,9980,6606,4063,1643,346,92,34789,466,3831,4264,3816,2646,1170,320,62,16569,11839,36409,28086,17908,10734,5293,1822,621,112699,5029,10000,10031,9775,6679,3714,1589,532,47349,7107,8963,7186,6896,4788,1919,509,231,37605,1491,915,715,691,578,299,79,30,4808,774,1197,1518,1735,1633,1031,384,210,8481,9376,11077,9423,9322,7006,3256,974,469,50899,357,682,582,645,632,471,305,160,3836,5461,7095,5005,4675,4162,3943,3744,3734,37814,33184,80490,67375,52747,35918,19491,9087,5656,303949,1089,20520
LGA31750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,8,3,8,14,5,13,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,8,15,5,13,0,0,0,53,0,0,3,0,0,0,0,0,3,0,3,0,7,10,6,0,0,29,11,16,20,16,21,9,0,0,95,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,10,3,4,0,5,0,0,0,0,14,3,11,8,4,0,0,0,0,26,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,3,4,8,7,7,3,0,0,0,34,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,0,0,15,14,19,10,10,10,3,0,0,70,0,0
LGA31820,0,62,104,99,104,72,28,0,479,4,21,41,71,72,46,16,3,279,92,399,429,374,328,222,80,21,1944,47,163,300,389,422,341,117,22,1814,795,1491,1533,1766,2077,1740,794,173,10371,182,98,69,46,40,23,7,0,464,57,76,70,97,97,122,71,12,604,1029,1671,1669,1910,2219,1883,871,188,11436,16,31,34,37,48,54,26,18,254,507,432,425,630,687,796,560,223,4265,1702,2779,3010,3515,3879,3414,1698,472,20471,9,77,118,109,90,40,15,0,458,17,80,104,138,145,52,20,0,557,189,814,886,708,647,357,130,43,3761,117,456,573,693,650,396,148,38,3069,632,925,961,1009,830,319,81,18,4774,236,139,110,100,100,58,23,0,758,70,116,133,174,181,124,48,11,856,936,1182,1207,1280,1103,499,149,31,6393,16,34,26,37,41,57,27,11,249,462,424,398,539,709,795,690,343,4356,1744,3061,3305,3496,3387,2198,1179,472,18834,12,141
