LGA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA30250,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,3,4,8,0,0,0,22,7,3,0,11,3,3,0,0,26,13,24,24,24,11,0,0,0,97,3,4,3,9,7,0,0,0,22,3,0,0,3,0,0,0,0,10,15,29,30,34,20,0,0,0,126,3,0,0,3,0,0,0,0,4,24,8,10,11,7,5,0,0,67,53,45,53,65,40,12,0,0,255
LGA30300,11,5,3,0,0,0,33,0,13,7,12,4,0,0,0,39,19,88,76,47,44,19,6,4,305,12,56,56,80,50,13,3,0,272,72,111,109,96,79,33,10,3,505,17,6,12,0,3,0,0,0,42,0,5,10,16,9,3,3,0,45,93,124,125,111,92,32,19,0,600,0,0,3,3,6,0,0,0,13,72,45,56,84,71,74,33,12,439,198,341,338,337,262,146,59,21,1698
LGA30370,44,16,17,4,0,0,117,4,26,30,24,21,3,7,0,114,56,270,234,140,96,41,7,4,845,15,116,135,155,114,30,17,0,588,285,551,442,367,300,114,57,6,2127,48,27,17,22,21,5,0,0,149,18,37,43,41,39,17,3,0,198,350,618,504,431,357,137,65,12,2476,3,13,9,9,17,6,0,0,62,161,196,221,212,202,172,113,30,1304,591,1279,1177,990,816,391,209,48,5503
LGA30410,9,3,6,0,0,0,31,0,4,3,3,3,0,0,0,18,15,66,50,29,30,12,3,0,212,3,12,20,35,27,8,4,0,119,74,80,63,72,57,32,9,0,396,10,12,3,3,0,3,0,0,28,4,8,7,14,5,4,3,0,41,87,96,75,87,72,38,17,0,461,0,0,0,0,3,3,3,0,13,26,34,40,33,34,43,34,5,256,140,220,194,192,170,109,56,8,1102
LGA30450,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,3,0,3,8,0,0,0,0,14,9,6,9,9,5,5,0,0,37,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,7,5,5,9,6,4,0,0,48,0,0,0,0,0,0,0,0,0,4,3,3,8,9,0,0,0,24,22,12,16,24,17,11,0,0,95
LGA30760,0,0,3,0,0,0,8,0,4,3,7,6,0,0,0,17,3,29,24,13,14,10,0,0,99,3,10,23,32,33,12,3,0,113,24,55,50,29,38,25,7,3,239,3,4,5,0,0,0,0,0,20,3,6,8,3,11,0,3,0,36,33,66,64,32,47,29,8,3,289,0,0,0,0,0,0,0,0,9,18,16,18,26,30,30,23,3,152,57,129,132,109,133,78,40,8,685
LGA30900,0,0,3,0,0,0,4,0,0,0,0,3,0,0,0,6,0,9,0,0,0,3,0,0,12,0,3,4,0,3,0,0,0,11,15,23,5,7,7,0,0,0,52,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,16,26,6,7,8,0,0,0,65,0,0,0,0,0,0,0,0,0,10,17,12,6,18,0,0,0,71,26,58,20,18,36,4,5,0,167
LGA31000,20184,14393,9379,4502,1301,314,71681,712,5873,6711,6253,4344,1949,520,90,26448,20181,64843,50367,33554,20895,11036,3808,1151,205837,8944,18591,18190,17550,12262,7099,2899,886,86416,15688,26186,21125,20477,15617,9036,4551,1525,114201,2895,1622,1202,1016,796,443,128,44,8145,1440,2232,2535,2624,2527,1788,739,322,14206,20028,30031,24857,24111,18939,11269,5418,1893,136547,729,1455,1284,1189,1084,886,570,247,7442,11596,15558,11386,10211,8433,7284,6281,5253,76005,63265,156874,132978,107260,75346,44024,20792,9839,610388
LGA31750,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,3,0,4,0,0,0,13,3,4,3,5,0,0,0,0,17,13,19,19,13,15,0,0,0,70,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,0,0,7,9,21,22,12,19,0,0,0,85,0,0,3,0,0,0,0,0,7,3,5,3,4,11,6,0,0,41,20,28,34,23,35,10,3,0,164
LGA31820,227,209,194,116,46,0,931,20,104,152,207,215,99,28,3,831,277,1210,1319,1084,972,573,209,64,5712,162,611,875,1082,1071,743,266,63,4881,1429,2415,2493,2774,2907,2056,876,197,15142,414,241,178,144,136,78,27,3,1226,127,191,204,275,274,249,112,23,1457,1966,2852,2873,3185,3322,2387,1017,222,17827,30,66,58,72,92,113,55,30,507,971,858,824,1167,1398,1592,1251,560,8621,3444,5836,6319,7004,7268,5615,2872,946,39307
