LGA_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,5,0,0,0,0,20,8,10,7,10,4,0,0,0,32,3,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,3,0,3,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,9,5,4,0,0,0,36,27,28,27,34,19,9,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,0,0,0,16,4,0,0,3,7,0,0,0,16,3,4
LGA30300,0,3,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,7,23,44,41,54,45,14,6,0,227,9,12,15,7,12,5,3,3,62,8,18,36,35,22,13,0,0,140,0,10,9,3,3,3,0,0,26,0,3,4,3,0,3,0,0,14,3,17,14,8,15,3,0,0,62,3,11,15,7,5,0,0,0,35,0,0,0,0,0,0,0,0,0,5,4,10,3,3,3,0,0,32,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,13,33,23,27,38,36,35,18,0,214,90,147,160,170,138,85,38,3,834,0,3,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,5,3,20,16,10,9,3,0,0,59,9,29,27,35,35,10,4,3,157,13,31,37,38,26,9,3,0,143,16,39
LGA30370,0,6,6,3,3,4,0,0,20,7,0,3,3,0,0,0,0,20,141,335,279,221,186,72,46,7,1278,22,39,35,40,48,24,7,0,214,20,52,47,47,37,9,4,3,221,3,12,19,14,12,7,0,0,67,3,16,10,12,9,4,0,0,64,10,22,50,34,31,5,3,0,157,10,13,18,11,8,3,0,0,74,4,8,5,3,3,0,0,0,18,18,26,24,29,14,10,3,0,123,0,4,3,0,0,0,0,0,5,3,4,6,8,6,3,0,0,33,87,119,129,103,103,77,48,8,675,317,672,629,532,463,223,122,19,2972,0,9,11,14,10,0,0,0,39,0,4,0,3,0,0,0,0,11,7,16,24,12,13,3,0,0,69,0,0,3,3,0,0,0,0,16,22,37,26,10,5,0,0,0,94,17,73,62,78,81,31,10,4,348,18,99,106,75,72,32,12,5,414,69,167
LGA30410,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,19,33,35,32,32,17,14,0,186,9,11,12,18,11,5,3,0,68,15,6,5,11,16,4,3,0,56,0,7,6,5,7,0,0,0,22,0,6,8,4,4,0,0,0,20,3,4,5,3,6,0,0,0,28,0,3,4,4,0,5,0,0,12,0,0,0,0,0,0,0,0,0,3,4,0,0,3,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,15,19,16,24,19,0,124,71,93,89,106,95,59,38,3,553,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,8,0,3,0,0,0,10,0,3,0,0,0,0,0,0,4,7,5,9,9,3,0,0,0,33,4,15,12,27,22,11,3,0,99,12,27,20,10,16,4,3,0,92,11,31
LGA30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,17,0,4,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,9,5,5,9,20,8,8,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0
LGA30760,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,13,22,12,11,16,15,3,0,86,8,9,4,4,5,8,0,0,27,7,11,12,12,14,4,0,3,53,0,0,0,3,0,0,0,0,10,0,0,3,0,0,0,0,0,8,0,4,7,3,8,0,0,0,22,3,0,0,6,4,3,0,0,18,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,8,13,6,10,15,12,12,0,74,35,60,55,48,63,43,21,4,324,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,6,5,3,0,0,0,16,4,5,11,18,17,7,4,0,64,3,13,15,3,14,7,0,0,55,3,16
LGA30900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,4,0,0,0,17,3,3,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,3,13,0,0,0,37,8,27,16,6,16,4,3,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,4,3,14
LGA31000,1172,2974,2579,2214,1685,1167,412,112,12313,1857,5737,5683,2975,1215,323,46,0,17842,4457,15292,13764,13376,10934,7228,3761,1189,70004,1923,6330,5038,4432,3539,2295,1299,414,25270,350,1019,1179,1028,736,447,202,57,5012,1190,4711,4009,3295,2259,1327,646,231,17669,313,1686,1937,2010,1919,1392,618,131,10004,5388,15511,13785,11256,7226,3876,1202,337,58583,3043,6583,5795,4724,3593,2241,790,190,26950,2251,3873,2303,1381,850,401,166,43,11268,1414,3036,2040,1433,791,470,189,51,9426,276,143,61,66,66,75,59,26,776,300,847,912,766,551,329,155,73,3931,6155,8635,6512,5559,4070,2967,2175,1325,37396,30085,76387,65604,54515,39424,24536,11702,4177,306431,1301,3476,2722,1901,1124,543,178,61,11296,492,1709,1682,935,425,111,15,4,5374,669,2402,1793,1155,655,346,306,142,7470,474,1443,1039,640,278,104,25,5,4016,275,765,741,417,245,65,14,7,2533,3886,12898,9865,8783,6662,3540,1674,675,47982,1237,5744,6978,7293,6538,3948,1506,422,33675,7862,21704
LGA31750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,4,7,0,0,0,32,0,5,0,0,3,0,0,0,7,0,3,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,4,3,10,6,0,0,28,11,16,20,16,21,9,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,3,14
LGA31820,8,40,43,33,56,54,20,8,261,76,100,109,63,43,24,0,0,412,415,836,923,1102,1406,1322,639,146,6785,127,368,362,432,583,462,214,36,2596,57,110,155,174,138,88,35,9,769,48,178,173,184,149,81,33,17,861,8,70,138,200,197,147,67,16,846,180,252,286,310,278,212,69,21,1607,108,152,177,180,183,133,40,5,975,20,24,31,28,31,30,17,0,187,111,166,136,126,143,104,35,9,843,8,7,4,6,11,8,9,7,55,28,32,38,61,41,36,22,12,267,503,448,430,608,629,709,493,195,4021,1702,2779,3010,3515,3879,3414,1698,472,20471,20,45,73,66,51,35,21,4,309,13,20,27,31,24,13,3,0,129,21,34,33,48,55,45,37,15,286,12,16,13,30,7,4,3,0,82,19,43,67,45,38,17,6,0,228,164,486,499,649,697,372,170,66,3102,68,315,533,522,481,312,146,28,2402,370,746
