LGA_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
LGA30250,3,0,3,0,0,0,15,0,4,5,6,9,0,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,3,6,6,0,0,37,20,21,24,25,21,5,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,4,6,0,0,0,0,27,11,10,7,10,4,0,0,0,39,3,0,0,3,0,0,0,0,12,0,0,3,5,0,0,0,0,19,3,0,3,3,5,0,0,0,17,3,3,4,3,4,0,0,0,18,3,3,13,9,13,0,0,0,40,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,10,12,7,3,0,0,71,53,45,53,65
LGA30300,28,17,8,0,3,0,118,14,21,32,11,13,3,0,0,94,4,4,5,3,0,0,0,0,14,14,13,8,7,3,4,0,0,53,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,40,19,25,36,27,28,15,10,193,113,190,172,166,130,58,25,16,863,0,3,3,0,3,0,0,0,13,0,3,6,0,0,0,0,0,11,25,47,44,53,44,14,6,0,234,6,10,15,8,12,5,3,3,62,10,45,48,40,28,19,0,0,197,9,44,36,41,38,17,4,3,186,13,34,38,39,32,7,3,0,161,17,55,39,29,22,8,4,0,176,18,28,43,17,18,4,0,0,130,3,3,5,3,0,0,0,0,17,13,23,18,15,11,6,0,0,86,0,0,0,0,0,0,0,0,5,0,3,0,6,0,0,0,0,21,74,47,49,76,61,63,32,8,403,198,341,338,337
LGA30370,113,80,37,15,0,0,484,23,57,52,51,46,11,0,0,250,4,11,10,3,0,0,0,0,29,36,58,46,38,16,6,3,0,208,0,0,0,0,0,0,0,0,4,0,0,3,3,3,0,0,0,13,78,78,87,98,78,75,58,21,573,277,612,545,458,357,171,92,26,2535,0,19,13,14,12,4,0,0,64,5,4,3,8,0,0,0,0,26,144,347,299,232,199,76,46,7,1341,25,42,39,42,49,24,7,0,224,39,88,74,56,43,10,12,3,321,13,85,78,88,92,33,11,4,411,20,119,116,92,84,35,12,6,481,71,193,161,116,69,24,4,0,639,35,73,79,63,58,18,3,0,324,7,15,15,3,0,4,0,0,47,50,85,68,68,29,18,7,0,333,0,4,6,0,0,0,0,0,13,3,7,10,8,10,3,0,0,41,167,194,215,202,181,156,106,25,1245,591,1279,1177,990
LGA30410,18,10,11,7,0,0,79,10,10,18,14,10,9,0,0,76,0,3,3,3,0,3,0,0,16,10,11,5,5,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,13,19,22,15,13,20,9,4,113,71,128,105,95,75,48,21,5,550,0,0,3,0,0,0,0,0,3,0,0,3,0,3,0,0,0,9,25,39,37,33,32,17,14,0,200,9,16,12,17,11,5,3,0,78,22,12,15,18,16,4,3,0,84,9,22,16,33,31,14,3,0,120,14,31,25,13,15,4,3,0,108,9,33,18,16,21,3,0,0,109,10,19,20,19,11,14,3,0,85,0,3,3,4,0,3,0,0,14,11,11,9,4,4,0,0,0,42,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,27,33,37,35,28,46,31,4,237,140,220,194,192
LGA30450,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,9,11,6,7,9,10,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,17,0,4,0,0,0,0,0,0,7,3,0,4,8,0,0,0,0,18,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,8,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,8,0,0,0,20,22,12,16,24
LGA30760,20,14,10,4,0,0,70,3,6,15,8,8,6,0,0,48,0,3,0,0,0,4,0,0,6,3,3,4,4,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,15,11,15,10,3,70,26,64,77,67,71,34,19,3,361,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,13,27,12,13,17,15,3,0,98,8,9,4,4,5,8,0,0,27,7,14,14,18,18,4,0,3,75,4,8,10,23,16,7,4,0,73,3,21,18,8,13,7,0,0,60,9,20,27,15,16,4,4,0,89,7,6,15,11,15,5,0,0,62,0,3,0,3,0,4,0,0,7,3,5,8,4,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,15,13,17,22,25,27,23,3,147,57,129,132,109
LGA30900,4,0,3,0,0,0,22,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,4,3,6,0,0,0,31,11,31,5,8,18,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,4,0,0,0,17,3,3,0,0,0,0,0,0,4,9,6,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,10,0,5,0,0,4,0,0,0,13,3,13,4,0,4,0,0,0,21,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,12,10,15,0,0,0,74,26,58,20,18
LGA31000,18739,13486,7450,3029,984,478,73724,4919,12396,11191,8339,5970,2972,743,216,46743,3061,5520,3581,2278,1153,558,248,113,16501,2922,4337,3001,2262,1241,793,225,109,14893,304,93,73,64,88,107,115,62,902,334,850,1027,790,477,282,94,65,3913,5432,7154,4941,4409,3628,3088,2966,3306,34918,33184,80490,67375,52747,35918,19491,9087,5656,303949,2476,6447,5303,4108,2812,1710,587,172,23612,2351,7452,7368,3906,1637,437,59,7,23213,5127,17696,15561,14534,11584,7577,4065,1328,77475,2398,7774,6075,5074,3817,2396,1319,425,29286,625,1784,1921,1443,975,512,214,69,7546,5083,17616,13872,12081,8921,4872,2317,897,65654,1553,7432,8914,9302,8463,5340,2120,553,43674,13249,37214,32526,24744,14677,6903,2188,818,132315,7959,18977,16984,13068,9557,5211,1530,404,73691,5310,9392,5885,3657,1997,961,408,156,27767,4336,7374,5044,3697,2028,1268,412,161,24319,580,230,138,133,154,187,173,88,1678,635,1698,1933,1553,1028,610,249,135,7840,11591,15790,11449,9965,7696,6054,5139,4628,72314,63265,156874,132978,107260
LGA31750,0,3,6,0,0,0,22,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,6,0,0,0,12,14,19,10,10,10,3,0,0,70,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,10,9,7,0,0,0,32,0,5,0,0,3,0,0,0,7,6,3,0,3,3,0,0,0,16,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,3,3,14,6,7,6,0,0,0,24,0,0,4,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,6,4,11,6,0,0,37,20,28,34,23
LGA31820,738,692,608,314,108,31,3608,262,512,568,590,540,228,46,10,2767,35,72,56,54,52,36,19,8,327,282,320,291,242,184,138,32,9,1495,9,5,3,4,10,11,13,8,69,13,25,27,27,35,25,10,7,150,455,402,377,507,610,653,574,301,3883,1744,3061,3305,3496,3387,2198,1179,472,18834,32,86,111,96,106,89,39,10,563,93,125,130,88,71,33,3,0,540,432,875,962,1148,1457,1370,672,156,7071,136,382,377,464,592,465,216,36,2675,83,152,219,227,171,99,45,9,995,211,670,671,831,840,451,207,80,3962,81,381,674,721,676,459,213,49,3252,554,997,1024,998,887,523,176,51,5212,367,668,746,771,723,364,83,14,3743,53,103,91,76,85,67,32,8,513,394,489,434,367,328,240,65,21,2337,18,12,5,9,23,21,25,17,122,37,55,59,84,72,58,29,17,416,959,849,804,1117,1240,1363,1068,492,7903,3444,5836,6319,7004
