LGA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA30250,40,12,0,0,255
LGA30300,262,146,59,21,1698
LGA30370,816,391,209,48,5503
LGA30410,170,109,56,8,1102
LGA30450,17,11,0,0,95
LGA30760,133,78,40,8,685
LGA30900,36,4,5,0,167
LGA31000,75346,44024,20792,9839,610388
LGA31750,35,10,3,0,164
LGA31820,7268,5615,2872,946,39307
LGA31900,1135,806,395,147,6658
LGA31950,37,14,0,0,164
LGA32080,12046,6783,2599,815,76829
LGA32250,126,82,26,3,748
LGA32260,2472,1529,717,191,12362
LGA32270,1540,583,211,48,12060
LGA32310,741,544,260,66,4469
LGA32330,26,3,0,0,229
LGA32450,193,87,29,12,1350
LGA32500,437,286,79,20,2209
LGA32600,32,9,0,0,130
LGA32750,22,5,0,0,138
LGA32770,26,3,3,0,213
LGA32810,1206,720,317,94,6277
LGA33100,55,47,9,0,290
LGA33200,82,61,21,10,542
LGA33220,8803,7702,3636,1050,45433
LGA33360,4011,1893,714,194,27378
LGA33430,39409,28086,13185,5597,276431
LGA33610,664,420,211,64,4262
LGA33620,4331,3343,1392,440,21579
LGA33800,909,615,358,117,4486
LGA33830,34,20,8,0,330
LGA33960,10348,5788,2655,799,81434
LGA33980,1021,348,83,24,9523
LGA34420,33,6,0,0,226
LGA34530,3119,1938,843,335,16916
LGA34570,21,11,0,0,225
LGA34580,2506,1741,691,219,16094
LGA34590,17574,10813,4009,1207,125686
LGA34710,302,142,74,36,1665
LGA34770,7897,4034,1856,627,50912
LGA34800,54,21,10,3,350
LGA34830,21,4,3,0,104
LGA34860,737,365,180,66,5365
LGA34880,1777,1278,508,125,10117
LGA35010,28434,20010,8624,3558,192629
LGA35250,50,23,3,0,382
LGA35300,944,393,125,28,8343
LGA35600,279,108,74,30,1606
LGA35670,15,5,0,0,165
LGA35740,5556,4566,1981,749,27364
LGA35760,728,556,310,96,4201
LGA35780,115,28,9,0,919
LGA35790,64,11,5,0,496
LGA35800,134,65,31,10,601
LGA36070,13,10,0,0,180
LGA36150,41,26,10,3,288
LGA36250,12104,8159,3744,1688,69937
LGA36300,44,24,10,3,309
LGA36370,4961,2717,1532,703,33184
LGA36510,3408,2528,1079,287,18293
LGA36580,1967,1376,515,110,10210
LGA36630,2511,1961,903,267,13309
LGA36660,2679,2184,1014,362,14389
LGA36720,24662,18607,9116,3671,146541
LGA36820,2356,1843,852,255,11433
LGA36910,11327,7401,3811,1722,72904
LGA36950,224,69,10,3,1703
LGA36960,178,61,11,0,1642
LGA37010,12222,6899,2858,919,86453
LGA37300,193,46,4,0,1914
LGA37310,1941,1205,569,202,13872
LGA37340,2562,1624,592,185,16453
LGA37400,69,75,32,9,458
LGA37550,38,9,0,0,246
LGA37570,12,0,0,0,86
LGA37600,60,18,3,0,605
LGA39499,1426,1050,215,24,7409
LGA39799,15,15,6,3,71
