LGA_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
LGA30250,0,6,0,3,3,0,0,0,0,10,0,5,0,3,0,0,0,0,0,13,0,0,3,0,3,0,0,0,0,9,0,0,0,6,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,18,3,16,10,3,0,3,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,15,4,0,8,0,0,0,0,0,0,21,0,0,3,0,0,0,0,0,0,8,0,6,0,3,3,0,0,0,0,15,4,9,0,3,3,0,0,0,0,15,3,0,3,0,4,3,0,0,0,14,0,3,0,20,6,0,0,4,0,33,0,0,0,0,0,0,0,0,0,3
LGA30300,21,71,0,17,16,0,0,3,0,124,23,66,0,22,10,0,0,3,0,126,17,7,3,3,38,15,0,10,0,94,12,17,0,21,8,7,0,4,0,72,0,3,0,0,3,0,0,3,0,10,7,0,7,12,9,3,0,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,11,0,8,0,25,109,174,15,87,97,37,5,33,5,562,4,0,0,3,3,0,0,3,0,13,0,0,0,0,0,0,0,0,0,4,40,11,91,0,3,12,21,27,3,209,14,3,16,0,0,0,3,13,0,50,87,20,12,4,12,7,8,22,0,176,23,81,0,26,16,0,0,6,0,157,27,78,0,22,10,0,0,3,0,133,47,11,3,7,44,14,3,14,0,151,13,26,0,37,8,8,8,7,0,109,0,3,0,0,3,0,0,3,0,12
LGA30370,49,123,3,48,21,5,3,15,0,272,56,208,3,42,25,5,7,7,3,344,54,53,13,22,163,24,16,30,7,382,18,36,3,81,37,9,3,19,0,195,3,8,0,0,5,0,0,0,0,18,22,6,37,28,24,21,3,14,0,159,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,9,11,0,7,10,9,6,5,12,11,72,253,467,91,235,307,81,41,121,18,1615,8,16,8,7,4,0,0,3,3,48,3,4,4,0,3,0,0,3,0,20,144,81,661,7,26,9,166,76,12,1184,27,0,65,3,5,4,37,38,0,186,120,25,17,5,13,19,27,44,0,275,56,150,12,58,21,5,11,17,0,332,65,235,3,42,26,5,14,3,3,400,104,77,24,34,171,34,37,40,4,518,21,47,17,93,37,9,14,27,0,258,6,12,7,3,5,0,3,3,0,33
LGA30410,12,31,0,20,9,4,0,0,0,71,12,39,0,16,3,0,0,0,0,73,14,7,3,3,29,5,0,3,0,66,3,10,0,25,7,0,0,9,0,60,0,0,0,3,0,0,0,0,0,3,4,0,3,4,3,0,0,4,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,0,5,0,13,63,86,13,71,60,19,8,31,4,359,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,0,0,0,4,30,24,46,3,5,3,15,18,3,159,7,3,31,0,0,0,6,11,0,59,34,3,3,0,3,0,8,20,0,71,18,36,4,24,4,4,0,0,0,91,15,52,0,16,7,0,0,0,0,87,22,6,4,6,36,11,0,8,0,92,5,14,0,30,10,0,0,9,0,73,3,0,0,3,0,0,0,0,0,7
LGA30450,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,3,0,0,11,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,11,0,0,3,0,0,0,3,0,0,8,3,0,5,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4
LGA30760,10,24,0,12,3,0,0,3,0,57,8,21,0,11,6,0,0,0,0,48,13,3,3,0,19,5,0,4,3,54,5,3,0,18,3,3,0,0,0,40,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,11,56,59,10,47,44,19,4,11,4,250,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,16,4,30,4,3,6,6,8,4,74,3,0,10,0,0,0,3,4,0,23,31,3,5,0,3,7,8,9,0,65,10,28,0,16,3,0,0,3,0,65,9,25,0,13,6,0,0,0,0,56,25,6,6,3,21,12,0,4,3,77,5,4,0,25,3,3,0,4,0,49,0,0,0,0,0,0,0,0,0,3
LGA30900,4,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,4,0,3,0,4,0,0,4,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,4,6,0,0,11,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,4,0,17,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,0,16,0,17,4,0,0,0,0,0,0,0,0,6,3,7,0,0,0,0,0,0,0,13,3,0,3,4,4,0,0,4,0,22,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
LGA31000,1507,25057,875,4737,2520,964,90,518,210,36485,1829,15303,201,3223,2017,522,41,319,135,23594,9757,14620,860,4118,18014,4992,323,1710,617,55010,3211,12809,544,7990,5887,1585,149,1032,345,33551,1498,4963,546,1232,1977,1375,70,350,125,12144,1092,435,2562,2333,1919,1251,88,713,102,10502,17,27,9,57,74,59,4,39,7,292,349,743,134,306,607,206,33,112,69,2550,234,433,121,462,546,310,42,259,498,2903,21858,84532,7720,25886,36334,12482,1081,6076,2330,198312,2219,8772,1393,932,1396,681,240,534,184,16350,2922,9709,1902,616,1410,752,469,800,295,18879,8084,16120,18177,1557,2854,1982,3261,3798,652,56491,3832,4472,9322,555,1213,752,740,1689,255,22823,825,1466,1078,300,585,294,258,662,76,5539,2505,35560,1288,6316,2860,1225,297,848,343,51238,2848,19933,460,3668,2325,697,234,520,209,30906,22884,28880,2939,6149,24152,9252,2549,4098,1246,102153,6068,21334,1356,11627,7912,2606,834,2022,624,54388,2542,8575,1673,1886,2672,2157,410,935,214,21071
LGA31750,3,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,3,5,3,0,3,11,0,0,0,0,24,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,6,3,3,12,4,3,8,3,56,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,13,0,3,0,3,5,0,30,3,0,0,0,0,0,0,3,0,10,7,0,0,0,3,0,3,9,0,16,3,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,3,5,3,0,3,7,0,0,0,0,27,3,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
LGA31820,94,1232,63,439,138,44,10,50,12,2084,114,1008,10,359,103,25,3,35,5,1658,322,274,48,184,899,329,22,160,19,2259,107,270,15,891,197,85,7,140,14,1721,19,57,16,19,18,19,3,24,0,171,80,20,236,182,97,91,16,99,8,833,0,3,0,3,3,3,0,0,3,14,12,13,11,6,15,11,3,18,3,84,16,25,8,52,47,39,3,45,39,278,813,3026,503,2169,1621,704,73,651,104,9660,44,114,70,29,28,15,6,26,0,327,34,92,57,15,34,45,18,36,3,344,439,241,1851,68,112,135,547,449,50,3889,240,46,762,32,49,40,117,239,22,1550,142,105,102,17,40,34,73,145,9,671,135,1682,81,544,149,58,13,66,19,2747,179,1395,28,392,114,23,24,50,10,2212,621,456,115,239,1017,452,103,264,36,3306,155,415,48,1128,225,124,34,199,14,2350,25,90,29,22,20,27,8,35,0,264
