LGA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA30250,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,0,4,3,0,23,16,28,25,32,12,3,4,15,4,142
LGA30300,11,0,17,16,9,3,4,12,0,73,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,14,7,0,9,3,0,13,5,10,10,56,280,231,153,122,106,65,50,113,15,1143
LGA30370,29,5,72,33,28,27,25,40,0,259,0,0,0,0,0,3,0,3,0,11,8,0,4,0,0,0,7,3,3,33,34,4,20,12,11,8,30,42,18,179,629,655,916,294,346,130,369,345,54,3740
LGA30410,4,0,4,8,3,0,6,6,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,0,6,3,3,3,0,6,3,35,151,145,101,89,72,23,39,81,12,717
LGA30450,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,13,12,11,3,11,0,5,6,0,71
LGA30760,3,0,9,0,5,3,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,8,0,4,3,3,7,0,36,120,76,61,63,48,27,22,46,9,476
LGA30900,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,6,21,11,10,9,6,0,6,30,0,96
LGA31000,2105,649,5960,2966,2262,1741,739,1475,170,18063,49,55,55,98,102,98,49,121,13,639,840,1360,513,587,841,361,343,385,195,5416,676,894,858,699,825,553,478,789,1222,6999,58388,157776,46996,37947,51408,23155,10902,18682,5694,410947
LGA31750,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,9,26,9,25,4,23,3,12,15,3,125
LGA31820,142,28,469,224,105,125,74,186,13,1371,0,4,4,4,3,8,0,6,0,25,27,22,35,25,20,12,34,37,8,221,63,34,75,68,59,65,74,123,92,653,2250,4725,3724,2810,1978,1160,1128,1869,281,19921
LGA31900,28,5,85,34,20,25,22,43,3,262,0,0,0,0,0,0,4,3,0,14,12,3,3,4,4,0,10,4,0,38,21,13,18,8,9,17,25,35,17,174,622,747,888,447,353,170,379,421,58,4084
LGA31950,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,15,21,11,14,4,13,0,4,7,3,82
LGA32080,418,86,1234,623,388,400,187,376,43,3761,10,14,9,9,6,6,3,8,0,71,78,110,79,94,74,31,45,53,16,580,116,112,218,183,118,153,123,212,205,1441,5506,12768,8718,6715,5536,3135,1962,2944,761,48050
