LGA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,4,0,0,0,0,10,0,3,3,3,3,0,0,3,0,13,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,3,18,3,16,10,3,0,3,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,3,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
LGA30300,3,14,0,6,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,3,40,117,0,7,21,4,0,0,0,191,0,0,0,0,0,0,0,0,0,0,15,12,0,3,16,3,0,3,0,57,21,4,0,22,16,7,0,11,0,82,15,7,9,34,36,6,0,5,0,120,3,0,0,4,3,4,0,7,0,21,0,0,0,3,3,3,0,0,0,18,0,0,0,3,0,0,0,0,0,4,9,0,0,4,0,12,0,3,7,32,109,174,15,87,97,37,5,33,5,562,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,11,0,4,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,5,12,0,6,0,0,0,0,0,31,0,3,0,0,0,0,0,0,0,3,71,141,3,15,22,7,0,8,0,275,0,0,0,0,0,0,0,0,0,3
LGA30370,10,41,0,7,7,3,0,0,0,66,0,3,0,0,0,0,0,0,0,6,75,292,10,32,56,10,0,6,3,483,0,0,0,0,0,0,0,0,0,3,32,29,6,12,22,0,7,7,3,107,26,27,5,47,42,10,4,11,0,175,56,27,53,107,129,35,20,48,4,474,11,0,3,12,15,3,6,7,0,55,12,0,4,13,24,4,0,10,0,78,4,3,4,3,0,0,0,5,0,20,19,9,4,12,14,12,3,18,11,88,253,467,91,235,307,81,41,121,18,1615,0,5,0,0,0,0,0,0,0,9,4,9,0,0,0,0,0,0,0,9,18,48,3,3,4,0,0,3,0,81,0,0,0,0,0,0,0,0,0,3,20,46,3,7,5,3,0,0,0,82,3,4,4,0,0,0,0,0,0,16,135,402,38,42,60,17,14,15,6,730,0,0,0,4,0,0,0,0,0,10
LGA30410,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,23,58,3,10,13,0,0,4,0,117,0,0,0,0,0,0,0,0,0,0,10,5,0,4,3,0,0,0,0,23,3,0,0,8,5,0,0,3,0,25,13,7,12,36,22,15,3,20,0,121,0,0,0,3,4,3,0,0,0,14,7,0,0,3,7,3,0,3,0,18,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,3,0,3,0,18,63,86,13,71,60,19,8,31,4,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,39,97,3,15,17,0,0,4,0,175,0,0,0,0,0,0,0,0,0,0
LGA30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,4,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,3,0,0,11,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0
LGA30760,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,15,38,0,4,12,3,0,0,0,76,0,0,0,0,0,0,0,0,0,0,10,5,0,5,0,0,0,0,0,22,10,5,0,8,3,0,0,3,0,31,10,0,8,24,16,11,0,3,0,72,4,0,0,0,0,0,0,7,0,7,0,0,0,3,4,0,0,4,0,15,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,3,0,0,0,12,56,59,10,47,44,19,4,11,4,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,7,18,47,0,6,12,4,0,0,0,91,0,0,0,0,0,0,0,0,0,0
LGA30900,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,12,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,4,6,0,0,11,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
LGA31000,1018,6046,121,629,1020,142,10,66,65,9121,499,1939,30,105,402,53,0,13,22,3074,9313,48443,1810,6830,12061,3933,229,1913,807,85345,26,46,20,96,80,22,4,14,3,320,1365,3256,472,1848,2601,786,60,334,118,10849,2548,3302,1102,5327,5860,2014,136,751,251,21284,2097,2039,3203,7255,7520,2933,398,1491,292,27236,227,195,130,585,881,564,59,238,21,2904,445,453,191,1094,1690,631,81,336,53,4977,195,547,104,272,523,198,11,166,33,2049,297,670,143,579,736,365,53,323,390,3555,21858,84532,7720,25886,36334,12482,1081,6076,2330,198312,168,665,22,28,76,22,3,10,11,1009,1111,9336,139,97,272,65,27,48,69,11171,8825,24563,1134,1809,4278,1578,459,1006,516,44181,328,1054,35,70,177,68,15,43,22,1818,2098,9403,322,843,1420,279,82,158,120,14727,965,2708,112,204,590,91,22,48,42,4783,23070,88013,6302,10292,17825,7424,1889,4723,1743,161290,52,76,62,135,106,36,21,41,6,538
LGA31750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,3,8,0,0,3,0,20,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,14,6,3,3,12,4,3,8,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
LGA31820,24,175,4,44,19,0,3,3,0,280,16,84,0,8,11,3,0,0,0,124,205,1872,40,207,250,52,5,94,16,2743,0,5,0,12,3,0,0,0,0,29,68,190,18,125,100,27,3,32,3,565,123,178,39,482,241,84,10,64,5,1217,228,134,332,988,703,315,36,242,26,3014,27,11,18,73,92,105,5,55,4,387,32,23,25,121,106,53,9,63,3,435,12,21,3,13,13,6,4,28,3,104,30,57,10,75,59,50,5,53,34,382,813,3026,503,2169,1621,704,73,651,104,9660,0,18,0,0,0,0,0,0,0,19,6,110,3,0,6,0,0,0,0,125,87,376,18,12,29,14,3,15,7,564,4,30,0,3,3,0,0,0,0,44,43,259,8,52,23,0,3,3,0,402,30,103,3,9,9,3,0,5,0,168,427,2739,130,300,301,76,23,164,25,4179,4,5,0,15,3,0,0,3,0,33
