LGA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA30250,0,0,0,3,0,0,0,0,0,13,0,0,0,3,4,0,0,0,0,10,11,6,21,10,3,3,3,11,0,57,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,3,0,4,3,0,11,16,28,25,32,12,3,4,15,4,142
LGA30300,32,18,0,7,16,4,3,3,0,100,43,13,5,25,27,7,3,11,0,135,84,19,130,43,35,19,30,60,6,426,3,3,0,4,3,9,0,7,0,27,6,0,4,6,6,8,3,3,0,37,0,0,0,3,0,0,0,3,0,7,16,0,7,6,0,8,6,15,10,73,280,231,153,122,106,65,50,113,15,1143
LGA30370,55,39,23,11,19,3,10,9,4,181,66,40,38,53,43,14,18,22,6,298,218,46,766,125,148,52,244,175,18,1790,17,0,13,8,18,13,14,23,0,108,39,0,11,17,30,8,32,23,0,160,9,3,3,3,0,4,11,16,3,49,49,11,13,11,10,14,35,55,18,213,629,655,916,294,346,130,369,345,54,3740
LGA30410,16,8,4,10,3,0,0,0,0,40,10,7,7,12,8,0,0,6,0,57,44,9,81,41,28,17,28,53,3,307,3,0,0,5,9,3,3,3,0,22,13,0,3,3,3,3,0,3,0,30,3,0,0,0,0,0,0,0,0,3,8,0,3,5,3,3,0,7,3,42,151,145,101,89,72,23,39,81,12,717
LGA30450,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,4,8,0,4,0,5,6,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,13,12,11,3,11,0,5,6,0,71
LGA30760,19,6,0,4,0,0,0,3,0,38,13,4,4,16,7,4,0,3,0,51,39,5,53,28,16,17,9,27,9,185,3,0,0,0,0,0,0,7,0,11,10,0,0,3,4,4,3,0,0,28,0,0,0,0,0,0,0,0,0,5,8,4,8,0,4,3,3,10,0,36,120,76,61,63,48,27,22,46,9,476
LGA30900,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,7,0,9,3,0,0,6,24,0,53,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,21,11,10,9,6,0,6,30,0,96
LGA31000,3711,6121,2373,2674,3431,1347,629,924,286,21494,6226,6828,4479,7492,7740,3424,1237,2110,497,40039,9076,5150,29550,10614,10724,5935,4951,6731,1182,83911,446,383,441,867,1087,839,319,675,58,5116,1006,929,730,1521,2032,1052,543,847,113,8779,535,1238,474,461,681,347,216,417,105,4461,759,1296,831,834,966,646,489,894,914,7628,58388,157776,46996,37947,51408,23155,10902,18682,5694,410947
LGA31750,0,3,0,0,3,0,0,0,0,6,3,0,0,0,0,0,0,0,0,11,8,0,21,3,16,0,10,10,3,66,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,3,0,0,12,26,9,25,4,23,3,12,15,3,125
LGA31820,146,302,59,193,115,46,20,55,7,939,284,288,145,595,300,132,60,129,12,1947,960,315,3149,1270,893,589,801,1030,127,9118,58,18,52,90,94,140,54,138,4,641,77,45,69,163,117,69,61,119,9,719,32,39,19,17,26,12,20,55,3,218,89,75,66,90,71,76,88,155,86,797,2250,4725,3724,2810,1978,1160,1128,1869,281,19921
