LGA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
LGA30250,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,8,5,20,0,36,0,0,4,0,0,0,7,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,5,0,3,0,0,13,8,49,14,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0
LGA30300,0,0,38,54,124,13,238,0,0,0,0,3,0,3,0,0,0,0,8,0,13,0,0,0,0,9,0,15,0,0,0,3,45,0,53,0,0,4,3,21,3,33,0,0,0,0,18,3,25,0,0,0,0,14,0,20,0,0,0,4,7,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,13,0,0,0,0,4,0,6,3,0,9,18,16,3,45,0,3,10,0,7,0,18,3,0,11,4,6,0,28,0,0,0,0,0,0,0,0,0,0,0,32,0,36,0,0,0,3,10,10,20,12,7,80,95,336,49,581,0,6,36,28,24,6,101,0,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,0,0,0,0,0,0,3,3,5,0,13,0,0,0,4,7,0,13,0,0,4,8,11,5,37,0,0,4,9
LGA30370,4,0,37,46,181,35,305,14,3,61,31,404,13,534,3,0,15,14,115,20,176,7,0,23,26,161,8,220,0,0,0,7,165,14,196,0,0,3,10,43,0,59,0,0,3,3,47,7,65,0,0,6,4,31,0,41,0,0,0,4,38,7,47,0,3,0,0,4,0,9,0,0,3,5,0,0,7,0,0,0,0,14,0,13,3,0,18,3,9,0,36,0,0,0,4,28,4,38,3,3,19,21,50,6,105,0,4,31,0,12,0,47,4,0,15,8,10,0,31,0,0,0,0,8,0,11,4,0,0,4,70,3,93,0,0,4,12,46,20,86,52,21,250,194,1446,152,2118,7,11,58,54,69,28,219,3,0,24,11,33,6,85,3,0,13,5,28,3,52,3,0,5,9,11,3,39,0,0,3,3,14,0,22,0,0,0,3,18,5,26,3,0,13,13,42,8,87,0,0,12,12
LGA30410,5,0,3,7,74,10,99,0,0,0,0,7,0,4,0,0,0,0,6,0,8,0,0,0,6,11,0,15,4,0,3,0,47,3,65,0,0,0,0,3,0,3,0,0,0,0,6,0,5,0,0,0,3,6,0,9,0,0,0,3,14,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,3,6,0,18,0,0,0,0,3,0,3,7,0,9,8,19,3,42,0,3,12,0,0,0,10,0,0,5,3,3,0,15,0,0,0,0,0,0,0,0,0,3,3,13,0,18,0,0,3,0,9,0,12,13,6,56,41,217,24,362,0,0,19,13,22,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,3,0,5,0,0,0,3,4,0,3,0,0,0,0,13,3,22,0,0,3,0
LGA30450,0,0,0,4,5,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,20,4,32,0,0,3,5,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30760,0,0,5,14,37,8,71,0,0,0,0,3,0,4,0,0,0,0,5,0,5,0,0,0,0,9,0,8,0,0,0,0,22,0,19,0,0,0,0,3,0,10,0,0,0,0,8,0,12,0,0,0,0,8,0,9,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,3,17,3,24,0,3,0,0,0,0,6,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,3,9,0,0,0,0,6,3,13,0,11,15,30,139,29,222,0,0,20,17,15,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,4,17,0,0,3,3
LGA30900,0,0,0,0,25,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,33,6,47,0,0,0,0,21,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA31000,127,29,339,139,220,40,894,1007,222,2228,349,951,77,4840,1130,248,3396,1923,6347,390,13439,550,171,1162,547,948,56,3432,875,242,4215,2472,16617,638,25064,704,145,1911,1004,2360,202,6329,910,193,3844,2025,4384,413,11768,757,94,2990,2181,3669,426,10124,1154,326,3393,2625,4627,552,12673,457,127,1759,745,915,103,4100,1446,499,4195,1800,953,193,9092,527,172,1911,716,1327,171,4823,6262,1637,16159,3163,2312,606,30134,563,163,2197,1056,1975,265,6223,2624,1216,6449,3234,3499,335,17347,5408,1333,6190,1148,1460,254,15803,3514,909,8670,1880,2047,471,17494,321,125,1336,575,948,111,3421,526,182,1361,939,4087,190,7284,850,147,2236,1077,3037,990,8334,29716,8180,75942,29614,62696,6486,212639,73,25,228,96,108,22,546,358,146,900,186,164,29,1783,452,138,1674,909,1107,170,4452,234,84,619,214,174,28,1355,244,136,1371,740,943,118,3552,380,124,1173,608,751,94,3121,768,233,4659,2626,3707,514,12505,713,159,3364,2030
LGA31750,0,0,0,0,7,3,13,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,45,9,65,0,0,0,5,7,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0
LGA31820,16,13,117,113,566,104,929,0,0,10,37,326,6,380,6,7,54,72,825,33,1002,0,3,13,20,173,8,219,3,0,28,71,1422,52,1574,3,0,18,20,172,9,226,14,0,62,67,503,42,688,3,0,31,41,282,24,380,3,3,21,52,319,38,436,0,0,13,11,58,3,84,7,0,20,44,28,4,109,3,3,9,19,67,8,113,34,13,159,56,135,27,420,0,3,13,19,200,12,253,28,23,136,169,310,19,682,74,61,340,74,119,11,691,130,41,327,141,316,30,984,0,0,6,9,37,0,61,10,3,24,29,442,18,537,7,0,18,32,341,88,479,357,182,1436,1109,6643,536,10258,9,8,122,69,170,47,423,0,0,0,4,12,0,20,10,3,43,40,96,16,203,0,0,10,4,12,0,23,0,3,31,31,77,4,155,0,0,10,15,52,3,78,0,3,79,131,482,54,756,0,0,47,75
LGA31900,4,0,44,51,423,32,553,0,0,5,3,101,5,116,4,3,29,29,371,30,472,0,0,9,10,55,3,76,0,0,3,7,210,15,237,0,0,0,4,30,0,40,0,0,10,5,83,11,109,0,0,3,9,34,3,50,0,0,4,4,50,6,61,0,0,0,0,6,0,6,0,0,9,5,0,0,15,0,0,0,3,9,0,14,6,0,27,4,22,3,63,0,0,5,0,23,3,31,3,4,26,37,75,3,149,8,6,43,6,18,3,80,0,0,32,14,26,4,72,0,0,0,0,3,0,7,3,0,3,0,106,4,119,0,0,3,4,61,16,82,34,25,246,202,1701,136,2337,0,0,45,30,49,9,132,0,0,3,0,10,0,11,0,0,12,21,47,0,86,0,0,0,0,13,0,17,0,0,0,6,14,0,20,0,0,3,3,8,0,13,3,0,23,17,82,15,139,0,0,9,7
