LGA_CODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,14,0,0,4,3,4,0,14,3,0,3,3,8,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,11,12,20,4,58,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,6,8,27,4,49,0
LGA30300,11,3,24,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,7,7,0,9,0,0,0,0,3,0,3,0,0,13,0,0,0,13,0,0,0,3,3,3,10,0,3,10,13,8,0,30,5,12,55,14,26,0,117,7,9,60,29,25,7,140,0,0,0,0,0,0,0,0,0,0,4,11,0,19,0,0,6,3,3,9,13,19,26,191,137,158,36,562,0,5,78,85,149,20,346,0,0,0,0,3,0,3,0,0,4,3,13,3,22,0,0,0,0,13,0,14,0,0,7,6,51,0,60,0,0,7,4,27,3,45,5,0,7,13,31,12,65,0,0,5,10,27,3,42,0,0,0,7,10,4,19,0,0,0,0,0,0,0,0,0,4,7,7,0,14,0,0,0,0,6,0,6,0,0,15,0,5,0,23,0,0,0,3,9,3,11,3,3,17,33,27,3,76,10
LGA30370,44,0,68,0,0,0,10,10,0,19,0,0,5,0,0,0,3,0,0,11,10,13,0,34,0,0,4,6,14,0,24,4,0,17,6,17,0,47,0,0,10,7,23,4,44,0,3,22,10,52,3,88,15,39,173,41,56,11,326,13,15,92,62,96,20,302,0,0,0,0,3,0,10,3,0,15,14,50,0,80,0,0,5,3,9,16,42,49,80,483,294,610,112,1615,11,17,94,104,246,61,529,22,10,85,45,445,23,623,3,0,29,22,145,23,231,7,3,30,31,176,5,255,0,0,3,12,181,14,216,0,0,6,6,60,5,90,3,0,19,19,98,16,147,3,0,14,14,69,3,106,0,0,3,11,43,7,69,0,3,3,0,4,0,16,0,0,12,11,13,0,36,0,0,7,6,27,0,43,8,0,32,9,34,3,83,0,0,8,14,49,4,83,5,3,45,36,97,5,194,17
LGA30410,9,0,13,0,0,5,0,6,0,11,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,5,0,14,0,0,0,0,6,0,9,0,0,5,0,15,0,23,8,5,38,10,20,0,74,0,7,30,17,26,3,87,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,3,0,4,3,11,6,10,117,50,146,21,359,3,0,28,25,96,13,159,0,0,0,0,7,0,4,0,0,0,0,9,0,12,0,0,0,6,9,0,21,4,0,8,0,52,3,64,0,0,0,3,4,0,7,0,0,3,0,18,6,31,0,0,3,8,13,0,18,0,0,6,5,20,3,31,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,5,6,0,15,7,10,0,30,0,0,0,0,5,0,10,7,0,19,13,29,3,67,8
LGA30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,3,32,0,0,3,8,10,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,20,0,27,0
LGA30760,3,0,9,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,4,7,7,0,23,3,3,27,6,10,0,46,3,7,18,14,23,3,66,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,3,0,3,8,7,76,58,97,12,250,0,3,26,30,53,13,120,0,0,0,0,3,0,3,0,0,0,0,8,0,8,0,0,0,0,9,0,8,0,0,0,0,21,3,21,0,0,3,0,8,0,11,0,0,0,0,27,3,30,0,0,3,3,10,0,17,0,0,0,3,12,6,20,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,3,0,0,3,0,0,0,10,0,0,0,0,0,0,7,0,3,3,12,28,3,43,3
LGA30900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,7,0,6,3,0,3,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,24,3,49,0,0,0,3,39,3,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,0,14,0
LGA31000,2979,415,9657,401,160,1558,995,1193,171,4472,293,224,1293,411,359,50,2634,843,401,3303,1818,1437,186,7992,415,144,1480,810,1111,169,4133,3336,1565,10643,2464,2112,366,20488,564,235,2732,1513,1610,290,6952,2411,1689,7052,2488,2160,283,16080,7657,4016,15346,3655,3474,520,34661,6134,3077,22982,7681,7267,1185,48331,289,165,1323,540,631,83,3031,468,262,1782,1724,2853,231,7315,610,168,1867,925,972,696,5244,26641,13147,85345,32453,35113,5602,198312,199,56,567,236,328,59,1444,1362,365,3131,537,1115,107,6616,1583,391,5065,2834,7455,560,17885,787,251,1785,761,1122,78,4783,1118,380,5588,3212,17557,757,28616,1087,273,3080,1612,3108,297,9453,1681,427,8495,4650,8088,925,24276,1470,254,6353,4214,6650,841,19777,1550,484,4949,3626,5813,719,17151,755,344,3053,1158,1278,152,6741,2289,903,7501,3617,2384,386,17080,941,318,3394,1528,2438,333,8956,9601,3205,26802,5622,4429,970,50623,1130,402,4935,2574,3582,555,13181,5032,2908,13499,5722,5662,615,33434,13070
LGA31750,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,10,0,19,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,10,14,29,4,56,0,0,0,7,15,9,31,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,14,0,0,0,0,0,0,0,0,0,3,0,5,0,12,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,20,3,34,0
LGA31820,325,37,488,0,3,13,20,77,13,119,3,0,19,5,19,3,58,8,5,32,42,92,5,183,3,3,24,26,96,12,158,19,19,165,51,123,9,390,3,7,34,52,136,20,253,21,20,124,127,145,14,450,124,170,827,266,426,39,1851,139,172,1076,739,1102,138,3371,3,3,19,8,47,8,86,5,6,27,70,244,4,361,4,4,31,26,99,63,224,356,431,2743,1810,3838,487,9660,26,21,240,179,743,147,1354,3,0,14,39,336,12,405,19,13,95,111,924,48,1205,0,3,23,28,184,8,249,3,4,60,103,1500,53,1732,3,0,28,37,223,15,305,15,3,143,198,988,96,1442,8,0,75,123,602,62,869,3,5,32,65,397,50,548,6,3,35,14,76,7,141,11,7,58,94,117,12,296,8,7,34,50,162,18,273,53,32,326,104,253,37,812,3,7,51,74,338,31,504,50,44,261,294,456,32,1139,202
