LGA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA30250,0,15,3,5,4,25,3,0,3,3,13,0,19,0,0,0,0,0,0,0,0,0,0,3,4,3,18,0,0,0,0,5,0,6,3,0,22,23,69,17,142
LGA30300,15,60,16,26,4,135,13,10,70,37,37,7,167,0,0,0,0,0,0,3,0,0,0,3,38,0,49,0,0,3,6,10,18,37,31,32,275,234,490,81,1143
LGA30370,39,200,45,61,15,375,10,20,107,69,104,22,334,0,0,6,0,7,0,18,10,0,12,19,119,3,169,0,0,5,15,62,37,121,102,101,730,486,2059,259,3740
LGA30410,8,46,10,24,0,88,0,7,38,19,34,9,105,0,0,0,0,4,0,3,0,0,5,4,16,0,25,0,0,8,0,14,4,23,24,16,175,96,365,42,717
LGA30450,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,14,35,8,71
LGA30760,4,31,5,15,0,58,3,7,18,18,23,3,70,0,0,0,0,0,0,3,0,0,0,0,12,3,15,0,0,0,4,10,3,17,3,15,91,83,230,41,476
LGA30900,6,3,0,3,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,13,10,62,9,96
LGA31000,5353,21532,4800,4931,776,50466,9652,3988,31654,9565,9317,1653,65822,606,295,2664,1120,1583,192,6456,990,443,3141,2670,6945,421,14603,1464,310,4105,2007,4016,1686,13577,56361,21328,161290,62070,97809,12089,410947
LGA31750,0,6,0,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,6,5,0,13,17,73,14,125
LGA31820,236,1172,344,548,53,2546,270,211,1411,885,1421,166,4356,3,5,26,19,86,8,145,14,10,51,98,689,23,898,11,3,56,57,435,147,700,712,616,4179,2921,10482,1018,19921
LGA31900,37,213,57,99,16,455,9,16,150,118,194,26,509,0,0,0,3,14,0,20,3,0,10,14,159,4,194,0,0,9,11,77,37,127,68,81,729,525,2433,249,4084
LGA31950,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,3,0,9,0,0,0,0,0,0,3,0,4,12,12,42,13,82
LGA32080,584,2356,697,988,149,5472,769,492,3124,1744,2175,303,8610,38,21,172,174,343,45,791,67,46,296,321,1390,100,2218,62,12,217,251,831,294,1671,2631,1725,11938,8567,20878,2309,48050
LGA32250,3,25,3,17,3,55,6,4,11,14,12,4,56,0,0,0,0,0,0,0,0,0,0,4,5,0,13,0,0,0,0,9,10,21,15,8,71,72,220,37,430
LGA32260,88,328,100,162,26,754,26,35,234,193,318,42,844,0,0,16,12,44,8,77,11,4,18,28,243,12,318,6,3,22,21,158,59,274,176,167,1187,979,3730,509,6747
LGA32270,88,414,91,184,20,841,29,31,225,111,132,20,554,0,0,3,10,20,0,41,3,5,27,35,310,26,403,3,0,16,19,135,36,210,204,190,1485,1009,4339,409,7642
