LGA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
LGA30250,8,16,24,33,28,18,4,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,3,3,0,0,0,21,0,3,12,3,3,3,0,0,0,22,0,3,0,9,7,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,18
LGA30300,50,82,196,229,264,214,91,27,4,1162,10,5,32,31,45,52,18,7,0,203,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,3,0,0,16,0,0,4,6,6,0,0,0,0,21,22,11,22,21,18,14,10,0,0,124,9,4,17,5,13,5,3,0,0,54,0,0,4,7,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,6,9,0,3,0,0,0,17,0,3,0,0,3,0,0,0,0,8,0,0,7,3,3,6,0,0,0,26,5,0,3,0,6,9,0,0,0,30,0,7,9,11,9,5,0,0,0,47,6,14,32,41,37,25,7,0,0,161,3,13,43,35,56,35,9,0,0,199,0,0,0,0,0,0,0,0,0,3,0,3,4,9,5,0,0,0,0,23
LGA30370,217,336,821,822,845,697,259,75,5,4066,11,20,68,87,111,100,72,21,8,507,3,19,44,44,36,6,0,3,0,145,15,14,33,29,24,15,3,0,0,130,0,5,19,9,14,9,0,0,0,57,3,10,11,19,10,8,0,0,0,63,0,3,17,19,8,5,0,0,0,54,70,31,48,75,86,46,8,0,0,364,49,28,47,32,39,24,6,0,0,214,0,0,8,17,23,11,5,0,0,60,0,0,0,0,0,3,0,0,0,13,3,7,17,9,10,8,0,0,0,48,0,4,7,7,8,4,0,0,0,33,8,8,23,26,18,5,0,0,0,97,3,10,18,23,34,22,6,0,0,116,0,11,28,31,40,16,3,0,0,132,5,24,93,124,101,73,9,3,0,432,14,28,74,74,119,98,18,0,0,424,0,0,10,3,4,0,0,0,0,14,6,12,38,23,22,20,4,0,0,117
LGA30410,30,77,122,131,185,147,53,22,0,766,7,11,27,27,34,39,14,4,0,166,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,4,0,4,0,0,0,0,11,4,0,0,4,0,0,0,0,0,8,9,3,13,10,14,6,3,0,0,61,4,3,0,4,6,11,3,0,0,32,0,0,3,5,10,3,0,0,0,26,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,3,4,10,3,0,0,0,0,18,0,0,4,3,10,3,3,0,0,22,0,0,6,12,19,9,3,0,0,51,3,12,25,26,22,10,0,0,0,100,4,9,20,16,28,28,5,0,0,117,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,3,0,0,0,11
LGA30450,10,7,17,11,28,18,5,0,0,98,0,4,3,3,5,6,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,8,0,3,0,0,21,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30760,21,26,81,92,91,119,45,8,0,492,0,3,12,10,22,25,16,4,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,12,8,3,9,14,7,7,0,0,0,48,3,0,4,5,10,4,4,0,0,31,0,0,0,3,5,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,9,0,0,0,4,0,3,0,0,0,11,0,6,11,10,10,11,0,0,0,38,0,8,19,16,13,4,4,0,0,58,0,3,9,18,19,18,4,0,0,82,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,9
LGA30900,10,15,26,14,23,28,5,0,0,121,3,9,12,3,8,8,3,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,15,0,0,6,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA31000,12646,31083,76726,67875,57938,36511,9733,1204,139,293858,29,75,199,219,164,118,45,17,0,859,8,84,832,731,356,131,14,0,0,2154,381,622,1907,1954,2028,1144,226,15,0,8276,4,57,474,597,388,186,13,4,0,1728,115,436,1417,1455,1238,702,149,17,0,5533,125,443,1267,1257,1260,655,137,5,0,5158,4188,6035,5805,3566,3659,2422,637,38,3,26345,5803,5194,5170,2143,1731,976,207,13,7,21248,97,541,1964,1901,1762,934,169,13,0,7379,201,547,1095,861,653,360,74,6,0,3789,92,802,3528,3274,2181,1059,179,18,3,11137,194,732,1614,1258,1279,785,270,43,10,6186,420,3018,8020,6605,4551,2288,547,51,4,25506,213,1141,3177,2406,1984,1256,305,24,5,10510,138,1040,4953,6013,5139,2748,361,13,0,20414,902,2651,8121,9617,10607,6708,1226,86,7,39928,1041,5362,15333,12788,12439,8635,1669,87,0,57350,451,748,1217,920,711,449,153,18,0,4676,501,1297,2782,2111,1925,1069,265,20,3,9977
LGA31750,4,9,17,25,20,32,12,0,0,123,3,4,8,3,0,9,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,9,9,3,0,0,0,26,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA31820,1124,1512,3173,3404,3973,3287,821,121,15,17435,30,104,248,155,234,182,80,22,5,1053,0,3,5,15,17,9,0,0,0,50,35,32,85,89,135,99,17,3,0,488,0,0,3,7,19,4,0,0,0,37,8,10,63,76,87,61,15,0,0,316,11,18,34,38,47,34,10,0,0,199,446,258,347,404,469,325,40,0,0,2294,436,204,216,194,196,139,27,0,0,1422,6,18,30,66,70,55,19,0,0,267,12,24,21,19,23,9,0,0,0,110,7,36,103,72,94,43,10,0,0,360,16,37,59,63,45,58,14,4,0,294,20,51,134,131,129,102,37,4,0,613,18,33,104,136,161,125,29,5,0,616,7,24,139,160,184,138,14,0,0,663,31,79,305,609,647,457,73,5,0,2203,90,283,728,905,1200,965,137,4,0,4308,16,15,20,26,36,27,8,7,0,163,40,50,117,105,138,82,26,3,0,551
