LGA_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
LGA30250,0,0,0,0,0,0,0,0,0,7,4,11,27,23,20,19,0,0,0,97,0,0,0,0,0,0,0,0,0,4,3,4,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,3,4,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,3,15,14,19,12,0,0,0,67,0,4,9,8,4,3,0,0,0,31,0,4,0,8,10,4,0,0,0,24,0,0,4,4,0,0,0,0,0,9
LGA30300,7,3,3,7,9,6,0,0,0,41,62,71,196,193,224,184,56,4,3,993,23,39,128,124,178,162,74,25,4,756,0,0,3,5,0,0,0,0,0,13,0,3,13,7,3,3,0,0,0,34,0,0,7,5,6,0,0,0,0,20,7,13,17,23,27,14,11,0,0,110,3,7,10,14,16,14,3,3,0,69,38,18,29,38,26,24,10,3,0,188,11,6,20,6,20,13,5,0,0,83,0,0,7,15,20,13,8,0,0,63,0,0,0,0,0,3,0,0,0,3,0,0,6,10,3,3,0,0,0,16,0,3,0,0,3,0,0,0,0,9,0,0,12,10,6,11,0,0,0,36,5,0,9,3,11,9,0,0,0,38,0,9,25,31,26,29,3,0,0,125,7,17,37,45,41,31,10,0,0,184,3,13,56,41,65,40,13,0,0,237,0,0,0,3,0,0,0,0,0,6
LGA30370,9,7,11,20,22,13,9,3,0,95,200,238,622,682,721,473,140,41,9,3115,36,65,206,227,277,306,203,85,12,1414,16,66,253,284,277,149,19,3,0,1069,38,57,130,135,79,57,14,4,0,512,9,37,82,58,95,63,5,0,0,354,23,48,85,74,75,53,17,3,0,370,4,15,59,46,27,14,3,0,0,166,115,51,77,91,113,64,8,4,0,525,80,33,66,38,54,31,12,0,0,314,6,10,30,47,47,49,11,3,0,202,0,3,6,9,4,5,0,0,0,24,3,7,16,12,11,4,0,0,0,62,0,4,12,17,11,5,3,0,0,54,11,18,35,41,28,12,3,0,0,143,4,25,32,39,46,32,14,0,0,184,3,18,54,69,96,53,20,0,0,318,7,25,108,134,115,82,7,3,0,491,14,28,86,83,125,106,23,0,0,469,0,3,11,3,5,0,0,0,0,25
LGA30410,4,0,6,5,4,0,3,3,0,34,39,56,133,128,157,131,37,11,0,682,13,36,85,75,101,88,44,24,0,461,3,0,0,5,3,4,0,0,0,18,3,3,7,0,3,3,0,0,0,23,0,0,7,9,8,7,0,0,0,25,3,12,19,24,33,23,4,0,0,121,4,0,3,8,3,0,0,0,0,13,11,5,10,11,18,11,3,0,0,74,6,7,0,9,7,16,3,0,0,51,0,4,9,11,40,16,3,0,0,87,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,8,0,7,16,9,10,5,0,0,0,52,0,3,8,3,10,9,3,0,0,28,6,8,15,24,43,28,4,0,0,126,3,12,30,27,24,13,3,0,0,113,4,16,26,20,29,28,13,0,0,136,0,0,5,3,0,5,0,0,0,16
LGA30450,0,0,0,0,0,0,0,0,0,0,3,4,8,10,23,12,7,0,0,72,3,7,7,6,16,20,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,3,0,0,0,13,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,14,10,19,3,5,0,0,52,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA30760,0,0,5,3,0,0,0,0,0,17,13,26,85,95,98,90,29,3,0,446,3,18,34,48,63,79,35,9,0,296,0,0,0,3,0,3,0,0,0,8,0,3,3,4,3,4,0,0,0,15,0,0,6,0,0,5,0,0,0,9,3,3,15,10,5,6,3,0,0,53,0,0,3,4,9,4,4,0,0,30,13,6,9,17,10,10,3,0,0,77,7,0,11,6,10,10,3,0,0,41,0,0,3,15,13,11,4,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,8,0,0,4,3,3,0,0,0,0,13,0,0,0,4,0,3,0,0,0,13,6,6,17,22,21,24,8,0,0,104,0,8,23,19,10,5,4,0,0,67,0,3,12,24,20,18,9,0,0,86,0,0,0,3,3,3,0,0,0,3
LGA30900,0,0,0,0,0,0,0,0,0,0,3,16,29,8,9,23,3,0,0,94,14,22,29,9,15,19,6,0,0,108,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,12,0,0,0,38,0,0,9,0,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA31000,393,956,2203,1984,1590,929,276,79,36,8437,15307,31770,71072,61649,55658,33553,6942,567,75,276593,86,190,505,489,455,293,164,36,3,2232,17,219,2390,2524,1606,670,109,3,0,7537,764,2101,6463,6940,6988,4159,815,72,6,28312,31,223,1359,1795,1496,811,96,13,0,5818,1273,4089,10967,9109,7470,4418,993,84,7,38406,341,1192,3580,3820,3716,2156,517,46,3,15378,6957,10900,11667,7197,6545,4323,1283,121,5,49001,10091,9836,10854,4694,3419,2017,480,54,9,41446,308,1732,6979,6640,6509,4512,1082,90,7,27869,373,1162,2692,2265,1826,946,187,20,0,9474,162,1423,6751,6529,4641,2282,492,63,16,22356,326,1286,3260,2761,2597,1718,719,136,21,12823,792,5727,17526,15944,11401,6271,1811,206,13,59693,506,2339,6087,4560,3651,2422,644,65,10,20281,359,2872,10210,11645,10616,5903,866,52,3,42528,1532,4327,12336,13781,14510,9679,2057,161,10,58395,1368,6978,20516,17739,16752,11628,2548,220,19,77779,927,1568,2648,1998,1515,964,319,53,4,9998
LGA31750,0,0,0,0,0,3,0,0,0,4,8,10,25,18,16,22,0,0,0,94,3,7,15,7,6,11,8,0,4,65,0,0,0,4,0,5,0,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,3,3,3,10,3,0,0,16,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,18,13,6,0,0,0,58,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
LGA31820,35,44,94,90,107,95,30,13,8,520,1272,1332,2847,3354,4048,3013,578,84,14,16534,119,329,699,543,719,565,275,75,8,3332,3,28,156,191,196,105,12,0,0,695,112,179,392,414,539,459,84,4,0,2183,7,13,55,76,100,71,11,0,0,334,95,220,533,557,578,492,84,8,0,2563,38,65,113,128,177,136,20,0,0,682,754,479,665,665,713,519,81,12,0,3887,712,353,358,313,317,229,60,10,0,2345,18,51,137,242,355,357,98,3,0,1268,27,32,59,50,50,36,3,0,0,260,12,38,129,114,140,70,13,0,0,516,22,45,81,104,86,106,31,6,0,486,25,84,250,255,243,200,77,12,0,1144,44,77,196,213,271,225,46,11,0,1088,23,71,265,397,484,375,32,3,0,1649,52,109,399,782,895,654,116,13,0,3018,120,362,966,1169,1518,1197,192,13,0,5533,31,29,36,47,56,58,16,6,0,283
