LGA_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
LGA30250,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,5,18,13,0,6,0,46,0,0,0,0,5,3,0,0,0,8,0,0,0,0,4,0,0,3,0,5,0,0,0,5,4,0,0,0,0,9,0,0,0,4,3,3,0,0,0,13,0,0,0,0,0,0,0,0,4,7
LGA30300,14,22,16,28,31,71,32,330,13,555,0,0,0,0,0,0,0,6,0,9,0,0,0,3,4,3,5,10,0,22,0,0,0,0,3,6,4,0,0,22,3,0,4,8,8,10,4,42,0,89,0,0,4,3,3,3,11,25,3,49,3,5,8,10,12,7,8,12,5,69,0,0,0,3,3,0,0,10,0,29,0,8,3,3,7,5,3,18,4,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,13,0,0,0,0,0,5,0,0,0,8,0,0,3,5,23,24,15,9,0,75,0,3,0,4,3,0,5,7,0,28,0,0,0,3,12,10,0,7,0,35,0,0,0,0,0,0,0,0,0,4,0,3,3,0,7,12,8,9,0,50,0,0,4,3,6,11,4,14,11,55
LGA30370,19,41,22,32,38,107,50,593,13,913,54,10,10,17,59,83,187,482,14,918,16,9,3,7,127,81,56,69,9,384,7,4,3,7,81,48,46,87,7,298,12,9,13,10,37,49,40,127,10,308,7,5,0,0,20,13,15,37,0,104,4,29,16,13,26,21,18,29,0,160,4,29,4,7,9,11,7,25,3,97,12,8,4,6,15,19,10,62,4,139,3,0,0,0,4,0,0,0,0,13,0,0,0,0,3,0,3,0,0,10,0,0,0,0,3,0,0,14,0,21,0,5,0,3,7,10,0,23,0,51,3,5,4,0,16,8,8,18,0,70,7,3,0,4,51,50,42,19,6,191,0,4,3,7,9,8,12,16,0,61,3,4,9,10,10,3,3,12,0,50,0,3,0,0,0,4,3,3,0,11,3,3,8,4,27,30,16,34,0,123,4,13,4,8,16,32,9,31,39,158
LGA30410,3,9,3,13,12,51,16,193,8,301,0,0,0,0,0,7,4,9,0,19,0,0,0,0,3,3,0,3,0,12,0,0,0,0,7,8,5,0,0,21,0,0,0,0,30,33,15,29,0,110,0,0,0,0,0,0,3,3,0,6,0,3,0,3,0,0,3,8,0,12,0,7,0,0,0,0,0,10,0,13,0,3,0,0,10,15,12,14,4,59,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,14,3,4,5,0,30,0,0,0,0,3,0,0,3,0,11,3,0,0,3,25,19,13,10,0,75,0,0,0,0,0,0,0,9,0,16,3,0,0,0,0,8,5,3,0,17,0,0,0,0,0,4,3,0,0,12,0,0,0,3,0,4,3,3,0,22,0,0,0,0,0,4,0,4,5,18
LGA30450,4,3,0,0,0,3,0,28,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,8,3,11,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30760,10,0,0,9,8,29,10,127,4,198,0,0,0,0,0,0,0,7,0,7,0,0,0,3,0,0,0,5,0,11,0,0,0,0,5,0,0,0,0,9,5,0,0,0,7,17,8,18,0,50,0,0,0,0,0,5,0,9,0,22,0,7,3,3,0,3,0,7,0,24,0,3,4,0,0,0,0,9,0,15,0,0,3,0,3,8,0,15,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,5,0,3,0,0,20,14,10,4,3,67,0,0,0,0,5,4,0,0,0,12,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,3,0,13,0,0,0,0,0,3,0,9,8,27
LGA30900,0,0,0,0,0,3,5,55,0,69,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,7,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7
LGA31000,28,107,116,116,177,295,152,368,15,1367,230,86,80,103,588,1233,800,2237,40,5381,332,566,680,895,5402,4897,3142,3964,157,20037,95,54,86,135,744,1449,578,922,24,4090,636,1127,1329,1899,3963,8810,4610,10146,358,32874,159,352,375,460,2324,2618,1505,2364,60,10221,458,3998,2687,2433,4062,3241,2022,3544,220,22657,413,5097,3483,2279,2464,1983,1327,2876,292,20200,642,813,1249,1817,4299,4273,2646,4486,266,20487,113,333,245,336,1440,1390,698,1100,37,5688,179,275,356,454,2491,3169,1480,2774,48,11225,92,419,349,445,872,1395,743,2273,56,6643,559,1646,1425,1679,4884,10185,4547,9089,178,34188,194,1178,1580,1057,1703,1746,809,1420,86,9768,828,595,620,918,6714,5847,3283,3139,167,22117,393,2750,1195,1640,3524,3551,1813,3430,168,18473,571,1415,1471,2219,4711,4330,2001,3540,176,20426,130,966,497,585,891,946,422,836,53,5327,151,709,659,779,1979,2097,1142,1904,96,9508,283,945,823,823,2212,2728,962,2189,2231,13191
LGA31750,3,0,0,0,0,4,0,23,5,40,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,7,7,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4
LGA31820,48,106,111,214,261,394,240,857,43,2279,74,9,18,6,37,29,93,366,15,647,35,47,39,98,334,455,306,358,12,1690,9,8,3,21,106,53,32,53,5,299,64,106,82,196,374,522,300,579,29,2246,10,26,16,33,91,108,73,130,9,480,46,264,124,178,309,196,172,290,21,1595,14,258,108,121,88,75,55,180,17,925,36,60,65,88,131,145,103,349,20,994,8,18,6,10,31,21,17,23,0,148,0,4,4,6,35,37,20,39,0,151,3,19,15,10,19,29,27,63,4,193,10,42,27,34,78,122,57,155,3,530,20,83,54,63,64,81,38,79,3,473,33,27,36,44,387,218,116,107,7,986,24,79,52,129,129,126,103,159,8,816,48,67,93,181,331,239,97,157,14,1224,3,22,8,13,26,12,15,26,0,119,12,48,38,43,178,147,86,147,15,724,38,66,49,51,166,130,74,138,190,906
