LGA_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
LGA30250,4,5,5,20,40,28,3,25,5,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,3,0,3,0,21,0,0,0,7,6,3,0,9,0,22,0,0,0,0,4,3,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,0,0,0,0,18
LGA30300,24,48,42,81,130,184,109,513,32,1162,12,29,18,18,21,34,3,72,3,203,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,5,3,3,4,3,0,0,0,16,0,5,0,4,4,3,3,0,0,21,0,25,15,29,18,6,4,12,0,124,0,14,10,7,3,4,3,7,0,54,0,3,4,0,0,3,3,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,6,3,0,0,17,0,0,0,0,0,0,0,0,0,8,0,0,4,8,0,4,0,4,0,26,0,10,7,4,0,0,0,3,0,30,3,7,0,5,10,5,7,5,0,47,7,28,24,39,8,12,14,24,0,161,13,18,33,31,41,38,9,12,3,199,0,0,0,0,0,0,0,0,0,3,3,0,3,6,3,3,0,0,0,23
LGA30370,165,194,105,131,568,576,534,1693,102,4066,12,63,41,42,15,82,30,215,12,507,7,7,7,10,11,12,27,65,4,145,8,26,4,13,34,22,10,12,0,130,3,3,7,7,15,9,5,12,0,57,3,12,4,7,4,10,7,10,3,63,3,4,7,10,18,9,3,5,0,54,17,75,67,73,54,30,17,23,3,364,5,63,34,40,23,15,17,24,4,214,0,17,9,5,4,9,5,7,0,60,0,3,0,0,3,0,0,0,0,13,6,0,12,9,12,5,5,3,0,48,4,8,3,0,5,3,4,5,0,33,3,10,17,18,24,5,7,8,0,97,0,21,13,20,17,19,7,18,0,116,8,13,20,18,33,28,10,5,3,132,22,57,45,93,53,47,40,71,3,432,25,33,73,104,72,53,15,33,3,424,0,3,3,0,0,0,0,0,0,14,9,20,19,25,13,17,9,8,6,117
LGA30410,22,24,6,34,107,155,77,312,16,766,3,12,3,10,8,19,9,96,6,166,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,8,0,8,10,8,12,4,5,9,0,61,0,11,4,4,0,0,4,10,0,32,0,3,3,0,4,10,0,5,0,26,0,6,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,4,3,9,0,0,3,0,18,0,8,3,0,0,6,0,3,0,22,3,3,3,10,19,8,4,0,0,51,3,15,12,36,10,7,7,18,0,100,12,5,17,21,16,26,6,15,0,117,0,0,0,0,0,0,0,3,0,6,0,4,3,3,3,0,0,0,0,11
LGA30450,3,3,7,3,5,19,10,50,0,98,0,0,0,0,0,3,0,15,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,21,0,3,0,0,0,0,3,4,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30760,21,22,20,28,53,91,39,212,14,492,3,0,7,8,4,14,3,48,7,98,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,4,0,0,0,12,3,11,3,11,9,4,3,5,0,48,0,3,3,6,0,0,0,9,3,31,0,3,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,9,0,3,3,0,0,0,0,0,0,11,0,3,3,3,12,6,4,0,0,38,10,8,6,13,6,3,4,9,0,58,8,5,15,13,9,18,0,11,3,82,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9
LGA30900,3,4,0,4,9,14,8,77,4,121,0,0,0,0,3,4,6,32,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,3,0,15,0,3,0,9,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA31000,6472,23417,19296,21072,55442,66183,34673,62591,4705,293858,21,145,131,112,133,134,53,112,14,859,142,48,118,142,354,584,306,452,9,2154,233,889,788,949,2238,1650,769,701,57,8276,91,55,135,168,367,501,215,187,3,1728,145,658,627,697,935,1243,517,674,41,5533,115,410,499,595,1260,1217,508,534,23,5158,814,6938,4529,4076,4376,2384,1394,1572,269,26345,564,6870,4022,3129,2368,1583,988,1456,274,21248,366,440,746,968,1875,1450,721,746,70,7379,141,378,383,448,935,678,345,452,17,3789,546,520,1009,1230,3038,2511,1077,1133,72,11137,173,682,604,685,1202,1324,600,879,33,6186,933,2702,2916,3031,4668,5323,2395,3395,140,25506,329,1775,1904,1297,1784,1599,730,1011,92,10510,1310,825,1710,2151,6612,4200,2021,1470,125,20414,1649,6582,5304,6034,6528,5345,3099,5121,262,39928,2877,5971,9160,10895,12631,8463,3258,3638,444,57350,204,1155,658,658,643,595,290,418,54,4676,270,1820,1434,1576,2045,1344,688,710,90,9977
LGA31750,8,3,3,3,11,14,12,65,10,123,0,0,0,3,0,3,0,13,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,0,4,0,26,0,0,0,7,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA31820,540,1372,974,1536,3167,3149,2021,4264,413,17435,21,146,115,187,128,155,88,180,21,1053,3,3,3,0,3,3,5,26,0,50,8,62,72,73,89,87,58,43,3,488,0,5,7,8,14,7,0,0,0,37,12,54,46,51,54,50,12,33,8,316,7,29,28,28,44,33,17,10,3,199,79,561,379,464,419,142,98,143,16,2294,36,432,250,287,111,75,56,152,26,1422,13,59,36,41,42,26,20,30,3,267,3,14,9,19,29,18,13,8,0,110,32,20,42,45,117,46,26,36,3,360,3,34,27,34,100,30,20,32,0,294,22,109,67,93,128,99,46,46,3,613,14,167,111,90,96,63,21,38,6,616,44,60,54,68,261,95,50,41,5,663,75,290,317,537,294,208,167,284,17,2203,230,297,635,997,1069,534,208,284,47,4308,11,56,22,23,21,11,4,14,0,163,14,113,81,112,105,51,37,30,6,551
