LGA_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
LGA30250,0,0,0,0,0,0,0,0,3,7,3,12,7,19,27,15,3,19,4,97,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,3,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,5,3,4,29,17,0,7,0,67,0,0,0,7,5,3,0,6,0,31,0,0,0,0,14,6,0,6,0,24,0,0,0,5,4,0,0,0,0,9
LGA30300,0,3,4,3,10,5,0,6,10,41,38,162,132,167,137,130,46,156,22,993,23,50,33,42,44,102,38,400,16,756,0,0,0,0,0,0,0,6,0,13,0,4,3,5,5,3,6,15,0,34,0,0,0,3,3,6,4,0,0,20,3,9,6,12,18,12,4,42,0,110,0,5,3,6,8,10,12,29,3,69,4,33,20,37,36,19,12,18,8,188,3,14,16,12,4,6,4,23,3,83,0,8,11,4,7,12,5,17,4,63,0,0,0,0,0,0,0,0,0,3,3,0,4,3,0,6,4,0,0,16,0,0,0,0,3,0,0,0,0,9,0,3,6,7,4,6,0,9,0,36,0,10,6,6,3,5,0,0,0,38,5,7,3,9,39,30,15,11,0,125,10,30,24,47,15,16,20,29,0,184,13,20,30,38,51,44,9,22,3,237,0,0,0,0,0,0,0,0,0,6
LGA30370,3,12,10,3,14,13,4,8,24,95,128,453,390,501,428,391,222,540,66,3115,28,104,60,72,58,186,81,809,24,1414,65,17,21,21,74,96,210,548,15,1069,22,33,11,16,166,103,64,82,13,512,12,12,7,14,98,60,54,99,7,354,20,21,12,21,47,58,45,135,15,370,8,7,12,17,42,27,16,41,0,166,19,104,81,84,85,52,37,53,7,525,15,90,41,45,33,25,19,47,9,314,12,25,14,18,22,23,18,72,3,202,3,3,0,0,8,0,0,3,0,24,6,3,12,9,15,8,8,5,0,62,0,11,3,0,10,7,4,17,0,54,5,14,15,19,25,21,12,35,0,143,3,24,12,22,36,26,20,37,3,184,16,16,21,22,78,75,56,27,6,318,22,56,53,102,63,57,49,89,3,491,25,41,84,113,82,62,19,44,3,469,3,8,3,0,3,9,4,3,0,25
LGA30410,0,3,4,0,3,4,3,7,5,34,30,79,66,106,90,87,45,172,14,682,11,20,4,27,12,70,27,291,9,461,0,0,0,0,0,7,4,14,0,18,0,0,0,5,5,3,3,3,0,23,0,3,0,0,9,10,5,4,0,25,0,3,0,0,32,37,16,33,0,121,0,0,3,0,0,0,4,3,0,13,0,10,10,12,12,7,13,14,0,74,6,11,4,8,0,0,4,18,0,51,0,7,3,0,19,23,9,21,4,87,0,6,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,8,0,3,3,3,22,3,4,11,0,52,5,8,3,0,5,9,0,5,0,28,3,3,3,8,48,27,15,9,0,126,7,15,8,37,14,9,9,26,0,113,10,6,17,21,19,29,12,13,0,136,0,0,0,0,0,3,3,4,0,16
LGA30450,0,0,0,0,0,0,0,0,0,0,0,3,3,4,10,10,4,32,0,72,7,4,0,0,0,10,3,42,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,19,5,15,0,52,0,3,0,0,0,0,3,4,0,8,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA30760,0,0,3,0,0,0,0,3,3,17,27,49,45,71,56,59,21,96,17,446,14,0,9,11,12,48,16,176,11,296,0,0,0,0,0,0,0,4,0,8,0,3,5,3,0,0,0,7,0,15,0,0,0,0,5,0,0,0,0,9,5,0,0,4,7,17,8,20,0,53,0,0,0,4,3,8,0,9,0,30,4,14,6,14,9,5,6,9,0,77,0,6,5,12,3,0,0,17,3,41,0,8,3,7,4,5,0,15,0,39,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,8,0,3,0,0,3,0,0,0,0,13,0,3,3,0,0,5,0,0,0,13,3,3,5,3,38,25,16,6,5,104,10,6,6,11,13,9,4,13,0,67,6,5,15,20,10,17,0,9,3,86,0,0,0,0,0,0,3,0,0,3
LGA30900,0,0,0,0,0,0,0,0,0,0,4,5,3,5,15,6,10,39,4,94,3,0,0,0,6,8,10,82,0,108,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,17,4,0,8,3,38,0,4,0,11,4,0,0,3,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA31000,264,1275,960,900,1260,1180,350,609,1636,8437,11193,40138,37662,39744,55238,43310,20318,25258,3734,276593,50,248,245,235,302,428,210,484,27,2232,370,134,201,245,938,1818,1098,2687,47,7537,569,1453,1472,1848,7639,6550,3912,4663,211,28312,181,109,218,302,1116,1954,794,1113,26,5818,777,1784,1955,2594,4894,10048,5128,10817,399,38406,274,761,874,1057,3582,3829,2020,2891,90,15378,1274,10936,7212,6509,8435,5624,3408,5115,485,49001,975,11963,7511,5406,4832,3559,2312,4326,562,41446,1006,1251,1993,2787,6174,5720,3368,5230,338,27869,253,710,627,786,2376,2073,1044,1553,56,9474,731,793,1368,1680,5533,5677,2561,3909,115,22356,264,1102,951,1132,2073,2714,1348,3152,86,12823,1495,4346,4348,4709,9552,15515,6941,12480,323,59693,521,2954,3492,2349,3483,3342,1537,2430,177,20281,2135,1418,2333,3066,13328,10049,5301,4607,295,42528,2037,9334,6497,7678,10054,8903,4911,8551,425,58395,3452,7385,10630,13116,17343,12796,5257,7176,622,77779,331,2123,1157,1249,1533,1545,712,1247,110,9998
LGA31750,0,0,0,0,0,0,0,3,0,4,4,3,8,15,16,9,3,33,3,94,3,3,3,3,3,9,0,37,3,65,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,3,0,0,10,0,16,0,0,0,0,0,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,19,11,9,7,3,58,0,0,0,7,0,0,0,3,0,7,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,3
LGA31820,31,80,60,60,54,40,26,30,140,520,645,2591,2348,3226,3195,1784,980,1457,310,16534,70,258,234,401,390,548,334,1034,66,3332,74,10,23,13,40,32,97,393,15,695,46,112,110,166,429,537,364,404,12,2183,9,15,6,27,122,63,33,57,5,334,72,160,133,242,425,575,316,609,38,2563,15,47,42,57,140,134,91,140,9,682,123,825,503,642,727,332,264,431,37,3887,47,697,359,405,200,153,115,324,42,2345,49,116,96,127,171,178,125,381,23,1268,12,37,13,31,61,40,31,32,0,260,32,27,47,55,152,88,45,74,3,516,8,54,46,53,119,57,53,95,4,486,31,153,99,132,206,218,99,200,5,1144,33,246,167,154,161,142,60,120,11,1088,79,86,91,111,647,309,168,150,16,1649,104,376,363,665,425,340,268,440,32,3018,276,365,733,1180,1401,774,311,441,60,5533,14,83,25,35,41,26,19,41,3,283
