LGA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
LGA30250,0,3,5,5,8,8,0,0,0,34,0,0,0,3,0,0,0,0,3,10,3,17,8,31,67,39,5,38,9,231
LGA30300,3,4,6,10,11,21,8,12,0,75,0,8,4,5,16,14,4,22,23,92,67,213,178,248,264,309,153,666,57,2149
LGA30370,7,29,28,24,39,46,27,48,6,243,11,25,13,11,24,41,11,45,61,248,292,648,496,630,992,967,749,2230,167,7185
LGA30410,0,3,3,5,7,9,3,3,0,31,0,6,4,3,3,12,3,10,13,54,45,104,73,138,204,244,122,489,28,1447
LGA30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,9,10,27,12,79,0,167
LGA30760,0,3,0,3,0,4,0,7,0,20,0,0,6,3,3,3,3,10,8,38,49,66,67,96,109,149,59,313,31,932
LGA30900,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,6,8,11,3,10,23,21,19,112,5,218
LGA31000,416,2525,2100,2353,4024,3437,1834,2609,185,19486,549,2223,1784,1719,3472,3908,1311,2803,3864,21628,17663,63549,56958,60814,110684,109496,54996,87854,8445,570455
LGA31750,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,10,6,6,6,15,26,23,18,103,7,220
LGA31820,30,160,124,159,287,203,121,181,19,1280,71,147,103,112,218,176,102,168,327,1425,1189,3966,3320,4764,6359,4926,3002,5716,726,33970
LGA31900,5,26,17,33,54,65,33,62,3,305,19,34,14,13,26,46,25,47,85,308,256,820,636,854,1227,1275,778,1792,197,7841
LGA31950,0,0,0,0,4,3,0,3,0,13,0,0,0,0,0,0,0,3,7,11,6,11,7,7,19,33,17,45,6,147
LGA32080,71,314,291,355,669,561,301,460,31,3050,105,284,208,235,382,422,181,377,636,2830,2588,7071,6415,9791,15144,12180,6820,11046,1362,72405
LGA32250,0,0,0,3,9,3,0,3,0,18,0,5,0,6,6,3,0,9,16,51,27,55,30,74,137,125,79,258,35,813
LGA32260,12,57,39,59,93,78,47,67,5,448,29,50,54,73,95,77,36,59,126,606,439,1215,1169,1633,2270,1878,979,2202,305,12084
LGA32270,14,74,42,50,75,81,66,151,5,566,19,44,41,41,46,55,31,81,99,459,580,1278,952,1145,1610,1584,1532,4497,280,13460
LGA32310,9,33,17,22,27,32,14,31,3,183,9,13,13,22,28,27,10,33,37,189,203,449,367,523,679,634,351,1245,118,4579
LGA32330,0,9,0,0,8,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,7,19,4,18,47,17,4,9,4,127
LGA32450,0,0,0,6,4,7,9,22,0,47,0,3,0,3,3,4,3,11,16,52,51,68,59,96,160,238,124,672,41,1520
LGA32500,3,3,5,5,11,23,5,12,3,73,3,5,3,10,7,10,6,20,22,94,66,124,128,227,297,267,143,414,54,1707
LGA32600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,8,10,7,8,17,4,46,4,110
LGA32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,7,9,15,17,27,16,64,0,164
LGA32770,4,11,0,9,6,4,3,3,3,49,0,0,0,0,0,0,0,0,4,3,13,75,8,44,63,22,10,31,10,279
LGA32810,4,20,15,27,36,28,14,42,3,188,14,26,18,26,45,35,12,48,49,270,202,482,531,802,905,826,513,1105,140,5509
LGA33100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,18,30,13,26,31,46,18,164,11,360
LGA33200,0,10,0,0,3,4,0,0,0,20,0,3,5,0,3,3,3,4,14,31,18,66,47,67,94,144,43,284,29,795
LGA33220,51,206,142,190,281,189,100,160,17,1336,74,165,105,135,211,152,61,184,308,1388,1284,4230,3370,4729,6388,4393,2465,4749,666,32271
LGA33360,28,153,93,92,203,143,91,148,13,974,56,94,69,78,128,174,88,231,215,1135,1085,2854,2254,2665,4038,4004,3540,6158,476,27074
LGA33430,253,1396,1119,1403,1847,1842,937,1461,120,10372,374,1307,993,1217,1885,2222,784,1774,2246,12806,7748,30302,26643,34923,48431,45459,22327,39990,4727,260548
LGA33610,3,17,14,14,39,45,29,32,0,194,10,12,5,11,19,38,13,41,57,206,180,451,397,516,625,763,452,1356,109,4855
LGA33620,22,104,80,99,149,114,60,125,9,759,49,85,59,85,105,90,41,125,184,836,761,2251,1796,2567,2918,2257,1320,3260,371,17499
LGA33800,4,14,15,16,39,33,12,32,4,172,11,22,8,18,24,22,15,32,47,197,159,506,404,544,750,674,425,995,115,4562
LGA33830,4,4,0,15,17,3,0,5,0,48,0,0,0,0,0,0,0,0,8,8,4,9,8,49,98,24,3,31,8,230
LGA33960,94,379,270,420,784,564,378,395,32,3324,128,277,228,325,847,726,265,455,714,3969,3026,7926,7029,9945,20091,15167,8385,11193,1532,84285
LGA33980,7,49,27,25,43,30,31,86,3,308,15,27,12,14,25,28,11,66,66,262,479,793,577,749,948,962,1298,3961,206,9972
LGA34420,0,5,0,0,0,3,3,3,0,16,0,0,0,0,0,0,0,0,3,6,0,32,20,36,32,58,22,30,3,227
LGA34530,18,84,55,92,122,111,60,120,3,655,25,50,37,50,70,69,22,84,124,534,666,1756,1360,1823,2717,2272,1425,3109,294,15425
LGA34570,0,6,3,8,8,0,0,4,5,34,0,0,0,3,0,0,0,0,9,19,3,22,8,35,27,31,10,24,25,189
LGA34580,18,76,58,52,125,108,61,80,5,586,26,65,41,59,118,111,46,100,154,719,612,1825,1435,2002,2933,2394,1462,2743,371,15762
LGA34590,148,618,499,704,1316,1114,625,782,72,5876,208,553,472,588,1605,1385,500,882,1376,7569,4203,12619,11325,15805,30300,24039,12536,18282,2851,131955
LGA34710,6,6,3,6,19,13,13,16,0,84,3,11,0,5,12,9,9,10,28,87,97,137,104,187,342,355,209,457,54,1938
LGA34770,73,259,192,227,555,384,302,582,34,2604,95,182,143,155,378,295,151,316,484,2202,2015,5276,4312,5666,9501,7585,5693,11567,1117,52732
LGA34800,0,0,3,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,3,6,14,14,16,24,32,72,32,275,11,490
LGA34830,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,4,6,42,3,9,12,0,82
LGA34860,3,22,7,15,32,46,28,59,3,224,15,34,9,19,42,54,18,65,56,317,227,541,413,539,990,1034,569,1904,138,6356
LGA34880,3,33,27,34,57,47,31,54,4,298,18,38,23,32,41,54,21,44,93,366,353,915,760,1098,1540,1214,661,1547,204,8284
LGA35010,222,946,773,928,1643,1510,801,1142,81,8046,265,779,566,665,1552,1477,545,1172,1546,8571,6657,20628,17635,23156,39274,33629,17636,27512,3369,189495
LGA35250,0,0,6,3,6,3,3,3,3,26,0,0,0,0,0,0,0,0,7,8,6,16,23,31,85,55,27,46,14,314
LGA35300,11,34,26,25,57,80,33,77,0,354,7,27,12,21,32,55,23,48,92,321,397,590,418,730,1320,1460,1803,2190,192,9108
LGA35600,0,3,3,5,9,12,3,11,0,60,4,8,5,5,10,11,4,13,26,94,72,173,126,215,409,356,154,490,54,2046
LGA35670,0,0,4,4,3,3,0,3,0,14,0,0,0,0,0,0,0,0,3,8,3,18,12,14,24,29,24,24,6,153
LGA35740,23,156,112,126,129,157,73,112,18,906,40,152,79,138,119,145,51,150,178,1053,765,3209,2537,3508,3275,3279,1668,3395,375,22007
LGA35760,4,19,7,18,18,25,9,29,0,129,7,19,11,19,18,22,5,40,67,208,150,423,374,502,514,622,387,1225,135,4334
LGA35780,5,5,12,3,16,24,7,9,0,75,0,5,3,0,3,0,0,3,10,20,37,49,53,100,239,140,43,132,21,804
LGA35790,0,10,3,10,4,4,0,12,0,47,0,0,0,0,0,0,0,0,4,8,21,98,33,72,80,78,25,84,3,487
LGA35800,0,0,0,3,5,3,0,3,0,22,0,3,4,3,3,6,4,11,5,34,33,54,50,65,89,121,54,244,11,720
LGA36070,0,9,3,3,0,7,0,0,0,21,0,0,0,0,0,0,0,3,0,4,0,61,6,17,30,37,7,42,3,212
LGA36150,0,0,0,0,3,0,0,3,0,11,0,0,0,0,3,0,0,4,3,19,22,29,14,38,61,76,28,172,10,452
LGA36250,66,363,324,364,581,579,279,438,25,3019,89,296,222,231,514,580,202,475,491,3110,2256,7867,6622,8396,13470,12722,6664,11080,1090,70168
LGA36300,0,0,0,0,0,3,0,0,0,6,0,3,0,0,0,3,0,3,9,23,13,30,26,26,59,72,26,166,18,434
LGA36370,53,169,108,159,358,278,134,249,7,1505,55,114,53,88,207,187,88,148,237,1168,1373,3675,2905,3954,7723,5495,3096,5520,579,34314
LGA36510,18,99,75,72,108,103,73,128,8,682,37,97,47,73,115,130,50,149,139,838,632,2019,1684,2184,2670,2679,1488,3197,376,16926
LGA36580,8,42,47,39,74,47,32,56,3,343,16,43,25,37,54,58,30,67,110,441,343,1006,845,1149,1551,1502,838,1788,245,9270
LGA36630,13,79,33,42,72,77,34,87,0,438,13,58,36,41,56,64,27,90,142,519,449,1358,1118,1583,1962,1555,957,2402,273,11656
LGA36660,16,78,43,79,101,107,41,83,5,559,24,61,27,53,86,70,27,77,163,595,545,1813,1349,1819,2398,2043,1132,2661,348,14094
LGA36720,131,806,574,749,858,899,431,635,43,5132,185,670,497,574,744,864,324,875,1012,5735,4493,17066,14143,18457,21598,20302,10900,20475,2203,129641
LGA36820,12,39,23,40,72,65,33,63,3,358,14,63,32,40,38,53,24,55,97,415,433,1300,965,1287,1528,1270,755,1907,216,9654
LGA36910,87,381,267,297,537,505,326,494,21,2911,98,264,149,202,386,379,193,427,497,2593,2559,7860,6423,8479,13948,10824,6938,12966,1176,71188
LGA36950,3,7,5,3,4,4,4,4,0,48,5,3,5,5,6,8,0,9,29,67,62,106,76,128,222,323,125,252,85,1379
LGA36960,0,41,8,18,10,19,0,12,7,121,0,0,0,5,4,3,0,0,15,33,29,129,83,155,193,164,21,156,39,974
LGA37010,87,381,266,367,701,610,326,490,33,3263,114,266,175,231,490,463,165,375,615,2882,3419,9183,7015,9684,18007,14598,8810,14322,1412,86449
LGA37300,0,3,0,3,8,6,7,14,0,47,6,4,0,3,4,3,12,12,15,58,108,111,101,146,185,255,748,465,40,2152
LGA37310,14,56,53,55,79,107,59,97,4,521,27,57,21,44,81,71,45,140,120,612,536,1562,1089,1453,1953,2005,1433,4087,313,14418
LGA37340,22,65,51,67,103,99,56,98,12,573,26,65,46,66,88,114,56,117,138,719,599,1376,1183,1852,2454,2465,1790,3626,336,15681
LGA37400,0,0,0,0,3,6,3,0,0,15,0,3,0,0,3,0,0,3,10,24,29,29,25,55,78,95,47,198,18,572
LGA37550,0,3,3,0,10,3,6,0,3,35,0,0,0,0,0,0,0,0,0,4,5,20,16,23,67,23,9,24,13,193
LGA37570,0,3,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,4,11,7,7,24,10,3,3,0,64
LGA37600,3,3,3,9,3,6,0,11,6,44,0,0,0,0,0,0,0,3,15,19,20,29,24,48,87,38,13,61,25,343
LGA39499,5,17,16,10,11,21,7,7,5,99,14,19,12,26,25,38,7,32,86,257,195,274,297,410,473,463,235,575,158,3087
LGA39799,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,9,9,6,7,9,10,4,12,0,60
