LGA_CODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
LGA30250,0,0,0,0,0,0,0,4,0,4,0,3,3,0,0,0,5,0,0,6,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,3,0,12,21,3,0,4,12,3,67,4,11,4,15,3,0,0,0,0,31,0,6,3,15,0,0,0,3,0,24,0,3,0,0,4,0,0,0,0,9,3,5,3,8,7,0,0,3,0,34,3,0,0,0,0,0,0,0,3,10
LGA30300,408,21,36,0,35,3,59,175,7,756,3,3,3,0,0,0,5,0,0,13,5,0,9,0,4,7,3,8,0,34,0,0,12,0,3,0,4,0,0,20,13,0,35,0,17,0,31,12,0,110,7,10,8,0,10,25,3,3,0,69,24,4,19,0,9,103,4,24,0,188,22,0,17,24,3,0,0,21,0,83,3,0,0,0,14,0,38,3,0,63,0,0,0,0,0,0,0,0,0,3,3,4,0,0,14,0,0,0,0,16,0,0,0,0,3,6,0,0,0,9,0,12,0,0,17,0,0,3,0,36,3,3,0,3,7,0,0,24,0,38,7,15,5,24,29,0,12,21,0,125,12,88,4,46,9,0,0,14,0,184,13,87,8,74,26,0,0,18,0,237,0,3,0,0,0,0,0,0,0,6,8,3,44,7,10,0,0,12,0,75,4,7,15,4,10,10,6,13,16,92
LGA30370,998,15,33,3,48,3,45,264,13,1414,36,75,337,0,53,0,535,25,6,1069,42,27,123,9,22,18,40,233,5,512,21,24,160,3,45,3,48,42,7,354,33,3,128,0,50,3,102,51,0,370,19,12,28,0,11,47,8,40,0,166,70,7,38,4,26,308,10,60,3,525,57,0,44,83,17,34,3,71,3,314,26,10,4,0,41,3,114,8,0,202,0,6,3,0,5,3,0,0,0,24,7,12,0,0,41,0,0,0,3,62,3,0,3,0,15,22,3,0,0,54,11,46,13,0,64,3,0,6,0,143,10,3,10,12,38,0,17,93,3,184,26,35,26,41,73,0,62,48,3,318,25,258,10,120,36,0,3,37,0,491,30,142,17,177,57,0,0,47,3,469,5,9,0,4,3,0,0,4,0,25,15,23,124,28,32,7,3,23,3,243,29,6,41,8,20,8,31,51,50,248
LGA30410,295,4,14,3,11,0,9,126,0,461,3,0,3,0,0,0,11,0,0,18,3,0,7,0,6,4,0,3,0,23,0,0,10,0,10,0,3,3,0,25,13,8,30,0,6,0,44,17,0,121,4,0,3,0,7,4,0,0,0,13,11,3,5,0,3,53,0,3,3,74,21,0,0,6,0,0,0,17,0,51,15,3,0,3,20,4,21,15,0,87,0,7,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,8,0,19,10,0,16,0,0,0,0,52,3,0,0,8,4,0,3,7,0,28,8,12,16,14,29,0,24,16,0,126,14,53,0,31,6,0,0,12,0,113,4,38,3,50,11,0,0,19,0,136,0,0,3,0,0,0,0,4,0,16,3,4,17,3,4,0,0,0,3,31,9,6,3,5,11,5,0,8,11,54
LGA30450,26,0,3,0,3,0,5,23,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,5,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,15,0,12,0,14,11,0,52,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30760,194,7,3,0,8,3,5,69,4,296,0,0,3,0,0,0,7,0,0,8,0,0,4,0,0,5,3,3,0,15,0,0,3,0,0,0,0,0,0,9,0,0,18,0,0,0,8,18,3,53,3,0,0,0,4,18,0,4,0,30,13,0,13,0,3,40,3,3,0,77,18,0,6,7,0,0,0,14,0,41,3,0,3,0,16,3,20,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,8,0,0,0,8,0,3,0,0,8,0,0,0,0,13,0,0,0,3,3,0,0,12,0,13,8,10,17,16,20,0,17,17,0,104,8,33,0,16,8,0,0,4,0,67,7,27,4,37,6,0,0,10,0,86,0,0,0,0,0,0,0,0,0,3,0,0,10,4,0,0,0,3,0,20,3,0,5,3,0,0,3,13,13,38
LGA30900,34,4,8,0,4,0,3,61,3,108,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,12,3,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,10,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,4,11,0,5,3,0,38,3,6,0,9,0,0,0,4,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6
LGA31000,729,347,151,18,271,95,94,482,27,2232,1722,3186,855,28,1006,46,512,110,73,7537,4988,3521,6153,336,2919,1790,3081,5239,290,28312,1123,1912,972,14,1033,114,409,173,67,5818,6163,3036,17358,65,4328,625,1599,4876,353,38406,3484,2658,1114,99,2666,2500,1890,818,134,15378,7916,3430,2442,487,2858,26115,1869,3644,242,49001,6745,811,5514,12954,1427,5079,865,7830,230,41446,3415,3656,1406,1185,5708,1438,9218,1470,370,27869,1524,3783,1338,88,1441,930,61,182,123,9474,3444,8174,262,67,8797,1080,54,57,414,22356,1837,1680,385,174,2287,5615,185,472,174,12823,7334,35908,4704,172,9583,874,162,454,500,59693,2445,2966,1268,2063,3068,516,391,7367,195,20281,5669,13195,2066,7201,12237,222,433,756,749,42528,4911,35863,1597,7714,6251,302,102,1390,263,58395,4315,38210,2570,17841,11211,544,446,2150,492,77779,1643,2528,782,2573,1169,454,83,672,98,9998,2054,2418,6614,3715,2236,442,273,1575,163,19486,3024,3117,2539,974,2705,1520,1687,2126,3921,21628
LGA31750,32,0,4,0,7,0,3,22,0,65,0,0,5,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,5,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,8,8,0,0,0,0,0,0,3,0,16,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,7,16,3,12,6,0,58,0,6,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,10
LGA31820,1165,60,104,3,136,20,394,1421,24,3332,20,19,193,0,17,0,407,24,10,695,264,106,682,21,207,136,355,390,22,2183,16,13,131,0,37,6,65,62,3,334,237,45,1219,3,258,31,341,412,28,2563,118,37,66,3,91,152,122,80,3,682,579,61,282,25,213,2242,103,367,10,3887,418,17,266,591,83,326,58,581,14,2345,117,29,58,27,236,41,676,58,14,1268,39,66,46,3,30,55,5,7,0,260,65,117,10,3,286,22,5,0,8,516,43,30,13,3,104,247,14,25,8,486,76,432,198,0,356,21,11,45,3,1144,42,78,90,68,158,31,39,572,11,1088,120,240,185,325,427,17,98,211,16,1649,184,1638,68,695,231,15,7,170,8,3018,254,1909,211,1931,815,22,39,324,30,5533,44,51,43,60,24,16,7,28,5,283,68,79,686,141,144,28,7,112,9,1280,141,72,241,65,125,114,130,244,298,1425
