LGA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA30250,19,36,37,55,18,8,13,35,13,231
LGA30300,544,262,222,189,220,160,176,355,30,2149
LGA30370,1455,711,1150,485,688,472,1016,1107,101,7185
LGA30410,402,162,136,127,148,68,119,255,23,1447
LGA30450,47,10,23,6,22,0,24,35,4,167
LGA30760,261,84,100,90,78,72,67,158,23,932
LGA30900,51,13,16,14,18,4,21,71,3,218
LGA31000,74499,170408,60094,57786,83218,50309,23423,41841,8880,570455
LGA31750,63,10,30,12,33,6,30,36,12,220
LGA31820,4007,5104,4791,3971,3996,3561,2882,5139,525,33970
LGA31900,1309,847,1168,719,859,612,908,1297,124,7841
LGA31950,32,14,17,6,24,7,7,31,3,147
LGA32080,7928,13932,10827,9952,9542,7770,4085,7136,1232,72405
LGA32250,122,99,113,112,89,25,56,165,26,813
LGA32260,1847,1317,1680,1176,1220,989,1140,2499,209,12084
LGA32270,2016,1485,2374,896,1429,991,2470,1599,205,13460
LGA32310,704,639,647,505,440,378,506,689,72,4579
LGA32330,8,14,9,47,20,0,6,26,0,127
LGA32450,193,204,229,107,190,67,280,220,25,1520
LGA32500,248,305,223,198,164,99,139,291,37,1707
LGA32600,31,6,11,15,10,3,11,23,3,110
LGA32750,33,14,21,21,22,12,8,38,0,164
LGA32770,21,38,24,82,32,15,10,43,12,279
LGA32810,840,667,886,837,561,533,271,805,106,5509
LGA33100,114,31,35,26,33,6,30,88,5,360
LGA33200,256,54,70,55,72,40,81,147,10,795
LGA33220,3182,5164,4737,4790,3965,3595,2321,4028,492,32271
LGA33360,2580,3681,5789,2481,2918,2293,3366,3498,466,27074
LGA33430,32304,47673,38843,31490,35396,31582,13244,25481,4535,260548
LGA33610,1011,566,608,450,538,388,484,739,65,4855
LGA33620,2239,2191,2764,2008,1959,1775,1575,2677,309,17499
LGA33800,704,558,738,496,499,373,554,588,60,4562
LGA33830,15,30,19,45,26,3,31,43,15,230
LGA33960,7596,12254,12705,10747,12294,8118,8383,10654,1534,84285
LGA33980,1291,1063,2067,606,869,467,2364,1112,135,9972
LGA34420,25,24,35,63,15,9,9,31,11,227
LGA34530,1812,2384,2804,1752,1943,1395,1570,1521,246,15425
LGA34570,10,35,19,39,11,4,12,45,21,189
LGA34580,2010,1855,2366,1668,1813,1338,1615,2855,245,15762
LGA34590,12127,17417,21527,14291,19730,12840,14597,17001,2417,131955
LGA34710,370,305,254,206,244,155,122,251,41,1938
LGA34770,5523,7538,10525,4659,6338,4875,6802,5563,894,52732
LGA34800,158,43,53,25,39,17,55,87,12,490
LGA34830,12,13,10,8,14,4,4,7,0,82
LGA34860,1452,794,841,541,762,454,587,823,93,6356
LGA34880,1374,1097,1136,1010,935,693,578,1321,146,8284
LGA35010,20505,31158,29278,23030,28947,19409,13599,20435,3131,189495
LGA35250,22,56,45,87,27,16,14,42,5,314
LGA35300,708,1439,2026,882,958,651,1437,836,170,9108
LGA35600,402,280,241,218,201,143,123,406,33,2046
LGA35670,5,20,32,22,10,3,35,22,4,153
LGA35740,2935,4148,3407,2792,2509,2503,956,2404,347,22007
LGA35760,1081,370,402,388,384,272,384,962,95,4334
LGA35780,89,112,96,161,101,57,57,109,18,804
LGA35790,30,85,49,155,55,16,22,73,15,487
LGA35800,247,82,72,70,71,31,43,92,16,720
LGA36070,33,31,22,49,14,13,13,30,5,212
LGA36150,115,41,51,43,47,18,51,78,15,452
LGA36250,8723,12036,11172,7656,11209,7051,4418,6871,1034,70168
LGA36300,116,42,45,26,40,21,39,88,16,434
LGA36370,3101,5517,5657,4249,4510,3404,3093,4335,464,34314
LGA36510,2564,2428,2725,1873,2058,1361,1299,2380,245,16926
LGA36580,1287,1022,1382,1036,1028,740,960,1650,158,9270
LGA36630,1797,1514,1610,1373,1155,1033,1053,1906,214,11656
LGA36660,2247,1730,1867,1501,1511,1309,1179,2510,241,14094
LGA36720,15113,24815,20976,15682,16740,14425,6546,13400,1946,129641
LGA36820,1513,1486,1324,1148,1084,899,727,1326,154,9654
LGA36910,8856,13270,10756,7914,9501,6435,4886,8661,910,71188
LGA36950,161,300,171,228,216,67,37,157,45,1379
LGA36960,72,207,113,170,128,64,14,159,46,974
LGA37010,8364,16269,13093,12719,11662,8349,6504,8261,1244,86449
LGA37300,150,300,542,176,195,93,517,162,25,2152
LGA37310,2815,1653,2322,1182,1615,1173,1460,1971,231,14418
LGA37340,2127,1761,2651,1719,1547,1436,1748,2460,240,15681
LGA37400,172,45,73,50,47,28,48,86,11,572
LGA37550,20,23,15,60,22,10,9,35,11,193
LGA37570,7,9,7,17,9,0,7,14,0,64
LGA37600,21,60,35,93,42,8,10,50,25,343
LGA39499,264,446,392,349,226,182,300,825,97,3087
LGA39799,13,8,9,0,7,7,0,6,4,60
