LGA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA30250,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,5,0,14,0,8,4,61,3,109
LGA30300,0,0,0,20,22,3,0,13,0,4,0,3,0,3,26,74,6,0,0,0,0,0,0,0,0,3,0,12,110,14,8,159,10,74,3,15,3,30,28,456
LGA30370,0,0,0,159,53,0,3,50,0,19,0,3,8,6,113,251,3,0,4,8,0,0,0,0,4,0,8,33,415,39,30,530,55,327,30,42,26,60,121,1676
LGA30410,0,0,0,13,10,0,0,3,0,9,0,0,0,3,33,63,0,0,0,0,0,0,0,0,0,0,0,3,89,6,0,81,8,56,0,8,0,13,33,296
LGA30450,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,3,22
LGA30760,0,0,0,6,6,0,0,11,0,3,0,0,0,0,20,38,0,0,0,0,0,0,0,0,0,0,0,3,44,3,7,53,20,20,0,13,3,9,20,186
LGA30900,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,4,21
LGA31000,94,390,14,25784,1981,274,94,1724,198,1130,84,414,127,831,7254,14117,110,21,78,167,34,66,23,16,41,89,280,924,31201,4685,926,38540,4839,24545,1209,6133,1318,9446,7758,130602
LGA31750,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,3,7,0,0,0,0,3,31
LGA31820,0,12,0,389,136,21,11,133,7,63,6,46,14,99,573,1109,8,3,10,18,0,4,0,4,3,22,32,100,1699,344,68,2257,194,1384,81,558,141,1135,634,8489
LGA31900,0,0,0,118,35,3,0,44,4,16,0,7,7,13,99,228,6,0,0,10,0,4,0,0,0,0,10,21,449,54,23,664,58,271,11,57,19,119,113,1842
LGA31950,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,6,0,0,0,3,6,30
LGA32080,8,28,4,1135,272,43,12,212,29,142,9,55,24,108,1338,2245,15,10,13,24,8,10,3,3,6,22,55,159,3841,655,136,4339,535,2567,190,839,223,1135,1430,15895
LGA32250,0,0,0,5,9,0,0,3,0,0,0,3,0,3,10,31,0,0,0,0,0,0,0,0,4,3,3,14,41,3,4,29,0,13,0,9,7,23,17,138
LGA32260,3,0,0,125,64,14,3,65,4,29,12,5,3,28,153,371,0,0,5,3,0,3,3,0,0,6,17,39,556,108,32,756,78,444,33,146,53,256,181,2646
LGA32270,0,3,0,468,92,8,3,61,4,39,6,7,4,20,288,533,6,0,3,5,0,3,0,0,0,0,14,37,728,75,42,986,141,782,54,97,52,109,317,3368
LGA32310,0,0,0,56,34,3,0,10,3,6,3,6,0,14,160,247,7,0,0,0,0,4,0,0,0,0,9,18,246,33,14,239,37,182,14,52,12,89,170,1099
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,4,5,8,0,0,7,0,3,3,4,0,51,4,79
LGA32450,0,0,0,31,10,0,0,0,0,0,0,0,0,0,17,37,0,0,0,0,0,0,0,0,0,0,5,7,82,3,4,63,7,60,3,3,6,13,22,273
LGA32500,0,0,0,7,9,5,0,3,0,7,0,3,0,3,21,52,0,0,0,0,0,0,0,0,0,0,3,3,71,21,3,64,6,44,4,21,4,31,22,295
LGA32600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,5,4,19
LGA32750,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,0,3,0,0,0,0,4,31
