LGA_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
LGA30250,0,0,6,0,0,0,0,0,0,8,0,0,3,7,0,0,0,3,0,16,7,0,7,7,0,0,0,9,0,24,0,6,4,9,0,0,4,7,7,33,10,0,11,3,3,0,0,6,0,28,3,0,3,3,4,0,3,3,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,30,22,11,7,11,25,10,138,0,0,0,4,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,11,0,6,3,9,0,3,0,3,0,27,0,4,5,3,0,0,0,3,0,23,0,3,0,6,6,0,0,0,4,20,0,3,0,6,4,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,7,34,10,3,0,11,3,97
LGA30300,4,0,19,0,0,6,4,20,0,50,3,0,29,4,0,3,8,26,0,82,42,13,34,9,10,12,18,50,4,196,76,20,30,15,0,11,41,32,3,229,95,16,36,11,6,4,47,45,3,264,72,12,26,0,7,9,29,50,7,214,33,4,18,3,3,3,14,12,3,91,23,0,0,0,0,0,0,4,0,27,4,0,0,0,0,0,0,0,0,4,353,72,187,41,26,49,163,231,25,1162,0,0,0,11,3,25,3,15,0,62,0,19,3,12,11,10,0,6,0,71,25,52,3,28,45,13,5,20,0,196,42,41,5,32,46,17,4,8,0,193,43,36,4,35,45,18,0,32,3,224,48,23,12,22,32,10,0,28,3,184,18,9,0,4,8,5,0,6,0,56,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,184,194,32,147,191,107,12,124,7,993
LGA30370,11,0,67,0,3,46,16,76,4,217,18,11,136,5,7,19,44,89,3,336,111,74,266,12,20,14,154,161,11,821,150,53,212,17,17,13,223,131,9,822,211,45,159,18,19,16,252,105,16,845,214,20,143,14,16,11,174,90,12,697,137,12,13,3,5,3,51,26,9,259,58,0,5,0,0,0,0,3,3,75,5,0,0,0,0,0,0,0,0,5,910,214,1000,75,90,117,914,686,68,4066,6,3,15,48,18,81,0,29,3,200,5,36,11,47,50,36,7,34,3,238,75,156,36,76,132,47,17,78,0,622,90,118,33,93,151,80,28,86,7,682,147,92,27,84,151,70,32,97,12,721,123,75,15,55,71,34,10,77,7,473,71,17,4,12,16,5,3,14,3,140,21,5,0,0,6,0,0,3,0,41,6,0,0,0,0,0,0,0,0,9,549,497,149,415,599,354,101,418,38,3115
LGA30410,4,0,10,4,0,3,0,13,3,30,0,3,24,6,0,0,8,31,7,77,34,14,19,9,3,3,17,23,3,122,33,21,14,6,4,3,19,23,0,131,73,7,22,3,9,3,34,35,0,185,55,5,16,3,17,0,26,15,0,147,28,3,3,0,0,3,11,13,0,53,12,0,0,0,0,0,0,4,3,22,0,0,0,0,0,0,0,0,0,0,244,68,107,25,29,10,107,156,13,766,0,3,0,7,3,8,0,6,0,39,0,8,3,12,6,3,0,10,0,56,18,38,3,16,20,5,3,18,0,133,27,20,3,20,28,17,0,17,0,128,37,19,5,22,34,10,5,27,4,157,50,9,6,13,21,8,3,22,0,131,19,3,0,3,0,0,0,10,3,37,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,157,98,29,96,119,58,11,102,9,682
LGA30450,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,4,0,7,0,0,4,0,0,0,3,3,0,17,3,0,3,0,0,0,3,0,0,11,11,0,7,3,0,0,6,0,0,28,8,0,0,0,0,0,9,5,0,18,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,20,0,0,0,27,21,3,98,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,3,0,0,0,3,0,0,0,0,8,0,0,0,0,6,0,0,3,0,10,8,0,0,0,4,0,0,3,0,23,4,0,3,0,3,0,0,0,0,12,3,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,5,3,16,0,0,10,0,72
LGA30760,0,0,6,0,0,6,0,5,0,21,3,0,6,0,0,0,3,7,0,26,15,7,24,0,0,7,9,16,3,81,28,8,10,5,3,3,8,28,4,92,30,8,9,5,0,0,19,19,0,91,56,3,11,3,3,4,12,19,3,119,21,0,9,3,3,3,5,8,0,45,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,158,16,75,17,17,33,61,101,8,492,0,0,0,3,0,6,0,0,0,13,0,8,0,4,6,5,0,0,0,26,10,19,7,7,11,10,0,11,5,85,17,10,7,16,17,4,0,14,3,95,29,13,4,19,14,7,3,9,0,98,32,7,4,19,13,5,0,11,4,90,11,6,0,4,0,0,0,4,0,29,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,102,64,24,75,65,46,5,56,13,446
LGA30900,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,3,8,0,15,7,0,0,0,0,0,4,15,0,26,5,0,0,0,0,0,6,0,0,14,9,0,4,0,0,0,5,6,0,23,15,0,0,0,0,0,3,6,0,28,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,7,4,4,0,20,46,0,121,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,0,16,0,3,8,0,8,0,0,7,0,29,0,0,3,0,0,0,0,5,0,8,3,0,0,3,0,0,0,0,0,9,9,4,0,4,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,10,12,10,4,3,27,0,94
LGA31000,195,500,1748,1929,662,3294,628,3483,209,12646,1423,4939,6140,4435,2576,4249,2098,4689,536,31083,8826,22877,15129,5359,6048,4927,5081,7018,1468,76726,13331,21983,10943,3265,5237,3318,4354,4261,1184,67875,12972,16567,9005,2728,4527,2756,4382,4004,1009,57938,7317,10011,5633,1558,3043,1996,3438,2960,549,36511,1837,2992,1092,342,750,760,915,843,201,9733,250,385,106,22,80,111,62,103,87,1204,25,33,11,11,10,17,7,7,21,139,46186,80290,49795,19646,22923,21443,20960,27357,5258,293858,210,563,460,4127,1551,6659,130,1441,166,15307,1618,6580,1429,7422,6106,6354,251,1621,391,31770,7086,28011,3068,9171,13666,5386,448,3228,995,71072,8187,24270,2216,6586,13291,3426,482,2351,834,61649,7098,18491,1849,6251,14015,3735,611,2940,662,55658,3418,10181,1023,3871,9363,2532,453,2326,386,33553,624,1872,226,681,2142,698,83,508,104,6942,63,139,16,31,147,60,3,60,54,567,4,22,3,3,10,4,0,5,27,75,28316,90119,10298,38137,60288,28866,2463,14482,3622,276593
LGA31750,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,0,3,0,9,6,0,3,0,0,0,3,3,0,17,3,0,10,0,4,0,8,3,0,25,6,0,3,0,3,0,3,3,3,20,10,0,8,0,0,0,13,8,0,32,7,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,25,0,9,5,27,19,7,123,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,10,3,3,4,0,10,0,0,4,0,25,5,0,0,4,3,0,0,3,0,18,0,4,3,0,3,0,0,3,0,16,12,0,0,0,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,10,5,23,3,3,14,5,94
LGA31820,17,15,190,78,24,316,68,398,15,1124,104,57,446,126,27,165,161,418,24,1512,345,365,876,162,89,193,436,656,57,3173,523,461,834,186,127,158,559,500,67,3404,670,502,814,237,183,187,728,579,72,3973,543,387,738,150,142,179,617,477,59,3287,222,100,125,31,48,46,135,100,19,821,57,10,10,0,6,12,12,11,14,121,5,0,0,0,0,3,0,0,4,15,2490,1886,4032,963,644,1254,2709,3137,320,17435,23,6,52,275,113,639,5,149,17,1272,92,164,83,297,226,262,9,176,17,1332,255,642,161,504,546,312,27,367,34,2847,342,840,159,608,679,346,36,302,40,3354,390,841,178,716,951,406,50,478,37,4048,286,626,109,532,677,286,37,434,34,3013,104,88,22,64,147,39,7,89,11,578,26,15,3,8,16,3,0,9,9,84,0,0,0,0,4,0,0,3,9,14,1512,3214,761,3012,3352,2304,173,2004,202,16534
