LGA_CODE_2016,M_Mng_0,M_Mng_1_15,M_Mng_16_24,M_Mng_25_34,M_Mng_35_39,M_Mng_40,M_Mng_41_48,M_Mng_49over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_15,M_Pro_16_24,M_Pro_25_34,M_Pro_35_39,M_Pro_40,M_Pro_41_48,M_Pro_49over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_15,M_TTW_16_24,M_TTW_25_34,M_TTW_35_39,M_TTW_40,M_TTW_41_48,M_TTW_49over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_15,M_CPS_16_24,M_CPS_25_34,M_CPS_35_39,M_CPS_40,M_CPS_41_48,M_CPS_49over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_15,M_CA_16_24,M_CA_25_34,M_CA_35_39,M_CA_40,M_CA_41_48,M_CA_49over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_15,M_Sal_16_24,M_Sal_25_34,M_Sal_35_39,M_Sal_40,M_Sal_41_48,M_Sal_49over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_15,M_MOD_16_24,M_MOD_25_34,M_MOD_35_39,M_MOD_40,M_MOD_41_48,M_MOD_49over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_15,M_Lab_16_24,M_Lab_25_34,M_Lab_35_39,M_Lab_40,M_Lab_41_48,M_Lab_49over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_15,F_Mng_16_24,F_Mng_25_34,F_Mng_35_39,F_Mng_40,F_Mng_41_48,F_Mng_49over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_15,F_Pro_16_24,F_Pro_25_34,F_Pro_35_39,F_Pro_40,F_Pro_41_48,F_Pro_49over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_15,F_TTW_16_24,F_TTW_25_34,F_TTW_35_39,F_TTW_40,F_TTW_41_48,F_TTW_49over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_15,F_CPS_16_24,F_CPS_25_34,F_CPS_35_39,F_CPS_40,F_CPS_41_48,F_CPS_49over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_15,F_CA_16_24,F_CA_25_34,F_CA_35_39,F_CA_40,F_CA_41_48,F_CA_49over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_15,F_Sal_16_24,F_Sal_25_34,F_Sal_35_39,F_Sal_40,F_Sal_41_48,F_Sal_49over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_15,F_MOD_16_24,F_MOD_25_34,F_MOD_35_39,F_MOD_40,F_MOD_41_48,F_MOD_49over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_15,F_Lab_16_24,F_Lab_25_34,F_Lab_35_39,F_Lab_40,F_Lab_41_48,F_Lab_49over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot
LGA30250,0,0,0,0,3,3,0,10,0,14,0,0,3,7,0,0,0,3,0,13,3,0,0,0,10,9,0,0,0,30,0,3,0,3,11,3,0,0,0,22,0,0,0,0,4,3,0,0,0,11,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,5,0,11,0,0,0,3,9,6,0,0,0,25,0,0,0,0,0,0,0,0,4,10,4,5,5,20,40,28,3,25,5,138,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,0,0,10,0,23,0,0,0,4,0,0,0,0,0,7,0,8,4,10,6,4,0,3,0,34,0,0,0,0,6,3,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,11,0,0,0,0,0,0,0,0,0,3,3,12,7,19,27,15,3,19,4,97
LGA30300,11,10,4,13,16,38,16,248,5,353,0,0,3,10,13,8,6,31,3,72,0,10,10,17,33,38,28,48,5,187,0,0,0,3,12,14,3,4,0,41,0,0,3,3,3,0,3,10,0,26,0,3,0,5,9,4,10,13,0,49,3,9,5,7,18,28,15,61,11,163,0,14,10,22,24,47,17,76,7,231,0,0,0,0,0,4,0,6,7,25,24,48,42,81,130,184,109,513,32,1162,9,18,10,12,14,35,15,83,3,184,12,27,20,21,27,27,14,33,3,194,0,3,3,7,7,9,3,0,0,32,10,16,30,38,21,17,4,9,5,147,6,33,29,39,37,29,7,4,0,191,4,21,12,27,22,7,3,5,0,107,0,3,3,0,0,0,3,4,0,12,8,43,22,17,10,8,0,18,3,124,0,0,0,0,0,3,0,0,5,7,38,162,132,167,137,130,46,156,22,993
LGA30370,21,31,3,21,30,104,67,617,16,910,7,11,6,11,26,32,37,83,0,214,57,21,23,26,171,165,196,331,12,1000,7,7,9,3,10,18,6,15,0,75,3,8,0,11,24,5,13,26,0,90,9,27,12,10,7,14,14,21,3,117,50,23,20,21,100,114,135,428,22,914,19,60,32,27,197,114,64,159,16,686,4,5,0,3,8,3,5,13,23,68,165,194,105,131,568,576,534,1693,102,4066,16,44,33,37,41,88,31,244,9,549,30,45,53,72,63,94,58,87,3,497,10,19,7,20,22,23,13,27,7,149,20,80,75,111,59,33,22,25,4,415,21,85,85,121,94,85,50,51,6,599,15,85,77,71,48,23,13,9,7,354,3,16,7,7,9,5,11,44,3,101,17,83,54,65,82,45,18,53,12,418,0,7,3,5,3,3,0,3,12,38,128,453,390,501,428,391,222,540,66,3115
LGA30410,4,3,0,5,11,27,12,176,4,244,0,0,0,0,18,10,8,23,0,68,0,7,3,0,24,38,12,27,0,107,4,4,0,3,0,9,4,3,0,25,0,3,0,0,7,9,3,3,0,29,0,0,0,3,0,3,3,4,0,10,0,0,0,7,21,30,15,30,0,107,4,6,4,11,25,33,19,45,3,156,0,0,0,3,0,0,0,4,5,13,22,24,6,34,107,155,77,312,16,766,5,5,0,7,4,14,12,104,7,157,3,14,11,19,13,12,8,23,0,98,0,3,3,0,3,8,0,3,0,29,7,12,13,28,16,10,5,4,0,96,6,11,18,24,29,25,3,8,0,119,0,13,15,12,5,5,4,5,0,58,0,3,0,0,0,0,3,3,0,11,5,20,6,14,13,10,12,19,3,102,0,0,0,0,0,0,0,0,4,9,30,79,66,106,90,87,45,172,14,682
LGA30450,0,0,0,0,0,3,0,20,0,22,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,4,0,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,15,0,27,0,0,0,0,3,4,0,9,0,21,0,0,0,0,0,0,0,3,0,3,3,3,7,3,5,19,10,50,0,98,0,0,0,0,0,0,0,15,0,18,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3,3,4,10,10,4,32,0,72
LGA30760,8,0,0,3,7,17,9,118,0,158,0,0,0,3,7,7,4,4,0,16,4,0,0,6,15,19,9,23,0,75,0,3,4,0,3,6,0,5,0,17,0,3,0,0,4,0,3,0,0,17,0,3,3,3,0,5,3,14,0,33,0,4,3,3,7,11,3,20,3,61,9,7,3,8,15,25,11,34,3,101,3,0,0,0,0,0,0,3,5,8,21,22,20,28,53,91,39,212,14,492,4,0,3,10,5,17,14,43,4,102,8,3,9,11,9,6,0,11,0,64,0,3,0,8,6,0,4,3,0,24,4,5,11,15,13,3,0,11,3,75,3,9,8,11,12,15,0,11,0,65,3,6,3,12,10,3,0,3,0,46,0,3,0,0,0,0,0,0,0,5,3,14,5,6,7,7,0,13,3,56,0,0,0,3,0,0,0,0,7,13,27,49,45,71,56,59,21,96,17,446
LGA30900,0,0,0,0,0,4,3,22,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,9,0,20,0,0,0,0,3,6,9,30,3,46,0,0,0,0,0,0,0,0,0,0,3,4,0,4,9,14,8,77,4,121,0,0,0,0,3,0,0,8,0,21,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,3,3,0,10,0,3,0,7,0,0,0,0,0,12,0,0,3,0,4,3,0,0,3,10,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,15,0,27,0,0,0,0,0,0,0,0,0,0,4,5,3,5,15,6,10,39,4,94
LGA31000,768,1019,1072,1563,5637,10511,6821,18414,380,46186,1550,4137,2974,4737,15198,22381,10192,18523,605,80290,1085,1975,2485,2963,11013,13033,6948,9623,676,49795,692,3544,2520,2560,2927,3196,1855,2046,300,19646,531,1489,1338,1426,6673,5186,2706,3392,192,22923,450,4228,2536,2239,3216,3318,1724,3474,268,21443,563,1304,1673,1983,4870,3896,2344,3917,416,20960,679,5369,4456,3305,5132,3750,1768,2410,495,27357,153,363,258,299,776,927,311,790,1372,5258,6472,23417,19296,21072,55442,66183,34673,62591,4705,293858,991,1241,1719,2625,5303,5926,3806,6474,216,28316,4518,8373,10597,12701,16554,17580,8315,10842,640,90119,355,1249,1345,1488,2609,1549,778,799,126,10298,1419,8973,7505,7440,5877,3227,1420,1736,544,38137,2276,6523,7733,8157,17300,10597,4100,3111,496,60288,918,9210,5208,4233,3873,2487,1179,1402,362,28866,98,292,262,357,684,371,162,201,37,2463,425,3933,3041,2449,2464,1078,404,447,243,14482,183,343,260,298,571,489,163,246,1062,3622,11193,40138,37662,39744,55238,43310,20318,25258,3734,276593
LGA31750,0,3,0,0,0,4,0,26,3,31,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,11,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,4,11,0,27,4,0,3,0,4,5,0,6,0,19,0,0,0,0,0,0,0,4,3,7,8,3,3,3,11,14,12,65,10,123,0,0,0,0,3,0,3,13,0,25,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,5,0,5,0,3,3,3,0,3,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,7,0,14,0,0,0,0,0,0,0,0,0,5,4,3,8,15,16,9,3,33,3,94
LGA31820,47,80,58,116,248,405,286,1212,32,2490,65,86,74,184,378,449,230,413,11,1886,113,180,163,269,983,837,559,868,51,4032,39,127,101,154,183,160,78,98,23,963,20,34,35,56,167,135,88,104,10,644,31,260,116,141,214,153,144,175,19,1254,109,119,136,191,409,440,332,909,72,2709,93,466,271,415,540,529,302,435,82,3137,16,21,12,20,45,45,13,41,115,320,540,1372,974,1536,3167,3149,2021,4264,413,17435,46,100,104,171,257,244,165,395,30,1512,135,247,358,563,674,551,266,387,32,3214,33,80,99,166,168,80,63,64,13,761,152,479,556,835,473,177,109,177,52,3012,124,454,466,567,943,418,171,182,31,3352,80,695,416,463,358,103,74,74,32,2304,5,37,22,28,27,19,15,25,3,173,58,476,327,422,265,175,114,132,36,2004,11,23,9,10,20,14,10,12,86,202,645,2591,2348,3226,3195,1784,980,1457,310,16534
