LGA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
LGA30250,0,0,0,0,4,3,0,14,0,19,0,0,3,6,6,0,0,9,0,36,3,0,0,4,8,13,0,0,0,37,0,7,4,7,19,4,0,9,3,55,0,0,0,0,9,7,0,0,0,18,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,3,0,13,0,5,0,4,11,5,0,0,5,35,0,0,0,3,0,0,0,0,3,13,3,17,8,31,67,39,5,38,9,231
LGA30300,18,29,16,20,27,70,27,331,11,544,9,27,23,30,38,34,28,64,5,262,3,8,10,25,41,47,32,50,5,222,5,17,32,43,32,25,8,13,5,189,9,33,29,43,42,28,11,23,0,220,5,25,15,31,29,9,13,25,3,160,3,11,7,8,18,28,19,65,11,176,6,59,36,37,37,57,20,93,11,355,0,0,0,3,0,6,0,6,8,30,67,213,178,248,264,309,153,666,57,2149
LGA30370,33,74,37,62,71,191,97,859,26,1455,35,54,57,83,87,125,94,171,3,711,60,33,30,43,194,184,213,357,24,1150,25,86,80,111,64,49,30,39,7,485,23,92,91,131,115,95,60,76,5,688,24,117,85,79,57,42,28,36,8,472,54,39,27,24,107,118,149,471,26,1016,32,141,81,95,279,155,84,208,32,1107,8,13,8,5,8,10,9,12,40,101,292,648,496,630,992,967,749,2230,167,7185
LGA30410,12,10,0,13,16,41,20,279,7,402,3,16,11,22,31,27,16,42,0,162,4,7,4,0,27,44,15,27,0,136,8,15,13,28,15,21,5,9,0,127,6,13,20,21,39,32,6,18,0,148,0,10,15,14,7,5,11,8,0,68,0,3,0,7,22,29,18,33,0,119,8,28,12,31,36,45,26,63,6,255,0,0,0,3,0,0,0,8,10,23,45,104,73,138,204,244,122,489,28,1447
LGA30450,0,0,0,0,0,7,3,35,0,47,0,0,0,3,0,3,0,3,0,10,0,0,4,0,3,5,0,10,0,23,0,0,0,0,0,3,0,0,0,6,0,0,0,4,3,0,0,6,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,15,0,24,0,3,0,3,3,7,3,14,0,35,0,0,0,0,0,0,0,4,0,4,5,3,9,9,10,27,12,79,0,167
LGA30760,13,3,9,12,11,34,20,163,6,261,13,3,9,13,16,10,3,20,0,84,4,6,3,8,20,17,12,25,0,100,4,12,17,14,14,13,3,12,3,90,3,9,7,9,11,19,3,16,0,78,3,10,3,17,11,7,4,17,3,72,3,7,3,3,13,11,8,25,3,67,8,22,14,13,16,32,9,42,5,158,3,0,3,3,0,0,0,3,9,23,49,66,67,96,109,149,59,313,31,932
LGA30900,0,0,0,3,3,3,4,36,0,51,3,0,0,4,0,0,0,4,0,13,0,3,0,0,0,4,3,10,0,16,0,3,0,7,3,0,0,0,0,14,0,0,3,0,6,0,0,0,3,18,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,5,0,14,0,21,0,3,0,0,4,3,8,46,4,71,0,0,0,0,0,0,0,0,0,3,8,11,3,10,23,21,19,112,5,218
LGA31000,1765,2264,2788,4187,10939,16434,10628,24885,596,74499,6067,12503,13572,17433,31750,39961,18509,29368,1247,170408,1435,3222,3826,4455,13621,14587,7720,10429,806,60094,2113,12513,10021,10001,8805,6420,3270,3778,847,57786,2807,8010,9072,9575,23972,15787,6805,6501,689,83218,1361,13432,7739,6472,7095,5799,2897,4874,628,50309,663,1595,1932,2340,5557,4260,2507,4114,462,23423,1106,9301,7495,5748,7597,4827,2168,2861,734,41841,338,709,514,596,1352,1421,471,1044,2435,8880,17663,63549,56958,60814,110684,109496,54996,87854,8445,570455
LGA31750,3,3,0,0,3,7,3,40,4,63,0,0,0,0,0,3,0,4,0,10,0,0,3,0,3,5,5,15,0,30,0,0,0,3,0,0,0,3,0,12,0,5,0,3,10,3,0,5,0,33,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,5,4,15,0,30,4,0,4,0,9,3,0,13,0,36,0,0,0,0,0,0,0,3,3,12,6,6,6,15,26,23,18,103,7,220
LGA31820,100,176,161,287,505,650,448,1612,65,4007,202,334,432,748,1049,995,491,799,48,5104,141,262,262,432,1151,921,625,929,66,4791,191,605,659,986,655,337,186,280,74,3971,142,489,499,621,1111,550,259,285,42,3996,111,961,533,601,574,257,219,250,50,3561,116,154,151,216,431,460,342,934,74,2882,151,946,600,841,808,701,408,566,117,5139,31,42,22,35,64,54,18,55,203,525,1189,3966,3320,4764,6359,4926,3002,5716,726,33970
