LGA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,10,41,7,10,13,0,0,0,0,0,0,0,3,5,0,0,0,79,74,151,122,90,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,8,3,5,138,97,231
LGA30300,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,693,557,1250,37,49,90,20,0,24,3,7,12,11,6,14,23,8,22,98,95,187,889,717,1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,18,10,3,18,0,0,0,0,0,0,3,0,3,3,0,3,160,139,304,72,112,183,18,15,34,1162,993,2149
LGA30370,0,0,0,72,18,89,3,0,0,0,0,3,0,3,4,2315,1794,4105,247,166,413,71,5,78,47,8,60,36,23,61,66,27,96,223,211,436,3082,2260,5346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,3,0,0,0,3,3,9,38,10,43,38,16,56,0,0,0,0,0,0,3,0,3,3,0,5,458,422,884,410,368,775,72,50,123,4066,3115,7185
LGA30410,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,363,311,671,35,37,70,16,3,18,8,3,10,8,17,25,24,16,40,94,105,201,555,479,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,149,131,273,40,68,104,16,7,24,766,682,1447
LGA30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,24,58,5,0,5,3,0,3,0,0,0,0,0,0,7,3,5,22,24,47,71,52,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,19,11,28,12,4,16,0,0,0,98,72,167
LGA30760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,209,447,12,13,26,11,0,7,4,0,4,12,6,17,12,3,19,67,62,135,348,303,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,8,0,10,0,0,0,0,0,0,3,3,5,3,3,5,93,81,172,28,51,81,12,3,18,492,446,932
LGA30900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,24,64,0,3,4,11,0,11,3,0,3,0,0,0,0,4,9,31,32,68,83,67,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,46,3,5,11,7,3,11,121,94,218
LGA31000,12959,13863,26823,18831,23718,42554,1070,1149,2219,55,36,94,834,557,1393,174422,142967,317388,10102,17074,27181,2621,68,2690,5308,653,5960,7981,2262,10245,2244,1085,3329,12072,11503,23573,248501,214936,463440,2263,2344,4605,28,33,57,3,7,7,2221,2334,4558,433,647,1086,372,132,508,5322,5495,10818,243,262,511,3,5,10,1076,1392,2468,486,1067,1553,348,275,620,2160,3002,5163,2541,1534,4075,10019,10035,20056,822,789,1615,263,270,531,162,68,231,1248,1124,2376,11785,15428,27211,20361,33406,53773,1955,1649,3603,293858,276593,570455
LGA31750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,33,87,0,7,4,6,0,6,0,0,0,3,0,3,3,3,9,19,32,50,93,71,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,19,35,9,3,10,3,3,8,123,94,220
LGA31820,3,5,14,243,82,321,8,4,9,0,0,0,24,18,43,12154,11399,23551,1030,1305,2341,390,3,398,328,20,347,197,37,235,140,49,187,522,449,973,15041,13382,28416,0,0,0,0,0,0,0,0,0,7,9,17,0,0,0,0,0,0,9,9,16,3,0,3,0,0,0,28,8,34,0,3,8,5,3,7,30,13,47,116,69,183,156,87,246,0,0,0,6,0,6,6,7,7,7,6,14,728,964,1694,1287,1902,3190,214,199,412,17435,16534,33970
LGA31900,0,0,0,47,31,78,0,0,0,0,0,0,3,7,13,2859,2393,5255,243,195,440,216,9,217,37,8,40,38,9,48,62,21,82,217,157,378,3721,2831,6554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,3,4,28,11,40,29,13,39,0,0,0,0,0,0,0,0,0,0,0,0,217,288,503,263,379,635,54,51,104,4283,3556,7841
LGA31950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,14,48,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,34,25,58,68,45,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,7,9,14,3,0,3,85,64,147
LGA32080,11,13,23,613,629,1246,35,17,58,8,3,6,106,105,218,24970,24490,49455,1781,2644,4423,500,13,511,573,102,675,960,393,1357,648,187,840,1257,1144,2398,31470,29748,61209,0,0,0,0,0,0,0,0,0,8,14,18,0,3,3,0,0,0,14,11,28,6,3,5,0,0,0,19,12,31,40,74,111,36,24,59,105,111,213,360,206,568,474,333,810,5,0,5,26,19,48,30,14,47,63,34,94,1154,1650,2808,2856,3912,6771,388,326,713,36397,36009,72405
LGA32250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,167,348,29,30,60,7,0,11,0,0,0,7,6,10,29,11,40,114,86,200,374,302,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,35,34,67,24,16,39,12,13,23,440,371,813
